reference,candidate,equal_family_auroc_delta,lower,upper,holm_p,qa_delta,math_delta,wins,ties,losses,worst_cell_delta
B0,B3,0.005691266304316879,0.0012581113649449875,0.009752063608450679,0.006099390060993901,0.004954292233976254,0.008166240065722863,17,1,6,-0.00945446642034331
B1,B3,0.04026084329454015,0.026701378642569495,0.05436960158090844,0.00029997000299970003,0.04106156941651984,0.049113901638334956,24,0,0,0.0008422082156053223
B2,B3,0.0705262794219578,0.020069763143819322,0.13014007127688085,0.00029997000299970003,0.058743241288903625,0.03798827186612053,21,1,2,-0.0015616127200455132
