contrast,lhs,rhs,metric,delta,ci_low,ci_high,wins,ties,losses,worst_cell_delta,wilcoxon_p_raw,protocol,wilcoxon_p_holm
upcr_minus_trilens,upcr,trilens_supervised_lr,auroc,0.016579176949317695,0.005661353610734225,0.02716761023301779,7,0,6,-0.03664268926305123,0.243896484375,paired within identical grouped-CV test folds,1.0
upcr_minus_trilens,upcr,trilens_supervised_lr,auprc,0.014574449118674337,0.0020699321603189903,0.027713714568690914,7,0,6,-0.08092435627320742,0.243896484375,paired within identical grouped-CV test folds,1.0
upcr_minus_best_single_layer,upcr,best_single_layer,auroc,0.0013515158965624779,-0.0054366563991285095,0.007991825543223328,6,0,7,-0.03681248899148071,1.0,paired problem-group bootstrap,1.0
upcr_minus_best_single_layer,upcr,best_single_layer,auprc,0.003990372220224004,-0.004514103106021152,0.012833029696960535,7,0,6,-0.04336403910575354,0.587890625,paired problem-group bootstrap,1.0
upcr_minus_equal_mean,upcr,equal_mean,auroc,0.00505473714640597,0.0037045016909450505,0.006440128992026713,6,2,5,-0.008224976120953187,0.2734375,paired problem-group bootstrap,1.0
upcr_minus_equal_mean,upcr,equal_mean,auprc,0.0054286401298439535,0.0028999306026662552,0.007428756992826433,7,1,5,-0.02045753264304334,0.497314453125,paired problem-group bootstrap,1.0
upcr_minus_iu,upcr,iu_pcr,auroc,0.0017936169319252143,0.0011122759427755768,0.0024248471047577137,6,5,2,-0.0031392461529223814,0.109375,paired problem-group bootstrap,0.984375
upcr_minus_iu,upcr,iu_pcr,auprc,0.0018201534573832846,0.000727111132466964,0.002904023016817754,5,7,1,-0.0020413487865502677,0.109375,paired problem-group bootstrap,0.984375
upcr_minus_dufs,upcr,dufs_liu_pcr,auroc,0.00153677915124389,0.000868303844331227,0.0021490174458651625,5,6,2,-0.0031206461164664523,0.146484375,paired problem-group bootstrap,1.0
upcr_minus_dufs,upcr,dufs_liu_pcr,auprc,0.001553362073103483,0.0003755642344919282,0.0026124125925760695,5,7,1,-0.0020288443157908675,0.080322265625,paired problem-group bootstrap,0.80322265625
