method,feature,base_median,minus_median,plus_median,median_absolute_delta
position,entropy15,1.8045734909641575,1.783405013627059,1.8372559997958722,0.042144704131069854
position,varentropy15,1.9273189890864064,1.9161001100746038,1.9451443927276986,0.03338464427244414
position,moment3_15,2.0068561057917105,1.9794627667460178,2.049065421754538,0.04257545520154293
position,selected_surprisal,0.9288364715391086,0.998753623826095,0.8525815361897695,0.07430603363068222
position,selected_squared,0.3986835596318674,0.491196233191292,0.2951551202230546,0.07945818288164658
position,selected_cubed,0.25280329915903416,0.34520897655512667,0.1547310869336064,0.08053968636539247
position,moment4_15,2.0570020567375673,2.032729217338978,2.0935003629946833,0.0371850287824409
position,selected_power4,0.2126643551285742,0.30779139433498964,0.10996021673515789,0.08079301883498372
position,moment5_15,2.0404113389479215,2.021628872973354,2.0691380985587338,0.031232172385479817
position,selected_power5,0.20016722914626459,0.29637777313882724,0.0968628402201223,0.08054192398751571
position,moment6_15,1.9145771737373851,1.90579774906256,1.9331877406863267,0.029011716322366876
position,selected_power6,0.19595898925538016,0.2925548238232274,0.09271156359752046,0.08055791879461562
shared,entropy15,1.8045734909641575,1.8045741917033815,1.8045741917033815,1.2700877638494035e-06
shared,varentropy15,1.9273189890864064,1.9273174704250835,1.9273174704250835,1.1014707943513002e-06
shared,moment3_15,2.0068561057917105,2.0068495786277714,2.0068495786277714,1.1542597846414537e-06
shared,selected_surprisal,0.9288364715391086,0.9288370021739963,0.9288370021739963,1.0447391853851684e-06
shared,selected_squared,0.3986835596318674,0.3986837698522157,0.3986837698522157,5.620499059083572e-07
shared,selected_cubed,0.25280329915903416,0.252800742216638,0.252800742216638,4.823422687372236e-07
shared,moment4_15,2.0570020567375673,2.0570017766424695,2.0570017766424695,1.1156255488309341e-06
shared,selected_power4,0.2126643551285742,0.21266532056744644,0.21266532056744644,5.002245857810284e-07
shared,moment5_15,2.0404113389479215,2.0404196459021184,2.0404196459021184,1.0802151226840806e-06
shared,selected_power5,0.20016722914626459,0.2001715663912411,0.2001715663912411,5.276763636596904e-07
shared,moment6_15,1.9145771737373851,1.9145807138120365,1.9145807138120365,1.2989377047301076e-06
shared,selected_power6,0.19595898925538016,0.19595905659965826,0.19595905659965826,5.449151554565157e-07
permuted,entropy15,1.8045734909641575,1.8075136834358319,1.8087448447101553,0.037906717719824456
permuted,varentropy15,1.9273189890864064,1.9287196862392784,1.9284056604802764,0.0315016868776552
permuted,moment3_15,2.0068561057917105,2.0091422636063854,2.009165323907734,0.03493191514900662
permuted,selected_surprisal,0.9288364715391086,0.9175564688253918,0.9205273476887246,0.07583399985565531
permuted,selected_squared,0.3986835596318674,0.37386265993296597,0.3685977471631444,0.09385487248533014
permuted,selected_cubed,0.25280329915903416,0.22320904120496046,0.22179149304538215,0.09508172028396614
permuted,moment4_15,2.0570020567375673,2.058125057844444,2.0589408097279254,0.03056400186994246
permuted,selected_power4,0.2126643551285742,0.18598949025987768,0.18346113398335673,0.09445661980441002
permuted,moment5_15,2.0404113389479215,2.041956438528593,2.0442037377992155,0.027338282154391713
permuted,selected_power5,0.20016722914626459,0.1734081867599181,0.17273396141778413,0.09403377105682567
permuted,moment6_15,1.9145771737373851,1.91581971001068,1.9185098040821766,0.02869100900016175
permuted,selected_power6,0.19595898925538016,0.16926555827049797,0.1687690237424722,0.09364939314699047
