acc_correct,acc_correct_sd,acc_erroneous,acc_erroneous_sd,cal_f1,cal_f1_sd,f1,f1_sd,model,n,n_splits,sla,sla_sd,sla_tol1,sla_tol1_sd,subset,system,tau,tau_sd
0.6804873262655042,0.09176327869778911,0.26745808809246857,0.03853517081193501,0.40283856204026547,0.03176475446868106,0.3785348093115384,0.031414816336931946,llama31_8b,400,100,0.26745808809246857,0.03853517081193501,0.49365458316292576,0.057672508127998776,gsm8k,gl_liu_v1_frozen,-0.1078059643425987,0.05767962523331192
0.7021812643165505,0.08078998466198216,0.2847902467152042,0.03485288160183434,0.42078065550426336,0.03200075538960563,0.4012722341706471,0.030587278963978747,llama31_8b,400,100,0.2847902467152042,0.03485288160183434,0.4808207368551707,0.04676734302735299,gsm8k,unified_core_five_dufs,-0.09266261168839712,0.046891005725220834
0.4287020720679762,0.07723952538029702,0.20925780226953442,0.03631668320637473,0.30639588184156996,0.02455601439877537,0.2752234118076771,0.030572291408316094,llama31_8b,400,100,0.20925780226953442,0.03631668320637473,0.4697621822032476,0.056818784134863166,gsm8k,mindgap_control,0.4832851840903826,0.012059796930032509
0.620462997200718,0.0948883453270918,0.28016575376702807,0.04007456416360034,0.40543602006534823,0.030329091392641585,0.3799585767705251,0.030343892230745528,llama31_8b,400,100,0.28016575376702807,0.04007456416360034,0.5124167610818667,0.05083311973874388,gsm8k,candidate_detector__baseline_max_entropy,-0.15013464627514236,0.05613330272796457
0.5343970153026146,0.15471905032918176,0.18212098272936658,0.037707007808407675,0.2953578399811323,0.030314019685967322,0.25908764946167073,0.03007469342510699,llama31_8b,400,100,0.18212098272936658,0.037707007808407675,0.4692399236191138,0.06482012403285471,gsm8k,candidate_detector__baseline_min_token_prob,-0.20044245473566524,0.08634494820664505
0.655828228152761,0.12086052597381776,0.24290133256082014,0.03787101947385198,0.3811574260764749,0.027515476074039185,0.34684590727399156,0.028509089230501015,llama31_8b,400,100,0.24290133256082014,0.03787101947385198,0.5060249974686464,0.06176482937873753,gsm8k,candidate_detector__baseline_entropy_cusum,-0.12191177007632076,0.07566849911161576
0.5756819935330679,0.13015841938680964,0.20658465053167546,0.037000630472492295,0.3294659826990762,0.03038625463367124,0.2952166599173938,0.031183806939505673,llama31_8b,400,100,0.20658465053167546,0.037000630472492295,0.4896619071456774,0.050088850974547815,gsm8k,candidate_detector__baseline_change_point,-0.17992031199957703,0.06999642830591571
0.5956028896534793,0.16990878099958406,0.17228280619617137,0.03816791220493019,0.27872814432606247,0.029886013940321633,0.256241653184983,0.032428269885978044,llama31_8b,400,100,0.17228280619617137,0.03816791220493019,0.4008753051335659,0.0675591114804082,gsm8k,candidate_detector__baseline_random,-0.1485665447513581,0.10978287149610565
0.40712634128405467,0.16980312290269076,0.06544628573519748,0.01950896970039319,0.11904621622222517,0.02347920767726104,0.10673523984931046,0.02494172153300326,llama31_8b,400,100,0.06544628573519748,0.01950896970039319,0.2371304255675096,0.045272512791771864,gsm8k,candidate_detector__baseline_last_step,-0.2766098951217135,0.10136948774040423
0.5887873988213344,0.06222326420744358,0.22583191802592367,0.023523743118611423,0.33755889216898216,0.020361731471758408,0.32407307946543595,0.019665193517176088,llama31_8b,1000,100,0.22583191802592367,0.023523743118611423,0.4744931025904739,0.03167993121844396,math,gl_liu_v1_frozen,-0.1470024806451809,0.033116996173447585
0.5759335589193045,0.05697426351185902,0.21155503166414236,0.0224262479556816,0.3222999769202609,0.02073627181354641,0.30746034528087984,0.021088345322367773,llama31_8b,1000,100,0.21155503166414236,0.0224262479556816,0.4811467428574426,0.028985816330387396,math,unified_core_five_dufs,-0.1551087384657621,0.03024388772204701
