outcome,n_rows,n_selected,n_abstained,mean_selected_step_length,median_selected_step_length,q90_selected_step_length
all,6800,4881,1919,111.53616062282319,98.0,197.0
error,4442,3781,661,114.36604072996562,101.0,201.0
clean,2358,1100,1258,101.80909090909091,85.0,189.10000000000002
