contrast,lhs,rhs,metric,delta,ci_low,ci_high,wins,ties,losses,worst_cell_delta,p_raw,p_holm,focal_addendum_contrast,analysis_role,per_cell_deltas_json
depth_lodo_minus_iu,nrm_depth_lodo,iu_resid,auroc,-0.00243836436264304,-0.005746434972167744,0.0007327542433219342,6,1,6,-0.016703421024585885,0.497314453125,1.0,True,retrospective_post_v2,"{""gsm8k_mistral24b_t1.0"": -0.015914777466070285, ""gsm8k_mistral7b_t1.0"": -0.00012410957236053122, ""gsm8k_nemo_t1.0"": -0.016703421024585885, ""gsm8k_phi35_t1.0"": 0.0025530880207488282, ""gsm8k_phi3mini_t1.0"": 0.0035631328507318427, ""gsm8k_r1distill_t0.0"": -0.01573056573056575, ""gsm8k_t1.0"": -0.015090294384431324, ""nq_open_t0.5"": -0.008294416257055959, ""sciq_t1.0"": 0.012301730771013375, ""squadv2_t0.5"": 0.018258544426478007, ""triviaqa_qwen3_t0.6"": -0.013663792917200546, ""triviaqa_t1.0"": 0.009283088235294112, ""truthfulqa_t0.5"": 0.007863056333644591}"
depth_lodo_minus_iu,nrm_depth_lodo,iu_resid,auprc,-0.004302160448824447,-0.007637033752092589,0.00017971956549239437,5,1,7,-0.058985857781198026,0.7353515625,1.0,False,retrospective_post_v2,"{""gsm8k_mistral24b_t1.0"": -0.058985857781198026, ""gsm8k_mistral7b_t1.0"": -0.002003541047511992, ""gsm8k_nemo_t1.0"": -0.017077872300359842, ""gsm8k_phi35_t1.0"": 0.000644292662430157, ""gsm8k_phi3mini_t1.0"": 0.0036839257632416134, ""gsm8k_r1distill_t0.0"": -0.005926574587244771, ""gsm8k_t1.0"": -0.003230489094547706, ""nq_open_t0.5"": -0.007523412803225216, ""sciq_t1.0"": 0.01715724318857531, ""squadv2_t0.5"": 0.011389649281592806, ""triviaqa_qwen3_t0.6"": -0.006268315880280095, ""triviaqa_t1.0"": 0.00905751485825168, ""truthfulqa_t0.5"": 0.003155351905558268}"
depth_lodo_minus_dufs,nrm_depth_lodo,dufs_resid,auroc,9.343793629330747e-05,-0.003174409561835572,0.0033107754045547497,7,1,5,-0.01357001237551081,1.0,1.0,False,retrospective_post_v2,"{""gsm8k_mistral24b_t1.0"": -0.01252558950640692, ""gsm8k_mistral7b_t1.0"": 0.0025758590489928235, ""gsm8k_nemo_t1.0"": -0.012112542117214908, ""gsm8k_phi35_t1.0"": 0.003944453450045793, ""gsm8k_phi3mini_t1.0"": 0.004050808470333456, ""gsm8k_r1distill_t0.0"": -0.008506308506308402, ""gsm8k_t1.0"": 0.0005359940628349991, ""nq_open_t0.5"": -0.004058207954087623, ""sciq_t1.0"": 0.012348082431793528, ""squadv2_t0.5"": 0.015305513712973617, ""triviaqa_qwen3_t0.6"": -0.01357001237551081, ""triviaqa_t1.0"": 0.004834558823529456, ""truthfulqa_t0.5"": 0.008392083630837988}"
depth_lodo_minus_dufs,nrm_depth_lodo,dufs_resid,auprc,-0.001632358019273722,-0.004981539903756285,0.0028235005161096273,8,0,5,-0.0513165991879454,0.83935546875,1.0,False,retrospective_post_v2,"{""gsm8k_mistral24b_t1.0"": -0.0513165991879454, ""gsm8k_mistral7b_t1.0"": 0.0010457683160707276, ""gsm8k_nemo_t1.0"": -0.012355220062115035, ""gsm8k_phi35_t1.0"": 0.0014452849089393316, ""gsm8k_phi3mini_t1.0"": 0.003998844302730842, ""gsm8k_r1distill_t0.0"": -0.001928696247241235, ""gsm8k_t1.0"": 0.016016766662532322, ""nq_open_t0.5"": -0.005175581001864882, ""sciq_t1.0"": 0.019322520403432852, ""squadv2_t0.5"": 0.004181790279198627, ""triviaqa_qwen3_t0.6"": -0.006048236323831002, ""triviaqa_t1.0"": 0.005535301592478947, ""truthfulqa_t0.5"": 0.004057402107055519}"
depth_lodo_minus_final_nll,nrm_depth_lodo,final_nll,auroc,-0.11161909562680364,-0.1244946181777154,-0.09902924723705138,3,0,10,-0.2049764987218603,0.00341796875,0.068359375,False,retrospective_post_v2,"{""gsm8k_mistral24b_t1.0"": -0.1176055804079158, ""gsm8k_mistral7b_t1.0"": -0.17872246757930121, ""gsm8k_nemo_t1.0"": -0.19532140251350616, ""gsm8k_phi35_t1.0"": -0.19425982961402, ""gsm8k_phi3mini_t1.0"": -0.18538157093566077, ""gsm8k_r1distill_t0.0"": -0.13711843711843696, ""gsm8k_t1.0"": -0.2049764987218603, ""nq_open_t0.5"": -0.11706710945153465, ""sciq_t1.0"": 0.06422486117677606, ""squadv2_t0.5"": 0.08470181923761677, ""triviaqa_qwen3_t0.6"": -0.16723023010960325, ""triviaqa_t1.0"": 0.01169117647058826, ""truthfulqa_t0.5"": -0.11398297358158938}"
depth_lodo_minus_final_nll,nrm_depth_lodo,final_nll,auprc,-0.11231145648940219,-0.12657319620608734,-0.09615032149619988,3,0,10,-0.27306365540405053,0.013427734375,0.24169921875,False,retrospective_post_v2,"{""gsm8k_mistral24b_t1.0"": -0.24163672521451252, ""gsm8k_mistral7b_t1.0"": -0.1799812582011534, ""gsm8k_nemo_t1.0"": -0.1853830420183658, ""gsm8k_phi35_t1.0"": -0.23293186263890248, ""gsm8k_phi3mini_t1.0"": -0.16395494458192267, ""gsm8k_r1distill_t0.0"": -0.13656526677248154, ""gsm8k_t1.0"": -0.27306365540405053, ""nq_open_t0.5"": -0.10260449781242498, ""sciq_t1.0"": 0.12480405654286117, ""squadv2_t0.5"": 0.14279871846666203, ""triviaqa_qwen3_t0.6"": -0.18089883446175414, ""triviaqa_t1.0"": 0.007312419720543084, ""truthfulqa_t0.5"": -0.03794404198672663}"
depth_lomo_minus_iu,nrm_depth_lomo,iu_resid,auroc,0.004379222453399454,0.001258152584258614,0.007601838621866895,8,1,4,-0.013581374864350182,0.10986328125,1.0,False,retrospective_post_v2,"{""gsm8k_mistral24b_t1.0"": 0.005656228675411268, ""gsm8k_mistral7b_t1.0"": -0.0028357866439365775, ""gsm8k_nemo_t1.0"": 0.01112878235134962, ""gsm8k_phi35_t1.0"": -0.004457772734640986, ""gsm8k_phi3mini_t1.0"": 0.0003805561193424567, ""gsm8k_r1distill_t0.0"": 0.008547008547008517, ""gsm8k_t1.0"": 0.013420466727137814, ""nq_open_t0.5"": -0.008106895889515964, ""sciq_t1.0"": 0.010994613937017284, ""squadv2_t0.5"": 0.0182623135044514, ""triviaqa_qwen3_t0.6"": -0.013581374864350182, ""triviaqa_t1.0"": 0.009301470588235272, ""truthfulqa_t0.5"": 0.008220281576682975}"
depth_lomo_minus_iu,nrm_depth_lomo,iu_resid,auprc,0.0038423230811046294,5.934445292674499e-05,0.008261688765533537,6,0,7,-0.0074394648177966705,0.497314453125,1.0,False,retrospective_post_v2,"{""gsm8k_mistral24b_t1.0"": 0.03457286246959884, ""gsm8k_mistral7b_t1.0"": -0.004265977638282181, ""gsm8k_nemo_t1.0"": 0.005175588653409224, ""gsm8k_phi35_t1.0"": -0.0033175244810397797, ""gsm8k_phi3mini_t1.0"": -0.0024342767705771706, ""gsm8k_r1distill_t0.0"": -0.004409036355373486, ""gsm8k_t1.0"": -0.0012586824352812664, ""nq_open_t0.5"": -0.0074394648177966705, ""sciq_t1.0"": 0.015770795899822332, ""squadv2_t0.5"": 0.01139578873034941, ""triviaqa_qwen3_t0.6"": -0.006187539968602884, ""triviaqa_t1.0"": 0.00915340348800986, ""truthfulqa_t0.5"": 0.0031942632801239546}"
depth_loco_minus_iu,nrm_depth_loco,iu_resid,auroc,0.004511157647445982,0.0013710348663317825,0.0077198264183299965,8,1,4,-0.013581374864350182,0.10986328125,1.0,False,retrospective_post_v2,"{""gsm8k_mistral24b_t1.0"": 0.005656228675411268, ""gsm8k_mistral7b_t1.0"": -0.0028357866439365775, ""gsm8k_nemo_t1.0"": 0.01112878235134962, ""gsm8k_phi35_t1.0"": -0.004457772734640986, ""gsm8k_phi3mini_t1.0"": 0.0003805561193424567, ""gsm8k_r1distill_t0.0"": 0.008547008547008517, ""gsm8k_t1.0"": 0.013935845633710087, ""nq_open_t0.5"": -0.008294416257055959, ""sciq_t1.0"": 0.012301730771013375, ""squadv2_t0.5"": 0.018258544426478007, ""triviaqa_qwen3_t0.6"": -0.013581374864350182, ""triviaqa_t1.0"": 0.00974264705882355, ""truthfulqa_t0.5"": 0.007863056333644591}"
depth_loco_minus_iu,nrm_depth_loco,iu_resid,auprc,0.003983454797372264,0.0001703388802743672,0.008403436614917091,6,1,6,-0.007523412803225216,0.497314453125,1.0,False,retrospective_post_v2,"{""gsm8k_mistral24b_t1.0"": 0.03457286246959884, ""gsm8k_mistral7b_t1.0"": -0.004265977638282181, ""gsm8k_nemo_t1.0"": 0.005175588653409224, ""gsm8k_phi35_t1.0"": -0.0033175244810397797, ""gsm8k_phi3mini_t1.0"": -0.0024342767705771706, ""gsm8k_r1distill_t0.0"": -0.004409036355373486, ""gsm8k_t1.0"": -0.0009929913283541203, ""nq_open_t0.5"": -0.007523412803225216, ""sciq_t1.0"": 0.01715724318857531, ""squadv2_t0.5"": 0.011389649281592806, ""triviaqa_qwen3_t0.6"": -0.006187539968602884, ""triviaqa_t1.0"": 0.009464976212559817, ""truthfulqa_t0.5"": 0.003155351905558268}"
lens_lodo_minus_iu,nrm_lens_lodo,iu_lens96,auroc,-0.0010571270181395963,-0.002124457219160576,1.689160425305099e-05,5,0,8,-0.006174041215896819,0.21630859375,1.0,True,retrospective_post_v2,"{""gsm8k_mistral24b_t1.0"": -0.003684888922587115, ""gsm8k_mistral7b_t1.0"": 0.003430575915249645, ""gsm8k_nemo_t1.0"": 0.002885695313204484, ""gsm8k_phi35_t1.0"": -0.0037373246159109197, ""gsm8k_phi3mini_t1.0"": -0.0018604965834516651, ""gsm8k_r1distill_t0.0"": -0.004822954822954695, ""gsm8k_t1.0"": 0.0026593551579120467, ""nq_open_t0.5"": -0.00365728716828273, ""sciq_t1.0"": -0.006174041215896819, ""squadv2_t0.5"": 0.0011418212327155564, ""triviaqa_qwen3_t0.6"": -0.0011954618539645745, ""triviaqa_t1.0"": 0.0027573529411762943, ""truthfulqa_t0.5"": -0.0014849966130242587}"
