cell,dataset,model,method,display_method,feature_contract,auroc,auprc,prevalence,n_samples,n_groups,status,labels_seen_during_fit
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,final_nll,Final-layer NLL,resid-core-L,0.770161622825101,0.6531795472926021,0.2701612903225806,496,496,eligible_retrospective,False
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,iu_resid,IU-PCR · residual core,resid-core-L,0.5802754184876721,0.38334638098309926,0.2701612903225806,496,496,eligible_retrospective,False
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,dufs_resid,DUFS-LIU · residual core,resid-core-L,0.5646491300404057,0.3640991252260192,0.2701612903225806,496,496,eligible_retrospective,False
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,iu_lens96,IU-PCR · lens-96,lens-96,0.7392595035870372,0.6004859130644885,0.2701612903225806,496,496,eligible_retrospective,False
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,dufs_lens96,DUFS-LIU · lens-96,lens-96,0.7528448915642783,0.6202540492357403,0.2701612903225806,496,496,eligible_retrospective,False
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,nrm_depth_lodo,Depth-NRM-CS-IU · leave-dataset-out,resid-core-L,0.5651851241032407,0.38011589188855155,0.2701612903225806,496,496,eligible_retrospective,False
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,nrm_depth_lomo,Depth-NRM-CS-IU · leave-model-out,resid-core-L,0.5936958852148099,0.382087698547818,0.2701612903225806,496,496,eligible_retrospective,False
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,nrm_depth_loco,Depth-NRM-CS-IU · LOCO sensitivity,resid-core-L,0.5942112641213821,0.38235338965474513,0.2701612903225806,496,496,eligible_retrospective,False
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,nrm_lens_lodo,Lens-NRM-CS-IU · leave-dataset-out,lens-96,0.7419188587449492,0.602561928459398,0.2701612903225806,496,496,eligible_retrospective,False
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,nrm_lens_lomo,Lens-NRM-CS-IU · leave-model-out,lens-96,0.7414859404634289,0.6000481342931222,0.2701612903225806,496,496,eligible_retrospective,False
gsm8k_t1.0,GSM8K,meta-llama/Llama-3.1-8B-Instruct,nrm_lens_loco,Lens-NRM-CS-IU · LOCO sensitivity,lens-96,0.7415684010884803,0.6007219303411778,0.2701612903225806,496,496,eligible_retrospective,False
triviaqa_t1.0,TriviaQA,meta-llama/Llama-3.1-8B-Instruct,final_nll,Final-layer NLL,resid-core-L,0.8254595588235294,0.9062045500881047,0.68,500,500,eligible_retrospective,False
triviaqa_t1.0,TriviaQA,meta-llama/Llama-3.1-8B-Instruct,iu_resid,IU-PCR · residual core,resid-core-L,0.8278676470588235,0.9044594549503961,0.68,500,500,eligible_retrospective,False
triviaqa_t1.0,TriviaQA,meta-llama/Llama-3.1-8B-Instruct,dufs_resid,DUFS-LIU · residual core,resid-core-L,0.8323161764705882,0.9079816682161689,0.68,500,500,eligible_retrospective,False
triviaqa_t1.0,TriviaQA,meta-llama/Llama-3.1-8B-Instruct,iu_lens96,IU-PCR · lens-96,lens-96,0.8914705882352942,0.9498901394392846,0.68,500,500,eligible_retrospective,False
triviaqa_t1.0,TriviaQA,meta-llama/Llama-3.1-8B-Instruct,dufs_lens96,DUFS-LIU · lens-96,lens-96,0.8867463235294117,0.9472529118074335,0.68,500,500,eligible_retrospective,False
triviaqa_t1.0,TriviaQA,meta-llama/Llama-3.1-8B-Instruct,nrm_depth_lodo,Depth-NRM-CS-IU · leave-dataset-out,resid-core-L,0.8371507352941177,0.9135169698086478,0.68,500,500,eligible_retrospective,False
triviaqa_t1.0,TriviaQA,meta-llama/Llama-3.1-8B-Instruct,nrm_depth_lomo,Depth-NRM-CS-IU · leave-model-out,resid-core-L,0.8371691176470588,0.913612858438406,0.68,500,500,eligible_retrospective,False
triviaqa_t1.0,TriviaQA,meta-llama/Llama-3.1-8B-Instruct,nrm_depth_loco,Depth-NRM-CS-IU · LOCO sensitivity,resid-core-L,0.8376102941176471,0.913924431162956,0.68,500,500,eligible_retrospective,False
triviaqa_t1.0,TriviaQA,meta-llama/Llama-3.1-8B-Instruct,nrm_lens_lodo,Lens-NRM-CS-IU · leave-dataset-out,lens-96,0.8942279411764705,0.9519163165425368,0.68,500,500,eligible_retrospective,False
triviaqa_t1.0,TriviaQA,meta-llama/Llama-3.1-8B-Instruct,nrm_lens_lomo,Lens-NRM-CS-IU · leave-model-out,lens-96,0.8935477941176472,0.9515404431206997,0.68,500,500,eligible_retrospective,False
triviaqa_t1.0,TriviaQA,meta-llama/Llama-3.1-8B-Instruct,nrm_lens_loco,Lens-NRM-CS-IU · LOCO sensitivity,lens-96,0.8942095588235295,0.9519087477396111,0.68,500,500,eligible_retrospective,False
sciq_t1.0,SciQ,meta-llama/Llama-3.1-8B-Instruct,final_nll,Final-layer NLL,resid-core-L,0.7098571441814758,0.24060572459738386,0.123,1000,1000,eligible_retrospective,False
sciq_t1.0,SciQ,meta-llama/Llama-3.1-8B-Instruct,iu_resid,IU-PCR · residual core,resid-core-L,0.7617802745872385,0.3482525379516697,0.123,1000,1000,eligible_retrospective,False
sciq_t1.0,SciQ,meta-llama/Llama-3.1-8B-Instruct,dufs_resid,DUFS-LIU · residual core,resid-core-L,0.7617339229264584,0.3460872607368122,0.123,1000,1000,eligible_retrospective,False
