method,display_method,feature_contract,n_cells,macro_auroc,macro_auroc_ci_low,macro_auroc_ci_high,macro_auprc,macro_auprc_ci_low,macro_auprc_ci_high
final_nll,Final-layer NLL,resid-core-L,13,0.7297783951728509,0.7188947424732189,0.7396338270893231,0.5892256809639554,0.5746358909370622,0.6068440959048194
iu_resid,IU-PCR · residual core,resid-core-L,13,0.6205976639086904,0.6081216719091352,0.6329034706022755,0.48121638492337776,0.4685170020928642,0.4990120697678471
dufs_resid,DUFS-LIU · residual core,resid-core-L,13,0.618065861609754,0.6055878467673591,0.6302132781747114,0.47854658249382703,0.465866856228086,0.49601699743960187
iu_lens96,IU-PCR · lens-96,lens-96,13,0.7202060118079516,0.708657742320632,0.7311737774249315,0.5960425834689705,0.5808113577576435,0.615649575078844
dufs_lens96,DUFS-LIU · lens-96,lens-96,13,0.7252613703349737,0.7138517602348682,0.7361869295245299,0.6025244987258745,0.5870181215277581,0.6221748923449535
nrm_depth_lodo,Depth-NRM-CS-IU · leave-dataset-out,resid-core-L,13,0.6181592995460472,0.6059760714168972,0.6304222555780647,0.47691422447455334,0.4650858367627351,0.4946487275179934
nrm_depth_lomo,Depth-NRM-CS-IU · leave-model-out,resid-core-L,13,0.6249768863620897,0.6129178205999881,0.637094127995347,0.4850587080044824,0.4725898350825589,0.5033054633305865
nrm_depth_loco,Depth-NRM-CS-IU · LOCO sensitivity,resid-core-L,13,0.6251088215561361,0.6130801324146263,0.6372412377962983,0.48519983972075004,0.47271069418303463,0.5034674999457206
nrm_lens_lodo,Lens-NRM-CS-IU · leave-dataset-out,lens-96,13,0.7191488847898119,0.7076373901679744,0.7302836969656316,0.5937709122168454,0.579110941233749,0.6134781556013014
nrm_lens_lomo,Lens-NRM-CS-IU · leave-model-out,lens-96,13,0.7186884088356466,0.7071311575259119,0.7298852253619752,0.5930583239695546,0.578485781401827,0.6127570096066753
nrm_lens_loco,Lens-NRM-CS-IU · LOCO sensitivity,lens-96,13,0.7187447324694045,0.7072416549882666,0.7299085167372333,0.5930474677258585,0.5784822880012618,0.6128505964737232
