cohort,n_cells,method,display_method,macro_auroc,macro_auprc
primary_13_cells,13,final_nll,Final-layer NLL,0.7297783951728509,0.5892256809639554
primary_13_cells,13,iu_resid,IU-PCR · residual core,0.6205976639086904,0.48121638492337776
primary_13_cells,13,dufs_resid,DUFS-LIU · residual core,0.618065861609754,0.47854658249382703
primary_13_cells,13,iu_lens96,IU-PCR · lens-96,0.7202060118079516,0.5960425834689705
primary_13_cells,13,dufs_lens96,DUFS-LIU · lens-96,0.7252613703349737,0.6025244987258745
primary_13_cells,13,nrm_depth_lodo,Depth-NRM-CS-IU · leave-dataset-out,0.6181592995460472,0.47691422447455334
primary_13_cells,13,nrm_depth_lomo,Depth-NRM-CS-IU · leave-model-out,0.6249768863620897,0.4850587080044824
primary_13_cells,13,nrm_depth_loco,Depth-NRM-CS-IU · LOCO sensitivity,0.6251088215561361,0.48519983972075004
primary_13_cells,13,nrm_lens_lodo,Lens-NRM-CS-IU · leave-dataset-out,0.7191488847898119,0.5937709122168454
primary_13_cells,13,nrm_lens_lomo,Lens-NRM-CS-IU · leave-model-out,0.7186884088356466,0.5930583239695546
primary_13_cells,13,nrm_lens_loco,Lens-NRM-CS-IU · LOCO sensitivity,0.7187447324694045,0.5930474677258585
original_llama_six,6,final_nll,Final-layer NLL,0.7230878758121765,0.662718456632265
original_llama_six,6,iu_resid,IU-PCR · residual core,0.6731328034796856,0.6346013136640415
original_llama_six,6,dufs_resid,DUFS-LIU · residual core,0.6709600842158624,0.6322792565462702
original_llama_six,6,iu_lens96,IU-PCR · lens-96,0.7507213457107532,0.7281619231985775
original_llama_six,6,dufs_lens96,DUFS-LIU · lens-96,0.7524113223089298,0.7310787281875255
original_llama_six,6,nrm_depth_lodo,Depth-NRM-CS-IU · leave-dataset-out,0.677186421667176,0.6396022898867424
original_llama_six,6,nrm_depth_lomo,Depth-NRM-CS-IU · leave-model-out,0.6818148452203537,0.6397373310215795
original_llama_six,6,nrm_depth_loco,Depth-NRM-CS-IU · LOCO sensitivity,0.6821007048074543,0.640043116406826
original_llama_six,6,nrm_lens_lodo,Lens-NRM-CS-IU · leave-dataset-out,0.74992837976652,0.7275821119133079
original_llama_six,6,nrm_lens_lomo,Lens-NRM-CS-IU · leave-model-out,0.7497448718918093,0.7272977059544582
original_llama_six,6,nrm_lens_loco,Lens-NRM-CS-IU · LOCO sensitivity,0.7498669064316182,0.7272741840931168
gsm8k_cross_architecture_seven,7,final_nll,Final-layer NLL,0.7357727438662914,0.5093827568726732
gsm8k_cross_architecture_seven,7,iu_resid,IU-PCR · residual core,0.570638623925696,0.319294094237502
gsm8k_cross_architecture_seven,7,dufs_resid,DUFS-LIU · residual core,0.5655801064672945,0.31360805636919314
gsm8k_cross_architecture_seven,7,iu_lens96,IU-PCR · lens-96,0.7016271190359917,0.46949544344177696
gsm8k_cross_architecture_seven,7,dufs_lens96,DUFS-LIU · lens-96,0.7115551164211705,0.4819985287788206
gsm8k_cross_architecture_seven,7,nrm_depth_lodo,Depth-NRM-CS-IU · leave-dataset-out,0.5624319171676199,0.3074517918967605
gsm8k_cross_architecture_seven,7,nrm_depth_lomo,Depth-NRM-CS-IU · leave-model-out,0.5751871215030777,0.32273165901499545
gsm8k_cross_architecture_seven,7,nrm_depth_loco,Depth-NRM-CS-IU · LOCO sensitivity,0.5752607470611595,0.32276961488741357
gsm8k_cross_architecture_seven,7,nrm_lens_lodo,Lens-NRM-CS-IU · leave-dataset-out,0.7008942563847719,0.4660212301829532
gsm8k_cross_architecture_seven,7,nrm_lens_lomo,Lens-NRM-CS-IU · leave-model-out,0.7000938162606689,0.46453148879748607
gsm8k_cross_architecture_seven,7,nrm_lens_loco,Lens-NRM-CS-IU · LOCO sensitivity,0.7001055963499621,0.4646277453757798
