method,normalization,within_auc,prmscore_q80_oof_diagnostic,answers,auc_eligible,official_scoreable_answers,official_steps
ct7_locator,raw,0.7723966352864217,0.6425309772481037,6969,6030,6211,83371
ct7_locator,answer_z,0.7723966352864217,0.645689463374375,6969,6030,6211,83371
bank11_equal,raw,0.7496440088369818,0.6297669519416543,6969,6030,6211,83371
bank11_equal,answer_z,0.7496440088369818,0.6331110753657347,6969,6030,6211,83371
bank11_pc4_equal,raw,0.6125330925164933,0.540574220103504,6969,6030,6211,83371
bank11_pc4_equal,answer_z,0.6125330925164933,0.5401059775567989,6969,6030,6211,83371
bank11_nov4_equal,raw,0.7399127206325952,0.6222539365989934,6969,6030,6211,83371
bank11_nov4_equal,answer_z,0.7399127206325952,0.6250602842493459,6969,6030,6211,83371
bank11_continuous,raw,0.7645311208612027,0.6393925133400147,6969,6030,6211,83371
bank11_continuous,answer_z,0.7645311208612027,0.6411836830012854,6969,6030,6211,83371
bank11_pc4_continuous,raw,0.5932468955115878,0.5284357991464717,6969,6030,6211,83371
bank11_pc4_continuous,answer_z,0.5932468955115878,0.5295551207124254,6969,6030,6211,83371
bank11_nov4_continuous,raw,0.7105663241165301,0.6033484583105314,6969,6030,6211,83371
bank11_nov4_continuous,answer_z,0.7105663241165301,0.6049950501909733,6969,6030,6211,83371
bank11_learned_partition_equal,raw,0.7530841559743195,0.6346766230477985,6969,6030,6211,83371
bank11_learned_partition_equal,answer_z,0.7530841559743195,0.6372447873616134,6969,6030,6211,83371
