above_chance_auc_recovery,auprc,auroc,budget,cell_id,family,final_auroc_same_cohort,final_decision_agreement,flip_rate_vs_previous_budget,kendall_vs_final,length_band,method,n_at_risk,n_error,normalized_mae_vs_final,spearman_vs_final
0.3630172865374542,0.48541882167114747,0.6567164179104478,16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,0.9317051108095884,0.75,nan,0.2072727272727273,,cusum_swvar_equal,100,33,0.8628312077001773,0.3023102310231022
0.3273965426925091,0.48243532660385047,0.6413387607417458,32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,0.9317051108095884,0.75,0.0,0.2048484848484849,,cusum_swvar_equal,100,33,0.8021037255627819,0.29836183618361833
0.2687270822420115,0.41809846914278065,0.6160108548168249,64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,0.9317051108095884,0.76,0.01,0.35070707070707074,,cusum_swvar_equal,100,33,0.7044434467362339,0.4796399639963996
0.39654269250916724,0.4951245065105653,0.6711895070104026,128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,0.9317051108095884,0.77,0.01,0.46828282828282836,,cusum_swvar_equal,100,33,0.6413514526321983,0.5912271227122712
0.31279620853080564,0.5194515569031948,0.6333333333333333,256,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,0.9262626262626262,0.7741935483870968,0.021505376344086023,0.5451145395044412,,cusum_swvar_equal,93,33,0.630960208048996,0.6195428366804929
0.6399999999999998,0.8431090660911761,0.7666666666666666,512,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,0.9166666666666667,0.7291666666666666,0.14583333333333334,0.5531914893617023,,cusum_swvar_equal,48,30,0.9260052914394986,0.6730351715154147
0.33951571354971677,0.4751453406269557,0.6490275893260968,16,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,0.9389416553595658,0.75,nan,0.20323232323232326,,deepconf_entropy_w64,100,33,0.6848459924909645,0.29209720972097203
0.4137042761463164,0.5190382048535983,0.681592039800995,32,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,0.9389416553595658,0.75,0.0,0.25858585858585864,,deepconf_entropy_w64,100,33,0.6816760661145238,0.3865466546654665
0.23750643997939216,0.42240667414833305,0.6042514699231117,64,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,0.9389416553595658,0.75,0.0,0.3260606060606061,,deepconf_entropy_w64,100,33,0.6657532583419447,0.4492289228922892
0.3900051519835138,0.5368458749859769,0.6711895070104026,128,hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,math500,0.9389416553595658,0.77,0.02,0.5458585858585859,,deepconf_entropy_w64,100,33,0.6275568872433473,0.6508010801080107
