method,hypothesis,coordinates,features_min_max,state_scalars_per_trace,delta_vs_iu28,ci_low_vs_iu28,ci_high_vs_iu28,family_wins_ties_losses_vs_iu28,delta_vs_deepconf,ci_low_vs_deepconf,ci_high_vs_deepconf,coverage_delta_vs_iu28,ever_wrong_delta_vs_iu28,spearman_vs_equal_magnitude,localization_hash_identity,promotion_gate,decision
dyn_level4_iu,running extremes retain early warning,current + running maximum per component,4-4,6,-0.005061899439797351,-0.05527780240939077,0.051862583277372996,2/0/3,0.014053153942556277,-0.04111974516853213,0.06986922211536792,0.0029085112742338604,-0.0046357270010848745,0.9926239155998324,True,FAIL: superiority interval crosses zero,CLOSE coarse-grid mechanism; retain IU28 baseline
dyn_persist6_iu,positive area and run persistence beat one-off magnitude,current + positive area + run fraction per component,6-6,10,-0.007911862040471573,-0.06628747990820345,0.0639037287651195,2/0/3,0.011203191341882055,-0.049204265340597894,0.07310889083930794,-0.0032667594970510194,-0.0035154829100136203,0.9490439097767955,True,FAIL: superiority interval crosses zero,CLOSE coarse-grid mechanism; retain IU28 baseline
dyn_change6_iu,slope and failure-to-recover add information,current + slope + recovery per component,5-5,8,-0.026982772552398237,-0.0978590760508533,0.05608513173674827,1/0/4,-0.007867719170044616,-0.07184407273297122,0.05290061510730769,0.02585545730283717,0.008402515217077078,0.707965314562078,True,FAIL: superiority interval crosses zero,CLOSE coarse-grid mechanism; retain IU28 baseline
