method,budget,cell_macro_auroc,equal_family_auroc,cell_macro_auprc,equal_family_auprc,cell_macro_spearman_vs_final,cell_macro_final_decision_agreement,n_cells,n_cells_at_risk_ge_20,n_families,n_at_risk_total
iu28_no_length,16,0.5049589822224796,0.5096103576494556,0.5944164118504679,0.5523932776075984,0.09719138200122769,0.5353386450441096,11,10,5,612
iu28_no_length,32,0.5796028159163954,0.5691857152304871,0.6526631574300066,0.6054104991795491,0.17154707078981898,0.5639357445469622,11,10,5,612
iu28_no_length,64,0.6482041716699766,0.6316925190913918,0.6740073624248861,0.6214099024673873,0.4172014150384152,0.6395579741066235,11,10,5,612
iu28_no_length,128,0.6938576296666278,0.6750561940142872,0.7055172754545339,0.6535606322299611,0.6585418193188975,0.7386967096763601,11,10,5,610
iu28_no_length,256,0.6037227053964441,0.6175798244209371,0.6849807402659548,0.644710574868008,0.7728606309459284,0.8400927353887614,11,7,5,538
iu28_no_length,512,0.6438183370910429,0.6547762301398478,0.7195639241172221,0.7317417751653809,0.8174976683400101,0.8801249345892204,7,7,4,345
deepconf_entropy_w64,16,0.5284303910913775,0.5397206902669118,0.6088173909494025,0.5764407484961085,0.137813536403079,0.5487299287713381,11,10,5,612
deepconf_entropy_w64,32,0.5839549347645041,0.5937730859943761,0.631834120017089,0.6037137741308053,0.33456761658245443,0.575188330910874,11,10,5,612
deepconf_entropy_w64,64,0.6162584853406335,0.6072378285218595,0.6589511818859458,0.6148028306091853,0.4900927181406369,0.5998423196358378,11,10,5,612
deepconf_entropy_w64,128,0.6707985208608453,0.6612807778191123,0.7107407844394767,0.6714916128957477,0.6801106976443405,0.769204552643174,11,10,5,610
deepconf_entropy_w64,256,0.6428375047083509,0.6602778208357516,0.7589727845533055,0.7224179636429591,0.7730420931767771,0.8613867293286309,11,7,5,538
deepconf_entropy_w64,512,0.6919133713693012,0.7109797555036942,0.7727254106857021,0.7868691216686929,0.8358371635300259,0.8783817373103088,7,7,4,345
cusum_swvar_equal,16,0.516124365798245,0.5367694384206162,0.6040511366740765,0.5754222697547504,0.09767662773550699,0.49129324166492316,11,10,5,612
cusum_swvar_equal,32,0.5750890924088933,0.5811497801188332,0.6427867880376258,0.6060501670581618,0.24455536546585116,0.5039375686208444,11,10,5,612
cusum_swvar_equal,64,0.634606876960842,0.6264427903502489,0.6822962293837427,0.6334977788910285,0.4230852411536825,0.5329526128122276,11,10,5,612
cusum_swvar_equal,128,0.6814353073266248,0.6739577914456121,0.7158395230879626,0.6718494446068903,0.6088611357237521,0.604948721646947,11,10,5,610
cusum_swvar_equal,256,0.6477143291414467,0.6514251559949853,0.7365970642127126,0.6915337695652377,0.663538125634466,0.7107531039990976,11,7,5,538
cusum_swvar_equal,512,0.6925132660372935,0.7017824411159651,0.7717387289483277,0.7806600210911839,0.7006245369981414,0.8166928309785452,7,7,4,345
dyn_level4_iu,16,0.5168684791534945,0.5371006336766928,0.6028485971623567,0.5740004576395636,0.10744309405144509,0.5031560612276466,11,10,5,612
dyn_level4_iu,32,0.5748117986848148,0.5811092836713984,0.6435040970922792,0.6066941728058575,0.2397474460933489,0.5102147566921391,11,10,5,612
dyn_level4_iu,64,0.6349874524894966,0.6257274998330897,0.6836249667220561,0.6327116395570953,0.41104895747844866,0.5304761405042475,11,10,5,612
dyn_level4_iu,128,0.6772523228824101,0.6708974143929944,0.7161289454949554,0.6723958165557322,0.5789062934997288,0.5967652505383777,11,10,5,610
dyn_level4_iu,256,0.6399581888354011,0.6450146137795472,0.737881933197379,0.6936096479043062,0.6321492857956119,0.7061470868052189,11,7,5,538
dyn_level4_iu,512,0.6927095436864237,0.7021856655404355,0.7776611351895505,0.7859570690809894,0.6679285420108122,0.8133307169021454,7,7,4,345
dyn_persist6_iu,16,0.5173797127306208,0.5377082190149689,0.6040532365526695,0.5755359986793452,0.13552457383097963,0.4958300931051415,11,10,5,612
dyn_persist6_iu,32,0.5732714264874281,0.5807666316340084,0.6424907461135665,0.6067250398157042,0.3335799243853282,0.5001638900114022,11,10,5,612
dyn_persist6_iu,64,0.619016544132737,0.6200343828667878,0.6642309158127956,0.623093960173384,0.5409713900552704,0.5235471023052477,11,10,5,612
dyn_persist6_iu,128,0.6750364119807054,0.670890606157948,0.6997370556155421,0.6563645604456084,0.7195588386190149,0.5834845538559135,11,10,5,610
dyn_persist6_iu,256,0.6259113321527401,0.6367600411255898,0.7281099279549959,0.6807831690459597,0.7808764130250889,0.6789147236458567,11,7,5,538
dyn_persist6_iu,512,0.665803606323215,0.6735503777550353,0.7471471392435795,0.7570856141760647,0.8071669372521125,0.8311878597592884,7,7,4,345
dyn_change6_iu,16,0.5163619534480834,0.5365434554007404,0.602898206651886,0.5740550280780456,0.06798193687682176,0.49303726365069667,11,10,5,612
dyn_change6_iu,32,0.5570919449986858,0.5660611806467394,0.6312241893151147,0.599882661727029,0.08926150836920967,0.5519964467203333,11,10,5,612
dyn_change6_iu,64,0.6065467870083034,0.6029875155845816,0.6554680312900616,0.6093128275264605,0.2525587536409217,0.6468303449619175,11,10,5,612
dyn_change6_iu,128,0.6458310195756545,0.6497956524163009,0.6990523945793244,0.6662761624564251,0.307499970045228,0.6379202953646792,11,10,5,610
dyn_change6_iu,256,0.6072699715095765,0.6261030292665948,0.7244432877340583,0.6855740709665085,0.4158999769150737,0.6653026312730586,11,7,5,538
dyn_change6_iu,512,0.673638126064939,0.6841092862327476,0.7647600029049464,0.7733905915662219,0.35079741643650575,0.6694466248037676,7,7,4,345
