cell_id,endpoint_auroc_64_128,family,method,missing_stream
hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,0.6431478968792401,math500,dyn_level4_iu,cusum_max
hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,0.6874717322478516,math500,dyn_level4_iu,sw_var_peak
hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,0.6546811397557666,math500,dyn_persist6_iu,cusum_max
hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,0.675033921302578,math500,dyn_persist6_iu,sw_var_peak
hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,0.6571687019448214,math500,dyn_change6_iu,cusum_max
hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,0.6521935775667118,math500,dyn_change6_iu,sw_var_peak
processbench_gsm8k__llama31_8b,0.5723684210526316,gsm8k,dyn_level4_iu,cusum_max
processbench_gsm8k__llama31_8b,0.4978070175438596,gsm8k,dyn_level4_iu,sw_var_peak
processbench_gsm8k__llama31_8b,0.5789473684210527,gsm8k,dyn_persist6_iu,cusum_max
processbench_gsm8k__llama31_8b,0.5043859649122807,gsm8k,dyn_persist6_iu,sw_var_peak
processbench_gsm8k__llama31_8b,0.611842105263158,gsm8k,dyn_change6_iu,cusum_max
processbench_gsm8k__llama31_8b,0.49122807017543857,gsm8k,dyn_change6_iu,sw_var_peak
processbench_gsm8k__llama3_70b,0.7236111111111111,gsm8k,dyn_level4_iu,cusum_max
processbench_gsm8k__llama3_70b,0.575462962962963,gsm8k,dyn_level4_iu,sw_var_peak
processbench_gsm8k__llama3_70b,0.6370370370370371,gsm8k,dyn_persist6_iu,cusum_max
processbench_gsm8k__llama3_70b,0.5629629629629629,gsm8k,dyn_persist6_iu,sw_var_peak
processbench_gsm8k__llama3_70b,0.7541666666666667,gsm8k,dyn_change6_iu,cusum_max
processbench_gsm8k__llama3_70b,0.5560185185185185,gsm8k,dyn_change6_iu,sw_var_peak
processbench_gsm8k__qwen25_15b,0.7908163265306123,gsm8k,dyn_level4_iu,cusum_max
processbench_gsm8k__qwen25_15b,0.653061224489796,gsm8k,dyn_level4_iu,sw_var_peak
processbench_gsm8k__qwen25_15b,0.8010204081632653,gsm8k,dyn_persist6_iu,cusum_max
