arm,candidate,cells,component,macro_value,metric
global_ordinary_mixed,answer_iu_mixed,8,detector,0.7913688486071344,auroc
global_uniform_mixed,answer_uniform_liu_mixed,8,detector,0.7920265532160693,auroc
global_dufs_mixed,answer_dufs_liu_mixed,8,detector,0.7935613621546211,auroc
local_ordinary_top5,token_iu__top5mean,8,detector,0.723303068342411,auroc
local_uniform_top5,token_uniform_liu_l0p3__top5mean,8,detector,0.7238412676854465,auroc
local_dufs_top5,token_dufs_liu_l0p3__top5mean,8,detector,0.7238807892275678,auroc
local_temporal_top5,token_temporal_liu_l0p3__top5mean,8,detector,0.6915276179659517,auroc
locator_ordinary,token_iu,8,locator,0.2661578733242221,exact
locator_uniform_l0p3,token_uniform_liu_l0p3,8,locator,0.2667861550894505,exact
locator_dufs_l0p3,token_dufs_liu_l0p3,8,locator,0.2669508454715322,exact
locator_temporal_l0p3,token_temporal_liu_l0p3,8,locator,0.26409295934636323,exact
