method,length_band,cell_macro_auroc,equal_family_auroc,cell_macro_auprc,equal_family_auprc,n_cells,n_families,n_at_risk_total
iu28_no_length,lt128,nan,nan,nan,nan,0,0,0
iu28_no_length,128_511,0.7270990517419089,0.6966349206349205,0.6688076829030252,0.610126644082827,11,5,262
iu28_no_length,ge512,0.7095310452163605,0.7340341090087599,0.7712793163753131,0.7937302317536373,7,4,345
deepconf_entropy_w64,lt128,nan,nan,nan,nan,0,0,0
deepconf_entropy_w64,128_511,0.7796213839070982,0.7753337112622827,0.7650240002822997,0.7098155812632446,11,5,262
deepconf_entropy_w64,ge512,0.7524146465158853,0.7754924453310292,0.8122958172451046,0.8298986365893899,7,4,345
cusum_swvar_equal,lt128,nan,nan,nan,nan,0,0,0
cusum_swvar_equal,128_511,0.7983341922627637,0.7975120937263794,0.7427837003321346,0.6927178281925455,11,5,262
cusum_swvar_equal,ge512,0.7673063187400757,0.7859763622308994,0.8242190812466729,0.8409223257601709,7,4,345
dyn_level4_iu,lt128,nan,nan,nan,nan,0,0,0
dyn_level4_iu,128_511,0.7875604686318972,0.7866460695389266,0.7565590835391841,0.7099801417090781,11,5,262
dyn_level4_iu,ge512,0.7605036866012956,0.7797925776279857,0.818941043859383,0.8361228836260025,7,4,345
dyn_persist6_iu,lt128,nan,nan,nan,nan,0,0,0
dyn_persist6_iu,128_511,0.7675541125541124,0.7725119047619048,0.7013587029816625,0.6313644991734071,11,5,262
dyn_persist6_iu,ge512,0.7453558902556772,0.7656123298996436,0.79972330437163,0.8186391104115196,7,4,345
dyn_change6_iu,lt128,nan,nan,nan,nan,0,0,0
dyn_change6_iu,128_511,0.7605543530543531,0.7571470143613002,0.7165685545834254,0.6619932625466654,11,5,262
dyn_change6_iu,ge512,0.7009657808750368,0.7270024656730645,0.7828566363556079,0.8044206048344806,7,4,345
