method,reference,median_cell_spearman_64_128,cell_macro_spearman_64_128,equal_family_spearman_64_128,n_cells
dyn_level4_iu,iu28_no_length,0.7624837168910117,0.736685048716317,0.6986440942092742,11
dyn_level4_iu,cusum_swvar_equal,0.990909090909091,0.9916605852242072,0.9926239155998324,11
dyn_persist6_iu,iu28_no_length,0.7173735592777615,0.6996498003035438,0.6678055491803683,11
dyn_persist6_iu,cusum_swvar_equal,0.9488769591509318,0.9466523400328792,0.9490439097767955,11
dyn_change6_iu,iu28_no_length,0.4580707654466103,0.48448125341536535,0.4691310985212215,11
dyn_change6_iu,cusum_swvar_equal,0.648881893182805,0.6810055525353328,0.707965314562078,11
