method,n_cells,n_families,cell_macro_coverage,equal_family_coverage,cell_macro_ever_wrong_rate_all,equal_family_ever_wrong_rate_all,cell_macro_selective_error_rate,equal_family_selective_error_rate,cell_macro_false_alarm_rate_all,equal_family_false_alarm_rate_all,cell_macro_false_clearance_rate_all,equal_family_false_clearance_rate_all,cell_macro_mean_decision_budget,equal_family_mean_decision_budget,cell_macro_mean_potential_tokens_remaining,equal_family_mean_potential_tokens_remaining
iu28_no_length,11,5,0.3657133177005866,0.3251473459139869,0.13706372502359454,0.11824179786862207,0.3635254255833619,0.3517475317566177,0.05862712043539882,0.05542389841300464,0.07843660458819571,0.06281789945561743,176.3582642429667,183.81107430282285,462.933000380448,551.8551749946389
deepconf_entropy_w64,11,5,0.43485892643873947,0.3970400808101332,0.1604763102178893,0.13586968152090237,0.3450313847372671,0.3232204206468912,0.06950617009769688,0.058635092672868906,0.09097014012019242,0.07723458884803347,160.94284626049333,168.6261907156025,449.4908058716882,524.8375467152673
cusum_swvar_equal,11,5,0.38170560160485584,0.3349352424695833,0.12242187462162084,0.11318680815491607,0.3257275997238552,0.33888515501787814,0.052843332810095324,0.04590682241864828,0.06957854181152548,0.06727998573626778,177.66942840577124,177.69789171418464,512.9438712992852,624.0496400081612
dyn_level4_iu,11,5,0.37488766280857994,0.3280558571882208,0.12105477079393373,0.1136060708675372,0.33716636429836544,0.35555153480850077,0.04900587325118295,0.04360869382692158,0.07204889754275078,0.06999737704061562,176.09547966497024,174.558734447527,505.9935673834562,617.5831166988326
dyn_persist6_iu,11,5,0.3695502779850825,0.3218805864169359,0.12398352222988875,0.11472631495860845,0.36889729996681875,0.38736754095577625,0.05309802015947652,0.04600867293756526,0.07088550207041222,0.0687176420210432,177.75114629873988,179.17831083948732,480.003877892755,583.5155253374077
dyn_change6_iu,11,5,0.3750789773263277,0.3510028032168241,0.13966955857521748,0.12664431308569915,0.35564140909493586,0.3519657839225581,0.07142891943558134,0.06759036272027145,0.06824063913963613,0.059053950365427696,152.1721886853668,153.41326720302624,434.3613405840839,520.6951573910303
