method,cells,feature_count_min,feature_count_max,state_scalars_per_trace,median_fit_seconds,median_score_seconds,max_python_traced_peak_bytes,update_complexity
dyn_level4_iu,11,4,4,6,0.02229995804373175,0.040717167081311345,1789513,O(1) per monitor observation
dyn_persist6_iu,11,6,6,10,0.021243916009552777,0.03837579197715968,1721143,O(1) per monitor observation
dyn_change6_iu,11,5,5,8,0.021266959025524557,0.03792108304332942,1721073,O(1) per monitor observation
