cell_id,coverage,ever_wrong_rate_all,false_alarm_rate_all,false_clearance_rate_all,family,high,low,mean_decision_budget,mean_potential_tokens_remaining,method,n,n_declared,selective_error_rate
hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,0.19,0.06,0.0,0.06,math500,0.7485523660035506,0.03281183368051411,48.8421052631579,854.5263157894736,iu28_no_length,100,19,0.3157894736842105
hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,0.36,0.06,0.0,0.06,math500,0.47106348527968844,0.07361934591589034,76.44444444444444,755.3333333333334,deepconf_entropy_w64,100,36,0.16666666666666666
hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,0.2,0.06,0.0,0.06,math500,0.17194342917733133,-0.7332435239028777,91.2,989.4,cusum_swvar_equal,100,20,0.3
hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,0.2,0.06,0.0,0.06,math500,0.6959495108709454,-0.28282447856995163,91.2,989.4,dyn_level4_iu,100,20,0.3
hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,0.22,0.08,0.02,0.06,math500,0.670256173235139,-0.29518093734793716,100.36363636363636,917.2272727272727,dyn_persist6_iu,100,22,0.36363636363636365
hallucination_phase1_audit_20260816__math500_qwen7b_T1.0_run0,0.38,0.1,0.03,0.07,math500,0.18372976191219936,-0.18973682158660451,106.10526315789474,780.3421052631579,dyn_change6_iu,100,38,0.2631578947368421
processbench_gsm8k__llama31_8b,0.5483870967741935,0.3225806451612903,0.0,0.3225806451612903,gsm8k,0.9370639522329451,0.4122457190563325,47.05882352941177,252.58823529411765,iu28_no_length,31,17,0.5882352941176471
processbench_gsm8k__llama31_8b,0.41935483870967744,0.16129032258064516,0.03225806451612903,0.12903225806451613,gsm8k,0.3777750738118353,0.22038522491601822,108.3076923076923,192.53846153846155,deepconf_entropy_w64,31,13,0.38461538461538464
processbench_gsm8k__llama31_8b,0.3870967741935484,0.12903225806451613,0.12903225806451613,0.0,gsm8k,-0.6850847526303473,-1.9189582719702776,157.33333333333334,188.16666666666666,cusum_swvar_equal,31,12,0.3333333333333333
processbench_gsm8k__llama31_8b,0.45161290322580644,0.12903225806451613,0.12903225806451613,0.0,gsm8k,-0.022600204686712463,-0.7595683705642777,153.14285714285714,188.71428571428572,dyn_level4_iu,31,14,0.2857142857142857
processbench_gsm8k__llama31_8b,0.3548387096774194,0.0967741935483871,0.0967741935483871,0.0,gsm8k,-0.03446904484753191,-0.5544351532327606,171.63636363636363,172.0,dyn_persist6_iu,31,11,0.2727272727272727
processbench_gsm8k__llama31_8b,0.6451612903225806,0.3870967741935484,0.1935483870967742,0.1935483870967742,gsm8k,-0.08037222839427563,-0.20363456927766757,92.8,217.25,dyn_change6_iu,31,20,0.6
processbench_gsm8k__llama3_70b,0.4,0.26666666666666666,0.0,0.26666666666666666,gsm8k,1.1546450835189448,0.44232810123682614,32.0,203.83333333333334,iu28_no_length,15,6,0.6666666666666666
processbench_gsm8k__llama3_70b,0.6666666666666666,0.4,0.0,0.4,gsm8k,0.4457841016520479,0.2705073055026162,73.6,236.5,deepconf_entropy_w64,15,10,0.6
processbench_gsm8k__llama3_70b,0.6,0.26666666666666666,0.0,0.26666666666666666,gsm8k,-0.34460781373597055,-1.3037506826463137,120.88888888888889,221.33333333333334,cusum_swvar_equal,15,9,0.4444444444444444
processbench_gsm8k__llama3_70b,0.6,0.26666666666666666,0.0,0.26666666666666666,gsm8k,0.41851731966499883,-0.40804588785919693,120.88888888888889,221.33333333333334,dyn_level4_iu,15,9,0.4444444444444444
processbench_gsm8k__llama3_70b,0.6,0.3333333333333333,0.06666666666666667,0.26666666666666666,gsm8k,0.4139434947349651,-0.42366644072264914,85.33333333333333,162.55555555555554,dyn_persist6_iu,15,9,0.5555555555555556
processbench_gsm8k__llama3_70b,0.5333333333333333,0.26666666666666666,0.0,0.26666666666666666,gsm8k,0.3351377152563083,-0.17727218312674717,64.0,175.125,dyn_change6_iu,15,8,0.5
processbench_gsm8k__qwen25_15b,0.6666666666666666,0.14285714285714285,0.14285714285714285,0.0,gsm8k,0.5813101262137049,-0.020321056424699266,114.28571428571429,171.92857142857142,iu28_no_length,21,14,0.21428571428571427
processbench_gsm8k__qwen25_15b,0.9523809523809523,0.3333333333333333,0.2857142857142857,0.047619047619047616,gsm8k,0.23297900949351108,0.2005929652778115,51.2,236.55,deepconf_entropy_w64,21,20,0.35
processbench_gsm8k__qwen25_15b,0.38095238095238093,0.0,0.0,0.0,gsm8k,-1.410310441637174,-3.386248697255553,168.0,149.125,cusum_swvar_equal,21,8,0.0
processbench_gsm8k__qwen25_15b,0.38095238095238093,0.0,0.0,0.0,gsm8k,-0.0580938431689988,-0.8794585704803151,184.0,133.125,dyn_level4_iu,21,8,0.0
processbench_gsm8k__qwen25_15b,0.5238095238095238,0.047619047619047616,0.047619047619047616,0.0,gsm8k,-0.24690052716698568,-0.5625787540896507,180.36363636363637,156.9090909090909,dyn_persist6_iu,21,11,0.09090909090909091
processbench_gsm8k__qwen25_15b,0.42857142857142855,0.047619047619047616,0.047619047619047616,0.0,gsm8k,-0.06190082173337931,-0.5769162175372219,149.33333333333334,169.55555555555554,dyn_change6_iu,21,9,0.1111111111111111
processbench_gsm8k__qwen2_7b,0.3076923076923077,0.038461538461538464,0.038461538461538464,0.0,gsm8k,0.770553131114393,0.07289782510548733,108.0,228.125,iu28_no_length,26,8,0.125
processbench_gsm8k__qwen2_7b,0.3076923076923077,0.038461538461538464,0.038461538461538464,0.0,gsm8k,0.39351958693530376,0.12107125833677536,88.0,237.125,deepconf_entropy_w64,26,8,0.125
processbench_gsm8k__qwen2_7b,0.7307692307692307,0.15384615384615385,0.11538461538461539,0.038461538461538464,gsm8k,-0.6742885697611645,-1.3867749097617557,90.94736842105263,223.94736842105263,cusum_swvar_equal,26,19,0.21052631578947367
processbench_gsm8k__qwen2_7b,0.6538461538461539,0.11538461538461539,0.07692307692307693,0.038461538461538464,gsm8k,0.09161377349254238,-0.510890673858781,107.29411764705883,215.8235294117647,dyn_level4_iu,26,17,0.17647058823529413
processbench_gsm8k__qwen2_7b,0.6538461538461539,0.11538461538461539,0.07692307692307693,0.038461538461538464,gsm8k,0.05556617774943644,-0.4623952274672688,90.3529411764706,232.76470588235293,dyn_persist6_iu,26,17,0.17647058823529413
processbench_gsm8k__qwen2_7b,0.38461538461538464,0.038461538461538464,0.038461538461538464,0.0,gsm8k,0.10575979848283842,-0.3339257437870274,185.6,140.8,dyn_change6_iu,26,10,0.1
processbench_math__llama31_8b,0.3188405797101449,0.14492753623188406,0.028985507246376812,0.11594202898550725,math,1.199224458656817,0.34954261150172833,151.27272727272728,472.40909090909093,iu28_no_length,69,22,0.45454545454545453
processbench_math__llama31_8b,0.2463768115942029,0.10144927536231885,0.028985507246376812,0.07246376811594203,math,0.5700214202075227,0.10440875986425514,214.58823529411765,399.94117647058823,deepconf_entropy_w64,69,17,0.4117647058823529
processbench_math__llama31_8b,0.3333333333333333,0.17391304347826086,0.043478260869565216,0.13043478260869565,math,0.2517658120676328,-1.8035998086542795,197.56521739130434,472.6521739130435,cusum_swvar_equal,69,23,0.5217391304347826
processbench_math__llama31_8b,0.2753623188405797,0.14492753623188406,0.028985507246376812,0.11594202898550725,math,0.8151547537211349,-0.5446456998051254,170.10526315789474,490.3157894736842,dyn_level4_iu,69,19,0.5263157894736842
processbench_math__llama31_8b,0.2028985507246377,0.11594202898550725,0.0,0.11594202898550725,math,1.1703182505159575,-0.46375025316707363,66.28571428571429,475.07142857142856,dyn_persist6_iu,69,14,0.5714285714285714
processbench_math__llama31_8b,0.3188405797101449,0.17391304347826086,0.043478260869565216,0.13043478260869565,math,0.34786983746450517,-0.26236028791966626,119.27272727272727,437.45454545454544,dyn_change6_iu,69,22,0.5454545454545454
processbench_math__qwen25math_7b,0.125,0.041666666666666664,0.020833333333333332,0.020833333333333332,math,1.188409910241862,0.050144555148277994,245.33333333333334,559.0,iu28_no_length,48,6,0.3333333333333333
processbench_math__qwen25math_7b,0.5625,0.20833333333333334,0.041666666666666664,0.16666666666666666,math,0.45052333287085966,0.12239276340477043,136.2962962962963,543.1481481481482,deepconf_entropy_w64,48,27,0.37037037037037035
processbench_math__qwen25math_7b,0.2708333333333333,0.08333333333333333,0.0,0.08333333333333333,math,-0.18909965663169567,-2.245353450611895,184.6153846153846,627.7692307692307,cusum_swvar_equal,48,13,0.3076923076923077
processbench_math__qwen25math_7b,0.3541666666666667,0.125,0.0,0.125,math,0.5671331813558267,-0.6254386945187808,129.88235294117646,659.7647058823529,dyn_level4_iu,48,17,0.35294117647058826
processbench_math__qwen25math_7b,0.4166666666666667,0.14583333333333334,0.020833333333333332,0.125,math,0.4604833918814102,-0.5104618193427467,164.8,548.4,dyn_persist6_iu,48,20,0.35
processbench_math__qwen25math_7b,0.3541666666666667,0.125,0.0625,0.0625,math,0.15480391193889576,-0.38475593529614477,111.05882352941177,587.7058823529412,dyn_change6_iu,48,17,0.35294117647058826
processbench_olympiadbench__llama31_8b,0.23170731707317074,0.07317073170731707,0.07317073170731707,0.0,olympiadbench,0.9934504932733293,-0.13164823293079492,348.63157894736844,599.8947368421053,iu28_no_length,82,19,0.3157894736842105
processbench_olympiadbench__llama31_8b,0.2073170731707317,0.06097560975609756,0.04878048780487805,0.012195121951219513,olympiadbench,0.6657770452214979,0.09716631242483911,278.5882352941176,673.4117647058823,deepconf_entropy_w64,82,17,0.29411764705882354
processbench_olympiadbench__llama31_8b,0.15853658536585366,0.04878048780487805,0.024390243902439025,0.024390243902439025,olympiadbench,0.016324046378156806,-2.6314555987226647,307.6923076923077,812.4615384615385,cusum_swvar_equal,82,13,0.3076923076923077
processbench_olympiadbench__llama31_8b,0.14634146341463414,0.06097560975609756,0.036585365853658534,0.024390243902439025,olympiadbench,0.592623080661986,-0.7108851267514948,312.0,743.5,dyn_level4_iu,82,12,0.4166666666666667
processbench_olympiadbench__llama31_8b,0.12195121951219512,0.06097560975609756,0.0,0.06097560975609756,olympiadbench,1.0390476791436587,-0.4805268719986209,80.0,957.3,dyn_persist6_iu,82,10,0.5
processbench_olympiadbench__llama31_8b,0.15853658536585366,0.036585365853658534,0.036585365853658534,0.0,olympiadbench,0.13796123716406455,-0.4031667759954862,179.69230769230768,515.8461538461538,dyn_change6_iu,82,13,0.23076923076923078
processbench_olympiadbench__qwen25math_7b,0.4657534246575342,0.1917808219178082,0.1643835616438356,0.0273972602739726,olympiadbench,0.9628516410259684,0.0677944303748832,325.6470588235294,535.1764705882352,iu28_no_length,73,34,0.4117647058823529
processbench_olympiadbench__qwen25math_7b,0.2328767123287671,0.1095890410958904,0.0821917808219178,0.0273972602739726,olympiadbench,0.5535261204395839,0.05202143387367768,380.2352941176471,464.11764705882354,deepconf_entropy_w64,73,17,0.47058823529411764
processbench_olympiadbench__qwen25math_7b,0.4520547945205479,0.2054794520547945,0.1780821917808219,0.0273972602739726,olympiadbench,-0.6469392563776014,-2.39438302380177,324.8484848484849,562.8181818181819,cusum_swvar_equal,73,33,0.45454545454545453
processbench_olympiadbench__qwen25math_7b,0.4520547945205479,0.2191780821917808,0.1917808219178082,0.0273972602739726,olympiadbench,0.26920054789522535,-0.7130056250312596,371.3939393939394,548.2121212121212,dyn_level4_iu,73,33,0.48484848484848486
processbench_olympiadbench__qwen25math_7b,0.2465753424657534,0.1232876712328767,0.0958904109589041,0.0273972602739726,olympiadbench,0.5236364631824643,-0.5284055305129752,403.55555555555554,534.8888888888889,dyn_persist6_iu,73,18,0.5
processbench_olympiadbench__qwen25math_7b,0.4383561643835616,0.1780821917808219,0.1780821917808219,0.0,olympiadbench,0.05439141806397782,-0.47335274502350727,162.0,650.8125,dyn_change6_iu,73,32,0.40625
processbench_omnimath__llama31_8b,0.2839506172839506,0.07407407407407407,0.024691358024691357,0.04938271604938271,omnimath,1.0484903650781394,0.3186562421012801,180.8695652173913,709.0,iu28_no_length,81,23,0.2608695652173913
processbench_omnimath__llama31_8b,0.2222222222222222,0.04938271604938271,0.024691358024691357,0.024691358024691357,omnimath,0.792085320453335,0.1904478273463801,119.11111111111111,615.3333333333334,deepconf_entropy_w64,81,18,0.2222222222222222
processbench_omnimath__llama31_8b,0.18518518518518517,0.07407407407407407,0.0,0.07407407407407407,omnimath,0.5948411501113116,-1.7643173476505714,32.0,810.1333333333333,cusum_swvar_equal,81,15,0.4
