outcome,n_rows,n_selected,n_abstained,mean_selected_step_length,median_selected_step_length,q90_selected_step_length
all,6800,4813,1987,121.0571369208394,107.0,204.80000000000018
error,4442,3741,701,124.33466987436515,110.0,212.0
clean,2358,1072,1286,109.61940298507463,95.0,191.0
