source_id,population_id,cell_id,slice_id,metric_id,value,ci_low,ci_high,n_rows,n_groups,notes
panel::official_macro_f1,current_common_eight_qwen,aggregate,all,macro_f1,0.33338386192086655,0.31516152241228323,0.3502586859228561,6800,3400,candidate absolute metric under frozen top-five detector thresholds; not candidate-rethresholded
panel::first_error_exact,current_common_eight_qwen,aggregate,all,first_error_exact,0.24780360224844866,0.22893579507345116,0.26715431666429984,6800,3400,candidate absolute metric under frozen top-five detector thresholds; not candidate-rethresholded
panel::first_error_within_one,current_common_eight_qwen,aggregate,all,first_error_within_one,0.465935376590346,0.44441915525105813,0.4873677675943259,6800,3400,candidate absolute metric under frozen top-five detector thresholds; not candidate-rethresholded
panel::clean_abstention_accuracy,current_common_eight_qwen,aggregate,all,clean_abstention_accuracy,0.5453995318503029,0.5179572002780857,0.572832263307171,6800,3400,candidate absolute metric under frozen top-five detector thresholds; not candidate-rethresholded
panel::overall_decision_accuracy,current_common_eight_qwen,aggregate,all,overall_decision_accuracy,0.34706249999999994,0.3310625,0.36325,6800,3400,candidate absolute metric under frozen top-five detector thresholds; not candidate-rethresholded
cell::processbench_gsm8k_qwen3_4b::macro_f1,current_common_eight_qwen,processbench_gsm8k_qwen3_4b,gsm8k,macro_f1,0.3794642857142857,,,400,400,descriptive per-cell candidate metric under the frozen threshold
cell::processbench_math_qwen3_4b::macro_f1,current_common_eight_qwen,processbench_math_qwen3_4b,math,macro_f1,0.3298142937535172,,,1000,1000,descriptive per-cell candidate metric under the frozen threshold
cell::processbench_olympiadbench_qwen3_4b::macro_f1,current_common_eight_qwen,processbench_olympiadbench_qwen3_4b,olympiadbench,macro_f1,0.3161466229764758,,,1000,1000,descriptive per-cell candidate metric under the frozen threshold
cell::processbench_omnimath_qwen3_4b::macro_f1,current_common_eight_qwen,processbench_omnimath_qwen3_4b,omnimath,macro_f1,0.2984795571551626,,,1000,1000,descriptive per-cell candidate metric under the frozen threshold
cell::processbench_gsm8k_qwen3_8b::macro_f1,current_common_eight_qwen,processbench_gsm8k_qwen3_8b,gsm8k,macro_f1,0.37460859664104756,,,400,400,descriptive per-cell candidate metric under the frozen threshold
cell::processbench_math_qwen3_8b::macro_f1,current_common_eight_qwen,processbench_math_qwen3_8b,math,macro_f1,0.3537567084078712,,,1000,1000,descriptive per-cell candidate metric under the frozen threshold
cell::processbench_olympiadbench_qwen3_8b::macro_f1,current_common_eight_qwen,processbench_olympiadbench_qwen3_8b,olympiadbench,macro_f1,0.32619820372062985,,,1000,1000,descriptive per-cell candidate metric under the frozen threshold
