method,pb_all8,pb_q4,pb_q8,prm_within,prm_pooled,prmscore_q08,valid_answers,prm_within_n
rbm6__old,0.36201684493602676,0.37351290000539755,0.350520789866656,0.7359819427631672,0.7081098773075334,0.6307492926682718,13769,6030
rbm6__logit_old,0.349707841643353,0.3565810434023544,0.34283463988435153,0.7356357370021873,0.7000044693128635,0.622232585877287,13769,6030
rbm12__old,0.36375046669893774,0.37118546805583574,0.35631546534203984,0.7387017592037592,0.710417498206284,0.6292760348084029,13769,6030
rbm12__logit_old,0.3627123083012945,0.36981846288211506,0.3556061537204739,0.7452044991713739,0.7058494397346221,0.622215135338216,13769,6030
initial6__old,0.35966210065316107,0.36767337993745064,0.35165082136887144,0.744067528910734,0.6950464031735148,0.6130847986432351,13769,6030
initial12__old,0.3629459417341435,0.3714627820322608,0.3544291014360264,0.7463248825565488,0.6901095815877019,0.6053132074697835,13769,6030
entropy__old,0.35444376642134146,0.3639529013997512,0.3449346314429317,0.7301113611124386,0.7026639408146143,0.625425539209566,13769,6030
var15__old,0.35960987290405433,0.36635390100610593,0.3528658448020027,0.7377863024015934,0.710137783099181,0.6257812284738609,13769,6030
var50__old,0.3567552412698325,0.36080751148342693,0.35270297105623816,0.742464548435578,0.7157833866814454,0.6327768738968429,13769,6030
var15_iu__old,0.3534983585022531,0.35898223922652384,0.34801447777798244,0.74682374405604,0.710261309641098,0.6226885909285921,13769,6030
var15_equal__old,0.3559804364327355,0.3612819032849405,0.3506789695805306,0.746980350290861,0.6999879034964627,0.6128118227013558,13769,6030
shrinkage__old,0.35871143187885435,0.36697741533481043,0.35044544842289826,0.738630248995498,0.7079965583222773,0.6295438953640439,13769,6030
diagonal__old,0.35806949103323005,0.36788322126251166,0.3482557608039484,0.7330448590587003,0.7047273028297086,0.6253013416428403,13769,6030
b6_best_exact1_logit,0.349707841643353,0.3565810434023544,0.34283463988435153,0.7356357370021873,0.7000106994972765,0.6222728810681268,13769,6030
b6_best_exact1_posterior,0.36201684493602676,0.37351290000539755,0.350520789866656,0.7359543031832887,0.7081114611254986,0.6307893806833985,13769,6030
b6_best_exact4_logit,0.24201530790113446,0.2515773516782405,0.2324532641240284,0.7116289809500287,0.6894047464693728,0.6164494855130292,13769,6030
b6_best_exact4_posterior,0.24706066466230422,0.2557288584551166,0.2383924708694919,0.7086619471539581,0.6898884827578042,0.6185264067054519,13769,6030
b12_best_exact1_logit,0.3623253186262504,0.3693977923087219,0.35525284494377884,0.7450238882934548,0.7056263864658492,0.622174806022533,13769,6030
b12_best_exact1_posterior,0.3634451863193967,0.371260377651997,0.3556299949867965,0.7384782536286076,0.7102348135300082,0.629353565402555,13769,6030
b12_best_exact4_logit,0.27326198619764785,0.2813889432868774,0.26513502910841824,0.7218169648747248,0.6854327707433647,0.6124828652857944,13769,6030
b12_best_exact4_posterior,0.2665399121674888,0.2742792527878157,0.2588005715471619,0.7140189767322643,0.6808452335626047,0.6049686301540816,13769,6030
b6_exact1_posterior,0.36201684493602676,0.37351290000539755,0.350520789866656,0.7359819427631672,0.7081099073325186,0.6307492926682718,13769,6030
b6_exact1_logit,0.349707841643353,0.3565810434023544,0.34283463988435153,0.7356357370021873,0.7000044693128635,0.622232585877287,13769,6030
b6_exact4_posterior,0.25320459097152115,0.2599637872676357,0.24644539467540663,0.7100998062444043,0.6875843785354361,0.6167573322745383,13769,6030
b6_exact4_logit,0.24646095305506396,0.25459574448565725,0.23832616162447065,0.7126083270331239,0.686928773602479,0.6143577591380698,13769,6030
b12_exact1_posterior,0.36375046669893774,0.37118546805583574,0.35631546534203984,0.7387017592037592,0.710417498206284,0.6292760348084029,13769,6030
b12_exact1_logit,0.3627123083012945,0.36981846288211506,0.3556061537204739,0.7452044991713739,0.7058494397346221,0.622215135338216,13769,6030
b12_exact4_posterior,0.27836583148057226,0.2831433716087518,0.2735882913523927,0.715044461605975,0.6707500590136392,0.5888552127509552,13769,6030
b12_exact4_logit,0.286553210259071,0.29144122005160344,0.28166520046653865,0.7216932576239864,0.6764719260581147,0.6017249351927991,13769,6030
