kind,id,value,ci_low,ci_high
absolute,P2E_H0_FAMILY6_TOP10_LLAMA4,0.34890888060137254,,
absolute,P2E_H2_CLEAN_C7_LLAMA4,0.3555833452374784,,
absolute,P2E_H3_EQUAL_C8_RERANK_LLAMA4,0.3532807619789454,,
contrast,P2E_H2_CLEAN_C7_LLAMA4__vs__P2E_H0_FAMILY6_TOP10_LLAMA4__official_macro_f1,0.006674464636105881,-0.007090624878183999,0.020942814892941326
contrast,P2E_H3_EQUAL_C8_RERANK_LLAMA4__vs__P2E_H0_FAMILY6_TOP10_LLAMA4__official_macro_f1,0.004371881377572884,-0.009677021874356245,0.0184524462729739
contrast,P2E_H3_EQUAL_C8_RERANK_LLAMA4__vs__P2E_H2_CLEAN_C7_LLAMA4__official_macro_f1,-0.0023025832585329975,-0.011661874608934803,0.007000864142496337
