outcome,n_rows,n_selected,n_abstained,mean_selected_step_length,median_selected_step_length,q90_selected_step_length
all,6800,4925,1875,123.66355329949239,108.0,212.0
error,4442,3795,647,127.13438735177866,112.0,216.0
clean,2358,1130,1228,112.0070796460177,97.0,190.10000000000002
