contrast_id,left_variant_id,right_variant_id,metric_id,source_metric_id,delta,ci_low,ci_high,wins,ties,losses,worst_unit_delta,worst_unit_id,family_wins,family_ties,family_losses,worst_family_delta,worst_family_id,multiplicity_family_size,inference
pb::C3_ENT_CCUSUM::P2A_TOPK10_REFERENCE::official_macro_f1,C3_ENT_CCUSUM,P2A_TOPK10_REFERENCE,macro_f1,official_macro_f1,-0.03218707643433638,-0.05225369136158961,-0.012884082843528093,0,0,8,-0.054243224237180365,processbench_omnimath_qwen3_8b,0,0,4,-0.05281719541530852,omnimath,16,Bonferroni simultaneous percentile interval across 16 opened C1--C8 primary contrasts
pb::C3_ENT_CCUSUM::P2A_TOPK10_REFERENCE::first_error_exact,C3_ENT_CCUSUM,P2A_TOPK10_REFERENCE,first_error_exact,first_error_exact,-0.02562186744996056,-0.04057480148970757,-0.011002558022175563,0,0,8,-0.048309178743961345,processbench_gsm8k_qwen3_4b,0,0,4,-0.04150197628458498,omnimath,1,unadjusted paired diagnostic percentile interval
pb::C3_ENT_CCUSUM::P2A_TOPK10_REFERENCE::first_error_within_one,C3_ENT_CCUSUM,P2A_TOPK10_REFERENCE,first_error_within_one,first_error_within_one,-0.02515293311106631,-0.04009689821674465,-0.010037935387678732,1,0,7,-0.04387291981845687,processbench_olympiadbench_qwen3_4b,0,0,4,-0.0431164901664145,olympiadbench,1,unadjusted paired diagnostic percentile interval
pb::C3_ENT_CCUSUM::P2A_TOPK10_REFERENCE::clean_abstention_accuracy,C3_ENT_CCUSUM,P2A_TOPK10_REFERENCE,clean_abstention_accuracy,clean_abstention_accuracy,-0.039426279229625716,-0.05122054307851092,-0.028070720738987226,0,0,8,-0.08298755186721996,processbench_omnimath_qwen3_8b,0,0,4,-0.04564315352697096,omnimath,1,unadjusted paired diagnostic percentile interval
pb::C3_ENT_CCUSUM::P2A_TOPK10_REFERENCE::overall_decision_accuracy,C3_ENT_CCUSUM,P2A_TOPK10_REFERENCE,overall_decision_accuracy,overall_decision_accuracy,-0.030750000000000055,-0.04056250000000006,-0.020687500000000025,0,0,8,-0.049000000000000044,processbench_omnimath_qwen3_8b,0,0,4,-0.04250000000000004,omnimath,1,unadjusted paired diagnostic percentile interval
pb::C3_ENT_CCUSUM::R1_ENTROPY_TOP5::official_macro_f1,C3_ENT_CCUSUM,R1_ENTROPY_TOP5,macro_f1,official_macro_f1,-0.02021282901330812,-0.038917328519301374,-0.0019420411639526375,0,0,8,-0.03082730244912829,processbench_omnimath_qwen3_8b,0,0,4,-0.02903444005886896,omnimath,16,Bonferroni simultaneous percentile interval across 16 opened C1--C8 primary contrasts
pb::C3_ENT_CCUSUM::R1_ENTROPY_TOP5::first_error_exact,C3_ENT_CCUSUM,R1_ENTROPY_TOP5,first_error_exact,first_error_exact,-0.017127965838746623,-0.03140767922808048,-0.0025854708823699903,0,0,8,-0.024154589371980673,processbench_gsm8k_qwen3_4b,0,0,4,-0.024154589371980673,gsm8k,1,unadjusted paired diagnostic percentile interval
pb::C3_ENT_CCUSUM::R1_ENTROPY_TOP5::first_error_within_one,C3_ENT_CCUSUM,R1_ENTROPY_TOP5,first_error_within_one,first_error_within_one,-0.028590100837354637,-0.04362968228512454,-0.01350202708398786,0,0,8,-0.0453857791225416,processbench_olympiadbench_qwen3_8b,0,0,4,-0.04387291981845687,olympiadbench,1,unadjusted paired diagnostic percentile interval
pb::C3_ENT_CCUSUM::R1_ENTROPY_TOP5::clean_abstention_accuracy,C3_ENT_CCUSUM,R1_ENTROPY_TOP5,clean_abstention_accuracy,clean_abstention_accuracy,-0.020847678506079048,-0.030864222447881846,-0.01109696424141583,1,1,6,-0.053941908713692976,processbench_omnimath_qwen3_8b,0,0,4,-0.031088082901554404,gsm8k,1,unadjusted paired diagnostic percentile interval
pb::C3_ENT_CCUSUM::R1_ENTROPY_TOP5::overall_decision_accuracy,C3_ENT_CCUSUM,R1_ENTROPY_TOP5,overall_decision_accuracy,overall_decision_accuracy,-0.01837500000000003,-0.0277515625000001,-0.00887499999999991,0,1,7,-0.029000000000000026,processbench_omnimath_qwen3_8b,0,0,4,-0.027500000000000024,gsm8k,1,unadjusted paired diagnostic percentile interval
