cell,fold,answers,known_steps,unsupervised_update,supervised_update,delta
pb_gsm8k_q4,0,80,332,4.90138191702384,1.0093173249087424,-3.8920645921150974
pb_gsm8k_q4,1,81,296,5.083408570680728,0.8318319130533682,-4.25157665762736
pb_gsm8k_q4,2,78,305,4.883518275094001,0.7015183175331074,-4.181999957560894
pb_gsm8k_q4,3,78,312,4.729366923390417,1.0030183253774994,-3.726348598012918
pb_gsm8k_q4,4,83,323,4.64983350175476,0.7956000995493187,-3.854233402205441
pb_gsm8k_q8,0,80,332,5.0638374196252,0.9834926503901114,-4.080344769235088
pb_gsm8k_q8,1,81,296,5.317749319246186,0.7372983872607638,-4.580450931985422
pb_gsm8k_q8,2,78,305,5.020271762782085,0.7249365149836877,-4.295335247798397
pb_gsm8k_q8,3,78,312,4.86424051071699,1.179843949959644,-3.684396560757346
pb_gsm8k_q8,4,83,323,5.230250814988331,1.053511231843311,-4.17673958314502
pb_math_q4,0,203,914,6.378248137760778,0.9600287038749437,-5.4182194338858345
pb_math_q4,1,201,842,6.866870592774479,1.047349324479972,-5.8195212682945066
pb_math_q4,2,201,898,6.561269971075536,0.9917410107996152,-5.569528960275921
pb_math_q4,3,196,821,6.608148667641547,0.8950813719991476,-5.7130672956424
pb_math_q4,4,199,891,6.807722842709769,1.0487263963032678,-5.758996446406501
pb_math_q8,0,203,914,6.33992809581455,0.891360366742489,-5.44856772907206
pb_math_q8,1,201,842,6.770568085025104,0.9949091941275889,-5.775658890897516
pb_math_q8,2,201,898,6.527379347360854,0.960017873531001,-5.567361473829853
pb_math_q8,3,196,821,6.595396790801365,0.9263153868021923,-5.669081403999172
pb_math_q8,4,199,891,6.709424430941748,0.9282500130673599,-5.7811744178743885
pb_olympiadbench_q4,0,209,1143,7.8071796016158705,0.955021473141443,-6.852158128474428
pb_olympiadbench_q4,1,202,1223,7.567714733320411,0.8486871070438378,-6.719027626276573
pb_olympiadbench_q4,2,201,1103,7.955673983046133,1.0390996000335242,-6.916574383012609
pb_olympiadbench_q4,3,193,1121,7.352373388412292,0.8724043669927696,-6.479969021419522
pb_olympiadbench_q4,4,195,1232,7.37615472418255,0.8693204810813019,-6.506834243101248
pb_olympiadbench_q8,0,209,1143,7.5422682921454856,0.9064938645425848,-6.6357744276029
pb_olympiadbench_q8,1,202,1223,7.365073269173628,0.8043778939091756,-6.560695375264452
pb_olympiadbench_q8,2,201,1103,7.714468782038752,1.0166745742249712,-6.69779420781378
pb_olympiadbench_q8,3,193,1121,7.207790407427093,0.8861017440334016,-6.321688663393692
pb_olympiadbench_q8,4,195,1232,7.201798511527337,0.8538884022166806,-6.347910109310656
pb_omnimath_q4,0,197,939,7.612898089081311,1.0445108936150171,-6.568387195466293
pb_omnimath_q4,1,197,1029,7.288022345161194,0.9937741549697892,-6.2942481901914045
pb_omnimath_q4,2,207,1020,7.087996287649967,0.8198109172295931,-6.268185370420374
pb_omnimath_q4,3,205,928,6.947259410934811,0.8422975444675497,-6.104961866467262
pb_omnimath_q4,4,194,876,7.845093456512835,0.8358790421129902,-7.009214414399844
pb_omnimath_q8,0,197,939,7.390359850192665,1.0078307959941544,-6.3825290541985105
pb_omnimath_q8,1,197,1029,7.1544586581219995,0.9615760507335789,-6.1928826073884204
pb_omnimath_q8,2,207,1020,6.901978650655314,0.7858079950951089,-6.116170655560206
pb_omnimath_q8,3,205,928,6.773698701469655,0.8343685846137212,-5.939330116855934
pb_omnimath_q8,4,194,876,7.608641407318907,0.8424184106198843,-6.766222996699023
prmbench_qwen3_8b,0,1404,19415,2.920185615843596,1.0051314524902293,-1.9150541633533669
prmbench_qwen3_8b,1,1378,19165,3.2168029927040718,1.0996581985712206,-2.117144794132851
prmbench_qwen3_8b,2,1356,18223,2.8816922497920734,1.0290953002069096,-1.8525969495851637
prmbench_qwen3_8b,3,1424,18263,2.9834205694541818,0.9495861124263589,-2.033834457027823
prmbench_qwen3_8b,4,1407,19137,2.8390888785672246,0.9416012353999381,-1.8974876431672865
