domain,cell_key,n,pos_rate,pool_size,n_subsets,best_auroc,best_feats,best_K,good5_auroc,good5_rank,good5_pctile,all16_auroc,epr_auroc,avg_auroc,sweep_seconds
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,198,0.242,14,16278,0.6080555555555556,stft_max_high_power|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_max,4,0.5525,10766,33.86,0.5574999999999999,0.5484722222222222,0.5358333333333334,332.4
gpqa,Llama-8B_T1.0,198,0.268,16,65399,0.572153545868575,trace_length|spectral_centroid|stft_max_high_power|stft_spectral_entropy|cusum_shift_idx,3,0.532726089785296,35597,45.57,0.5458685751463891,0.5113858165256995,0.5220559531554978,1220.9
gpqa,Mistral-7B_T1.0,198,0.253,16,65399,0.6013513513513513,stft_max_high_power|rpdi|cusum_shift_idx,2,0.41770270270270266,43038,34.19,0.44162162162162166,0.4437837837837838,0.4548648648648648,1462.9
gpqa,Qwen-7B_T1.0,198,0.303,16,65399,0.5967391304347827,epr|trace_length|high_band_power|spectral_centroid|rpdi|cusum_max,3,0.5234299516908212,18239,72.11,0.4358695652173913,0.4531400966183575,0.4592995169082126,1227.6
gpqa,Qwen2.5-72B-Instruct-AWQ_T1.0,198,0.404,16,65399,0.6603813559322034,trace_length|sw_var_peak|cusum_max|cusum_shift_idx,3,0.5018008474576272,4453,93.19,0.39311440677966103,0.44894067796610165,0.4227754237288135,1289.6
gsm8k,Llama-8B_T1.0,1319,0.791,16,65399,0.7655001597954619,epr|spectral_entropy|low_band_power|stft_spectral_entropy|sw_var_peak|cusum_shift_idx,4,0.7563292898133867,312,99.52,0.7381820834549168,0.7074735642725138,0.6075979268275737,1259.4
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,300,0.41,15,32647,0.8611455606081484,epr|spectral_entropy|dominant_freq|stft_spectral_entropy|rpdi|sw_var_peak,2,0.8439208120894768,644,98.03,0.8267879288962381,0.8210922787193974,0.7058931606265215,612.1
math500,Qwen-Math-7B_T1.0,300,0.28,14,16278,0.9584986772486772,epr|hl_ratio|stft_spectral_entropy|rpdi|cusum_shift_idx,2,0.9443893298059964,3647,77.6,0.9408619929453262,0.9662147266313933,0.18524029982363316,372.9
math500,Qwen2.5-Math-1.5B-Instruct_T1.0,300,0.443,16,65399,0.8862725676466615,epr|trace_length|spectral_entropy|dominant_freq|hurst_exponent|cusum_shift_idx,4,0.8667327000135068,22580,65.47,0.8666876772770248,0.8558371977848813,0.244968709198145,1263.6
math500,deepseek-math-7b-instruct_T1.0,300,0.197,16,65399,0.7475209227090512,epr|trace_length|spectral_entropy|pe_mean|hurst_exponent|cusum_shift_idx,5,0.7156621422040932,9527,85.43,0.6996272593009354,0.7079260144876574,0.5518672199170125,831.8
