domain,cell_key,n,subset,method,n_feats,auroc,lo,hi,flipped
gsm8k,Llama-8B_T1.0,1319,GOOD_5,upcr,5,0.7373,0.7007,0.7734,False
gsm8k,Llama-8B_T1.0,1319,STABLE_H9,lsml,9,0.7329,0.6974,0.7717,False
gsm8k,Llama-8B_T1.0,1319,STABLE_H9,upcr,9,0.717,0.679,0.757,False
gsm8k,Llama-8B_T1.0,1319,ALL_H16,lsml,16,0.7382,0.7036,0.7731,True
gsm8k,Llama-8B_T1.0,1319,ALL_H16,upcr,16,0.5579,0.5196,0.5981,False
rag,Qwen-7B/hotpotqa,169,consensus_4,lsml,4,0.6699,0.5143,0.8143,False
rag,Qwen-7B/hotpotqa,169,consensus_4,upcr,4,0.6742,0.5153,0.8137,False
rag,Qwen-7B/hotpotqa,169,GOOD_5,lsml,5,0.6253,0.4518,0.7956,False
rag,Qwen-7B/hotpotqa,169,GOOD_5,upcr,5,0.6344,0.4595,0.8028,False
rag,Qwen-7B/hotpotqa,169,STABLE_H9,lsml,9,0.524,0.3549,0.6788,True
rag,Qwen-7B/hotpotqa,169,STABLE_H9,upcr,9,0.5374,0.3698,0.6992,False
rag,Qwen-7B/hotpotqa,169,ALL_H16,lsml,16,0.6944,0.5342,0.8348,True
rag,Qwen-7B/hotpotqa,169,ALL_H16,upcr,16,0.6013,0.4352,0.7576,False
rag,Qwen-7B/natural-questions,103,consensus_4,lsml,4,0.6097,0.4245,0.7915,False
rag,Qwen-7B/natural-questions,103,consensus_4,upcr,4,0.6324,0.4565,0.7992,False
rag,Qwen-7B/natural-questions,103,GOOD_5,lsml,5,0.6136,0.4231,0.7973,False
rag,Qwen-7B/natural-questions,103,GOOD_5,upcr,5,0.6107,0.421,0.7962,False
rag,Qwen-7B/natural-questions,103,STABLE_H9,lsml,9,0.5672,0.3945,0.7528,True
rag,Qwen-7B/natural-questions,103,STABLE_H9,upcr,9,0.5711,0.3765,0.7735,False
rag,Qwen-7B/natural-questions,103,ALL_H16,lsml,16,0.6423,0.4828,0.7987,False
rag,Qwen-7B/natural-questions,103,ALL_H16,upcr,16,0.6502,0.4622,0.8192,False
rag,Qwen-7B/2wikimultihopqa,192,consensus_4,lsml,4,0.5742,0.3979,0.773,False
rag,Qwen-7B/2wikimultihopqa,192,consensus_4,upcr,4,0.5433,0.37,0.7318,False
rag,Qwen-7B/2wikimultihopqa,192,GOOD_5,lsml,5,0.5108,0.3204,0.7023,False
rag,Qwen-7B/2wikimultihopqa,192,GOOD_5,upcr,5,0.4815,0.3077,0.657,False
rag,Qwen-7B/2wikimultihopqa,192,STABLE_H9,lsml,9,0.435,0.2675,0.6328,True
rag,Qwen-7B/2wikimultihopqa,192,STABLE_H9,upcr,9,0.5369,0.3459,0.7295,False
