size,K2,K3,K4,K5,K6,K7,K8
3,24912,,,,,,
4,31860,45659,,,,,
5,76870,47265,54238,,,,
6,111590,97428,67628,37382,,,
7,104440,159960,97521,53530,16123,,
8,69016,175167,136569,59667,23546,4074,
9,34236,135147,134849,70098,21702,5359,582
10,12852,76551,97329,60118,20718,4351,639
11,3401,32648,50754,38310,15120,3715,456
12,558,10224,19147,17799,8388,2138,363
13,55,2370,5026,5665,3394,916,201
14,1,366,865,1194,901,315,62
15,,31,103,151,124,62,15
16,,,9,6,9,5,1
