ranking,rank,score,size,subset,gpqa,gsm8k,math500,qa,rag,repgrid
macro_domain_weighted,#1,0.6999,5,epr|spectral_entropy|hl_ratio|sw_var_peak|cusum_max,0.51,0.753,0.842,0.756,0.602,0.736
macro_domain_weighted,#2,0.6984,4,epr|hl_ratio|sw_var_peak|cusum_max,0.524,0.743,0.837,0.767,0.589,0.731
macro_domain_weighted,#3,0.6976,5,epr|hl_ratio|rpdi|sw_var_peak|cusum_max,0.524,0.745,0.84,0.763,0.585,0.728
macro_domain_weighted,#4,0.6973,5,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max,0.506,0.756,0.843,0.75,0.596,0.733
macro_domain_weighted,#5,0.697,6,epr|spectral_entropy|hl_ratio|rpdi|sw_var_peak|cusum_max,0.514,0.751,0.844,0.754,0.59,0.728
macro_domain_weighted,GOOD_5,0.6973,5,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max,0.506,0.756,0.843,0.75,0.596,0.733
macro_cell_mean,#1,0.6787,6,epr|spectral_entropy|rpdi|sw_var_peak|cusum_max|cusum_shift_idx,0.502,0.743,0.841,0.675,0.622,0.727
macro_cell_mean,#2,0.6783,5,epr|spectral_entropy|hl_ratio|sw_var_peak|cusum_max,0.51,0.753,0.842,0.756,0.602,0.736
macro_cell_mean,#3,0.6772,6,epr|spectral_entropy|hl_ratio|rpdi|sw_var_peak|cusum_max,0.514,0.751,0.844,0.754,0.59,0.728
macro_cell_mean,#4,0.6768,5,epr|hl_ratio|rpdi|sw_var_peak|cusum_max,0.524,0.745,0.84,0.763,0.585,0.728
macro_cell_mean,#5,0.6765,5,epr|spectral_entropy|sw_var_peak|cusum_max|cusum_shift_idx,0.51,0.736,0.834,0.707,0.616,0.731
macro_cell_mean,GOOD_5,0.6743,5,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max,0.506,0.756,0.843,0.75,0.596,0.733
reasoning_math500_gsm8k_qa,#1,0.7845,6,epr|spectral_entropy|low_band_power|rpdi|sw_var_peak|cusum_max,0.511,0.757,0.845,0.752,0.578,0.722
reasoning_math500_gsm8k_qa,#2,0.7839,5,epr|spectral_entropy|hl_ratio|sw_var_peak|cusum_max,0.51,0.753,0.842,0.756,0.602,0.736
reasoning_math500_gsm8k_qa,#3,0.7831,5,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max,0.506,0.756,0.843,0.75,0.596,0.733
reasoning_math500_gsm8k_qa,#4,0.783,6,epr|spectral_entropy|hl_ratio|rpdi|sw_var_peak|cusum_max,0.514,0.751,0.844,0.754,0.59,0.728
reasoning_math500_gsm8k_qa,#5,0.783,5,epr|hl_ratio|rpdi|sw_var_peak|cusum_max,0.524,0.745,0.84,0.763,0.585,0.728
reasoning_math500_gsm8k_qa,GOOD_5,0.7831,5,epr|spectral_entropy|low_band_power|sw_var_peak|cusum_max,0.506,0.756,0.843,0.75,0.596,0.733
