domain,cell,size,lsml,flat,avg,upcr
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,3,0.5786,0.5781,0.5743,0.5737
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,3,0.6071,0.6019,0.6036,0.6025
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,3,0.6049,0.6022,0.5315,0.5954
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,4,0.5619,0.5522,0.4806,0.5782
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,4,0.5604,0.5506,0.5631,0.5337
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,4,0.5407,0.5504,0.5407,0.5678
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,4,0.5965,0.5967,0.4747,0.5953
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,4,0.5426,0.5399,0.5426,0.5401
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,4,0.5528,0.5454,0.5242,0.5629
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,4,0.4439,0.5597,0.4794,0.5328
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,4,0.5542,0.5513,0.5462,0.5393
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,4,0.5615,0.571,0.4903,0.5468
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,4,0.5612,0.5607,0.4961,0.5624
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,4,0.5986,0.609,0.5529,0.5996
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,4,0.6018,0.6031,0.4911,0.5953
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,4,0.6022,0.5921,0.5119,0.5222
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,4,0.5987,0.596,0.4337,0.5785
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5507,0.5475,0.5357,0.5461
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5525,0.5503,0.486,0.4621
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5638,0.5553,0.5643,0.5401
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5658,0.5613,0.5354,0.5337
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5487,0.5681,0.5579,0.5681
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5492,0.5499,0.5379,0.5271
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5586,0.5587,0.5297,0.5474
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5761,0.5707,0.5339,0.5601
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5608,0.5625,0.5229,0.5685
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.551,0.554,0.5876,0.5656
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5838,0.5794,0.5083,0.5703
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5615,0.5597,0.5192,0.55
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5857,0.5785,0.4957,0.5628
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5647,0.56,0.5549,0.5628
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5493,0.5526,0.5244,0.5633
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5547,0.5532,0.5104,0.5433
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5519,0.5543,0.5258,0.5433
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.555,0.555,0.5471,0.549
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5871,0.5826,0.5388,0.5668
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.6001,0.5915,0.5588,0.45
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5425,0.5389,0.4708,0.5535
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5367,0.5379,0.5721,0.5365
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5668,0.5539,0.4629,0.5906
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5297,0.53,0.5351,0.5304
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5312,0.5346,0.4932,0.5258
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5581,0.5469,0.4928,0.5342
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5558,0.5531,0.5126,0.5432
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.601,0.5925,0.5,0.5633
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.601,0.5946,0.5075,0.5833
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5558,0.5535,0.4551,0.5304
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5706,0.5751,0.4799,0.5704
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5747,0.556,0.4901,0.5088
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.6003,0.595,0.5324,0.5968
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.6047,0.5935,0.515,0.5763
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5999,0.5714,0.5539,0.5836
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,5,0.5993,0.5918,0.465,0.5947
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5568,0.5522,0.54,0.5486
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5462,0.544,0.5386,0.5396
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5614,0.5536,0.5088,0.5469
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5879,0.5742,0.5019,0.5431
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5379,0.5358,0.5796,0.5513
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5589,0.5518,0.5426,0.5533
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5425,0.5325,0.551,0.5344
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5678,0.5622,0.53,0.5469
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.549,0.5578,0.5476,0.5551
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5828,0.5765,0.5262,0.55
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5465,0.5471,0.4946,0.5224
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5442,0.5407,0.5261,0.5357
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5539,0.5585,0.5467,0.5561
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5569,0.5569,0.5831,0.5668
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5507,0.5479,0.5154,0.5176
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5757,0.5656,0.5232,0.5501
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5649,0.5576,0.4804,0.5396
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,6,0.5626,0.5607,0.5449,0.5504
