domain,cell,size,n_subsets,max,p5,p25,p50,p75,p95
gsm8k,Llama-8B_T1.0,14,120,0.7536,0.7152,0.7278,0.7393,0.7451,0.7516
gsm8k,Llama-8B_T1.0,15,16,0.7522,0.7245,0.7368,0.7396,0.7444,0.7508
gsm8k,Llama-8B_T1.0,16,1,0.7382,0.7382,0.7382,0.7382,0.7382,0.7382
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,3,455,0.8515,0.6695,0.7501,0.7845,0.8105,0.8383
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,4,1365,0.8575,0.6881,0.7701,0.7977,0.8176,0.8395
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,5,3003,0.861,0.7125,0.7832,0.8052,0.8195,0.8385
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,6,5005,0.8611,0.7461,0.7921,0.8082,0.821,0.8384
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,7,6435,0.8564,0.7612,0.7962,0.8101,0.8221,0.8384
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,8,6435,0.8554,0.7725,0.7989,0.8116,0.8222,0.839
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,9,5005,0.8541,0.7779,0.8018,0.8125,0.8224,0.8391
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,10,3003,0.8484,0.7835,0.8046,0.814,0.8232,0.838
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,11,1365,0.8466,0.7892,0.8069,0.8147,0.825,0.8367
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,12,455,0.8377,0.7942,0.809,0.816,0.8289,0.8341
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,13,105,0.8341,0.798,0.8113,0.8196,0.8276,0.8316
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,14,15,0.8295,0.8055,0.8143,0.8196,0.8261,0.8294
math500,DeepSeek-R1-Distill-Llama-8B_T1.0,15,1,0.8268,0.8268,0.8268,0.8268,0.8268,0.8268
