domain,cell,size,n_subsets,max,p5,p25,p50,p75,p95
rag,Mistral-24B/hotpotqa,10,8008,0.6984,0.5992,0.6151,0.629,0.6409,0.6567
rag,Mistral-24B/hotpotqa,11,4368,0.6786,0.6032,0.619,0.629,0.6409,0.6548
rag,Mistral-24B/hotpotqa,12,1820,0.6726,0.6091,0.621,0.631,0.6409,0.6548
rag,Mistral-24B/hotpotqa,13,560,0.6647,0.6131,0.625,0.6329,0.6409,0.6508
rag,Mistral-24B/hotpotqa,14,120,0.6587,0.619,0.627,0.6329,0.6389,0.6488
rag,Mistral-24B/hotpotqa,15,16,0.6448,0.6235,0.6285,0.6319,0.6369,0.6434
rag,Mistral-24B/hotpotqa,16,1,0.631,0.631,0.631,0.631,0.631,0.631
rag,Mistral-24B/narrativeqa,3,364,0.6704,0.4558,0.5281,0.5547,0.5817,0.6163
rag,Mistral-24B/narrativeqa,4,1001,0.6734,0.4565,0.5208,0.5544,0.5882,0.626
rag,Mistral-24B/narrativeqa,5,2002,0.659,0.4652,0.531,0.5622,0.5869,0.6168
rag,Mistral-24B/narrativeqa,6,3003,0.6407,0.4753,0.5365,0.5653,0.5866,0.6127
rag,Mistral-24B/narrativeqa,7,3432,0.6386,0.4857,0.5409,0.5665,0.5869,0.6093
rag,Mistral-24B/narrativeqa,8,3003,0.6316,0.51,0.5451,0.5692,0.5885,0.6068
rag,Mistral-24B/narrativeqa,9,2002,0.6236,0.5212,0.5489,0.5712,0.5891,0.6047
rag,Mistral-24B/narrativeqa,10,1001,0.6139,0.5275,0.5509,0.574,0.589,0.6028
rag,Mistral-24B/narrativeqa,11,364,0.6083,0.5336,0.5506,0.5776,0.5885,0.5994
rag,Mistral-24B/narrativeqa,12,91,0.6041,0.5427,0.553,0.5807,0.5869,0.5951
rag,Mistral-24B/narrativeqa,13,14,0.5905,0.552,0.5538,0.5595,0.5862,0.5902
rag,Mistral-24B/narrativeqa,14,1,0.5644,0.5644,0.5644,0.5644,0.5644,0.5644
rag,Mistral-24B/natural-questions,3,560,0.7175,0.3046,0.3619,0.4127,0.4762,0.6194
rag,Mistral-24B/natural-questions,4,1820,0.7714,0.3016,0.3587,0.3968,0.454,0.619
rag,Mistral-24B/natural-questions,5,4368,0.7429,0.3016,0.3492,0.3873,0.4317,0.5968
rag,Mistral-24B/natural-questions,6,8008,0.7619,0.3016,0.346,0.381,0.4222,0.5587
rag,Mistral-24B/natural-questions,7,11440,0.7556,0.3016,0.346,0.381,0.4127,0.5111
rag,Mistral-24B/natural-questions,8,12870,0.746,0.3079,0.346,0.3778,0.4127,0.4889
rag,Mistral-24B/natural-questions,9,11440,0.7238,0.3111,0.3524,0.3778,0.4095,0.4762
rag,Mistral-24B/natural-questions,10,8008,0.7143,0.3175,0.3556,0.381,0.4063,0.454
rag,Mistral-24B/natural-questions,11,4368,0.6921,0.3206,0.3556,0.381,0.4032,0.4381
rag,Mistral-24B/natural-questions,12,1820,0.6413,0.327,0.3587,0.381,0.4,0.4254
rag,Mistral-24B/natural-questions,13,560,0.4381,0.3333,0.3619,0.381,0.4,0.419
rag,Mistral-24B/natural-questions,14,120,0.4349,0.3427,0.3675,0.3841,0.3968,0.4098
rag,Mistral-24B/natural-questions,15,16,0.4032,0.3571,0.377,0.3905,0.3944,0.4008
rag,Mistral-24B/natural-questions,16,1,0.4032,0.4032,0.4032,0.4032,0.4032,0.4032
rag,Qwen-72B/2wikimultihopqa,3,455,0.6681,0.4231,0.4681,0.5165,0.5639,0.613
rag,Qwen-72B/2wikimultihopqa,4,1365,0.6648,0.4264,0.4706,0.5193,0.5639,0.6038
rag,Qwen-72B/2wikimultihopqa,5,3003,0.6488,0.4292,0.4739,0.5186,0.5599,0.5963
rag,Qwen-72B/2wikimultihopqa,6,5005,0.6496,0.4344,0.4757,0.5174,0.5559,0.5899
rag,Qwen-72B/2wikimultihopqa,7,6435,0.6431,0.4371,0.4769,0.5154,0.5519,0.5825
rag,Qwen-72B/2wikimultihopqa,8,6435,0.6185,0.4404,0.4788,0.5157,0.5475,0.5766
rag,Qwen-72B/2wikimultihopqa,9,5005,0.5989,0.4441,0.4816,0.5144,0.5437,0.571
rag,Qwen-72B/2wikimultihopqa,10,3003,0.5969,0.4483,0.4853,0.5138,0.539,0.5653
rag,Qwen-72B/2wikimultihopqa,11,1365,0.5875,0.4531,0.4891,0.5137,0.535,0.5581
rag,Qwen-72B/2wikimultihopqa,12,455,0.5698,0.4608,0.4943,0.5114,0.5308,0.5504
rag,Qwen-72B/2wikimultihopqa,13,105,0.5549,0.4719,0.495,0.5107,0.5248,0.5424
rag,Qwen-72B/2wikimultihopqa,14,15,0.532,0.4866,0.4949,0.5099,0.5181,0.5294
rag,Qwen-72B/2wikimultihopqa,15,1,0.5072,0.5072,0.5072,0.5072,0.5072,0.5072
rag,Qwen-72B/hotpotqa,3,455,0.7864,0.5398,0.6314,0.6807,0.7165,0.7562
rag,Qwen-72B/hotpotqa,4,1365,0.7873,0.5403,0.6503,0.7033,0.7337,0.7625
rag,Qwen-72B/hotpotqa,5,3003,0.7907,0.5654,0.6713,0.7152,0.7405,0.7644
rag,Qwen-72B/hotpotqa,6,5005,0.7918,0.6049,0.6861,0.7224,0.7445,0.7663
rag,Qwen-72B/hotpotqa,7,6435,0.7918,0.6345,0.7028,0.7297,0.7488,0.7682
rag,Qwen-72B/hotpotqa,8,6435,0.7926,0.6614,0.7154,0.7364,0.7528,0.769
rag,Qwen-72B/hotpotqa,9,5005,0.7988,0.6829,0.7249,0.7413,0.7555,0.77
rag,Qwen-72B/hotpotqa,10,3003,0.7913,0.7033,0.7308,0.745,0.7574,0.7706
rag,Qwen-72B/hotpotqa,11,1365,0.7883,0.716,0.7361,0.7488,0.7587,0.7703
rag,Qwen-72B/hotpotqa,12,455,0.7835,0.724,0.7425,0.7512,0.7604,0.7704
rag,Qwen-72B/hotpotqa,13,105,0.7778,0.7356,0.7474,0.7534,0.7617,0.7713
rag,Qwen-72B/hotpotqa,14,15,0.77,0.7467,0.752,0.7585,0.7618,0.7697
rag,Qwen-72B/hotpotqa,15,1,0.7598,0.7598,0.7598,0.7598,0.7598,0.7598
rag,Qwen-72B/narrativeqa,3,364,0.6742,0.5064,0.5487,0.5797,0.6149,0.6492
rag,Qwen-72B/narrativeqa,4,1001,0.6718,0.5145,0.557,0.5873,0.6144,0.6471
rag,Qwen-72B/narrativeqa,5,2002,0.6718,0.5219,0.5628,0.5907,0.6153,0.6457
rag,Qwen-72B/narrativeqa,6,3003,0.6683,0.5286,0.5672,0.594,0.6165,0.6441
rag,Qwen-72B/narrativeqa,7,3432,0.6666,0.5324,0.5709,0.596,0.6175,0.6402
rag,Qwen-72B/narrativeqa,8,3003,0.6597,0.5339,0.572,0.5984,0.6168,0.6371
rag,Qwen-72B/narrativeqa,9,2002,0.6583,0.5376,0.5762,0.5996,0.6162,0.6343
rag,Qwen-72B/narrativeqa,10,1001,0.6431,0.5417,0.5826,0.6015,0.6158,0.6294
rag,Qwen-72B/narrativeqa,11,364,0.6364,0.5506,0.5901,0.6018,0.6148,0.625
rag,Qwen-72B/narrativeqa,12,91,0.6265,0.5681,0.5933,0.6026,0.6125,0.6203
rag,Qwen-72B/narrativeqa,13,14,0.6173,0.5839,0.5968,0.6022,0.6103,0.6163
rag,Qwen-72B/narrativeqa,14,1,0.604,0.604,0.604,0.604,0.604,0.604
rag,Qwen-72B/natural-questions,3,286,0.6736,0.4823,0.5564,0.5883,0.6185,0.6491
rag,Qwen-72B/natural-questions,4,715,0.6922,0.5041,0.5723,0.6025,0.6248,0.6541
rag,Qwen-72B/natural-questions,5,1287,0.683,0.5172,0.5833,0.6095,0.6287,0.6581
rag,Qwen-72B/natural-questions,6,1716,0.6846,0.5521,0.5921,0.6164,0.6336,0.6614
rag,Qwen-72B/natural-questions,7,1716,0.6836,0.5707,0.6036,0.6236,0.6388,0.6626
rag,Qwen-72B/natural-questions,8,1287,0.683,0.5877,0.6132,0.63,0.6443,0.6619
rag,Qwen-72B/natural-questions,9,715,0.6748,0.5997,0.6226,0.6364,0.6477,0.6609
rag,Qwen-72B/natural-questions,10,286,0.6711,0.615,0.6281,0.64,0.6504,0.6602
rag,Qwen-72B/natural-questions,11,78,0.6684,0.6161,0.6335,0.6451,0.6528,0.6609
rag,Qwen-72B/natural-questions,12,13,0.6611,0.632,0.6373,0.6434,0.6534,0.6592
rag,Qwen-72B/natural-questions,13,1,0.6553,0.6553,0.6553,0.6553,0.6553,0.6553
rag,Qwen-7B/2wikimultihopqa,3,560,0.7384,0.3626,0.4639,0.5361,0.5968,0.6794
rag,Qwen-7B/2wikimultihopqa,4,1820,0.7604,0.3599,0.4579,0.5327,0.5911,0.6625
rag,Qwen-7B/2wikimultihopqa,5,4368,0.7669,0.3725,0.4647,0.5287,0.5847,0.6585
rag,Qwen-7B/2wikimultihopqa,6,8008,0.7741,0.38,0.4651,0.5242,0.577,0.6537
rag,Qwen-7B/2wikimultihopqa,7,11440,0.756,0.3872,0.4679,0.5225,0.571,0.6469
rag,Qwen-7B/2wikimultihopqa,8,12870,0.7516,0.3945,0.4751,0.5233,0.5658,0.6364
rag,Qwen-7B/2wikimultihopqa,9,11440,0.7408,0.4005,0.4811,0.5241,0.5618,0.6248
rag,Qwen-7B/2wikimultihopqa,10,8008,0.7356,0.4081,0.4892,0.5265,0.5595,0.6075
rag,Qwen-7B/2wikimultihopqa,11,4368,0.7123,0.4177,0.4984,0.5285,0.559,0.5995
rag,Qwen-7B/2wikimultihopqa,12,1820,0.7051,0.4265,0.5064,0.5327,0.5578,0.5875
rag,Qwen-7B/2wikimultihopqa,13,560,0.6461,0.4654,0.5144,0.5413,0.5586,0.5779
rag,Qwen-7B/2wikimultihopqa,14,120,0.5851,0.4968,0.5229,0.549,0.5586,0.5739
rag,Qwen-7B/2wikimultihopqa,15,16,0.5718,0.5178,0.5471,0.5512,0.557,0.5655
rag,Qwen-7B/2wikimultihopqa,16,1,0.5554,0.5554,0.5554,0.5554,0.5554,0.5554
rag,Qwen-7B/hotpotqa,3,560,0.7788,0.4359,0.5272,0.5881,0.6429,0.7188
rag,Qwen-7B/hotpotqa,4,1820,0.7649,0.4459,0.5334,0.5915,0.65,0.7262
rag,Qwen-7B/hotpotqa,5,4368,0.7727,0.4532,0.5353,0.5985,0.6576,0.721
rag,Qwen-7B/hotpotqa,6,8008,0.7714,0.4589,0.5407,0.6037,0.6595,0.7152
rag,Qwen-7B/hotpotqa,7,11440,0.7706,0.458,0.545,0.61,0.6608,0.7117
rag,Qwen-7B/hotpotqa,8,12870,0.7693,0.4571,0.5485,0.6188,0.6645,0.7117
rag,Qwen-7B/hotpotqa,9,11440,0.7597,0.4515,0.5528,0.6264,0.6675,0.7113
rag,Qwen-7B/hotpotqa,10,8008,0.7693,0.4447,0.5519,0.6314,0.6716,0.7121
rag,Qwen-7B/hotpotqa,11,4368,0.7519,0.4391,0.5532,0.6394,0.6779,0.7117
rag,Qwen-7B/hotpotqa,12,1820,0.7433,0.4312,0.5554,0.6494,0.6853,0.7113
rag,Qwen-7B/hotpotqa,13,560,0.742,0.4337,0.5577,0.6606,0.6913,0.71
rag,Qwen-7B/hotpotqa,14,120,0.7221,0.4369,0.6269,0.6777,0.6945,0.7087
rag,Qwen-7B/hotpotqa,15,16,0.7121,0.4513,0.6789,0.6868,0.7008,0.7108
rag,Qwen-7B/hotpotqa,16,1,0.6944,0.6944,0.6944,0.6944,0.6944,0.6944
rag,Qwen-7B/narrativeqa,3,560,0.7001,0.4323,0.5265,0.5917,0.6389,0.6781
rag,Qwen-7B/narrativeqa,4,1820,0.7093,0.4229,0.535,0.6017,0.6413,0.6801
rag,Qwen-7B/narrativeqa,5,4368,0.7191,0.437,0.5438,0.6063,0.6435,0.68
rag,Qwen-7B/narrativeqa,6,8008,0.7239,0.45,0.5531,0.6113,0.6444,0.6806
rag,Qwen-7B/narrativeqa,7,11440,0.7219,0.456,0.56,0.6146,0.6435,0.68
rag,Qwen-7B/narrativeqa,8,12870,0.7236,0.4668,0.5725,0.6171,0.6422,0.6775
rag,Qwen-7B/narrativeqa,9,11440,0.7234,0.4802,0.5828,0.6194,0.6404,0.6722
rag,Qwen-7B/narrativeqa,10,8008,0.7162,0.5158,0.5914,0.6209,0.6387,0.6655
rag,Qwen-7B/narrativeqa,11,4368,0.7108,0.5411,0.5983,0.6218,0.637,0.6577
rag,Qwen-7B/narrativeqa,12,1820,0.6932,0.5597,0.6035,0.622,0.6354,0.6515
rag,Qwen-7B/narrativeqa,13,560,0.6675,0.5754,0.6055,0.6217,0.6334,0.6463
rag,Qwen-7B/narrativeqa,14,120,0.6567,0.581,0.6128,0.6211,0.6307,0.6411
rag,Qwen-7B/narrativeqa,15,16,0.638,0.604,0.6215,0.624,0.6287,0.633
rag,Qwen-7B/narrativeqa,16,1,0.6285,0.6285,0.6285,0.6285,0.6285,0.6285
rag,Qwen-7B/natural-questions,3,560,0.7322,0.4367,0.5326,0.5781,0.6294,0.6848
rag,Qwen-7B/natural-questions,4,1820,0.7599,0.4526,0.5316,0.587,0.6364,0.6877
rag,Qwen-7B/natural-questions,5,4368,0.752,0.4727,0.5415,0.5919,0.6383,0.6868
rag,Qwen-7B/natural-questions,6,8008,0.7411,0.4881,0.5494,0.5968,0.6374,0.6844
rag,Qwen-7B/natural-questions,7,11440,0.7372,0.5,0.5583,0.6047,0.6383,0.6808
rag,Qwen-7B/natural-questions,8,12870,0.7253,0.5089,0.5662,0.6097,0.6393,0.6779
rag,Qwen-7B/natural-questions,9,11440,0.7194,0.5198,0.5771,0.6146,0.6393,0.6759
rag,Qwen-7B/natural-questions,10,8008,0.7164,0.5316,0.5899,0.6176,0.6413,0.6739
rag,Qwen-7B/natural-questions,11,4368,0.7075,0.5464,0.5978,0.6206,0.6453,0.6729
rag,Qwen-7B/natural-questions,12,1820,0.6976,0.5711,0.6038,0.6235,0.6492,0.6729
rag,Qwen-7B/natural-questions,13,560,0.6828,0.584,0.6087,0.628,0.6522,0.67
rag,Qwen-7B/natural-questions,14,120,0.67,0.5958,0.6156,0.6319,0.6532,0.663
rag,Qwen-7B/natural-questions,15,16,0.6601,0.6114,0.6255,0.6462,0.6519,0.6564
rag,Qwen-7B/natural-questions,16,1,0.6423,0.6423,0.6423,0.6423,0.6423,0.6423
repgrid,ars_gsm8k_r1distill8b,3,560,0.7676,0.3669,0.4603,0.5632,0.6463,0.7139
repgrid,ars_gsm8k_r1distill8b,4,1820,0.7779,0.3442,0.4359,0.5721,0.6713,0.7271
repgrid,ars_gsm8k_r1distill8b,5,4368,0.779,0.3445,0.4305,0.5843,0.678,0.7313
repgrid,ars_gsm8k_r1distill8b,6,8008,0.7783,0.3424,0.4227,0.5858,0.6797,0.7356
repgrid,ars_gsm8k_r1distill8b,7,11440,0.7769,0.3415,0.4173,0.5896,0.6815,0.7382
repgrid,ars_gsm8k_r1distill8b,8,12870,0.7768,0.3413,0.4108,0.5933,0.6813,0.7376
repgrid,ars_gsm8k_r1distill8b,9,11440,0.7774,0.3423,0.4052,0.5953,0.6795,0.7357
repgrid,ars_gsm8k_r1distill8b,10,8008,0.776,0.3458,0.4015,0.6071,0.6769,0.7317
repgrid,ars_gsm8k_r1distill8b,11,4368,0.7693,0.35,0.4011,0.6157,0.6734,0.7268
repgrid,ars_gsm8k_r1distill8b,12,1820,0.758,0.3517,0.3971,0.6219,0.6699,0.7178
repgrid,ars_gsm8k_r1distill8b,13,560,0.7499,0.3501,0.388,0.6179,0.6642,0.707
repgrid,ars_gsm8k_r1distill8b,14,120,0.7229,0.3521,0.3762,0.6345,0.6595,0.6958
repgrid,ars_gsm8k_r1distill8b,15,16,0.6587,0.3515,0.3722,0.5252,0.6564,0.6577
repgrid,ars_gsm8k_r1distill8b,16,1,0.3643,0.3643,0.3643,0.3643,0.3643,0.3643
repgrid,epr_triviaqa_mistral24b,3,364,0.7361,0.5494,0.584,0.6178,0.6635,0.7001
repgrid,epr_triviaqa_mistral24b,4,1001,0.7384,0.5654,0.5979,0.6303,0.6722,0.705
repgrid,epr_triviaqa_mistral24b,5,2002,0.7358,0.5809,0.61,0.6458,0.6716,0.7058
repgrid,epr_triviaqa_mistral24b,6,3003,0.7345,0.5924,0.6189,0.6529,0.6726,0.703
repgrid,epr_triviaqa_mistral24b,7,3432,0.7207,0.6008,0.6278,0.6555,0.6768,0.7003
repgrid,epr_triviaqa_mistral24b,8,3003,0.7173,0.6068,0.6367,0.6569,0.6805,0.697
repgrid,epr_triviaqa_mistral24b,9,2002,0.7107,0.6133,0.6428,0.6593,0.6805,0.6937
repgrid,epr_triviaqa_mistral24b,10,1001,0.7098,0.6198,0.6466,0.6627,0.6794,0.6898
repgrid,epr_triviaqa_mistral24b,11,364,0.696,0.628,0.6486,0.6715,0.6779,0.6873
repgrid,epr_triviaqa_mistral24b,12,91,0.6882,0.6347,0.6563,0.6735,0.6765,0.6811
repgrid,epr_triviaqa_mistral24b,13,14,0.6783,0.6514,0.6711,0.6741,0.6748,0.6772
repgrid,epr_triviaqa_mistral24b,14,1,0.6733,0.6733,0.6733,0.6733,0.6733,0.6733
repgrid,inside_coqa_llama7b,3,455,0.6862,0.3903,0.4336,0.4727,0.5253,0.6032
repgrid,inside_coqa_llama7b,4,1365,0.7227,0.3906,0.4376,0.4773,0.5256,0.596
repgrid,inside_coqa_llama7b,5,3003,0.6841,0.394,0.4387,0.4763,0.521,0.5847
repgrid,inside_coqa_llama7b,6,5005,0.6716,0.4015,0.4414,0.4744,0.5145,0.5742
repgrid,inside_coqa_llama7b,7,6435,0.6605,0.4064,0.4439,0.4742,0.5109,0.5656
repgrid,inside_coqa_llama7b,8,6435,0.6362,0.413,0.447,0.4731,0.5051,0.5567
repgrid,inside_coqa_llama7b,9,5005,0.6128,0.4198,0.4502,0.4746,0.5019,0.5483
repgrid,inside_coqa_llama7b,10,3003,0.6048,0.4264,0.4544,0.475,0.5001,0.541
repgrid,inside_coqa_llama7b,11,1365,0.5681,0.4334,0.459,0.4789,0.5001,0.5354
repgrid,inside_coqa_llama7b,12,455,0.5546,0.443,0.4634,0.4788,0.5011,0.5276
repgrid,inside_coqa_llama7b,13,105,0.5309,0.4496,0.4645,0.4844,0.4995,0.5195
repgrid,inside_coqa_llama7b,14,15,0.5147,0.4546,0.4693,0.4788,0.4911,0.5087
repgrid,inside_coqa_llama7b,15,1,0.4608,0.4608,0.4608,0.4608,0.4608,0.4608
repgrid,internalstates_gsm8k_qwen25_7b,3,560,0.7161,0.5286,0.6188,0.6412,0.6655,0.6924
repgrid,internalstates_gsm8k_qwen25_7b,4,1820,0.7249,0.5732,0.6319,0.6578,0.6765,0.6979
repgrid,internalstates_gsm8k_qwen25_7b,5,4368,0.7265,0.5976,0.6434,0.6648,0.6822,0.7016
repgrid,internalstates_gsm8k_qwen25_7b,6,8008,0.7262,0.6132,0.6513,0.6707,0.6864,0.7039
repgrid,internalstates_gsm8k_qwen25_7b,7,11440,0.7263,0.6254,0.6569,0.674,0.6886,0.7054
repgrid,internalstates_gsm8k_qwen25_7b,8,12870,0.7283,0.6329,0.6608,0.6761,0.6902,0.7063
repgrid,internalstates_gsm8k_qwen25_7b,9,11440,0.7256,0.6405,0.6639,0.6775,0.6912,0.7067
repgrid,internalstates_gsm8k_qwen25_7b,10,8008,0.7232,0.6463,0.666,0.6785,0.6912,0.7065
repgrid,internalstates_gsm8k_qwen25_7b,11,4368,0.7219,0.6523,0.6679,0.6791,0.6905,0.706
repgrid,internalstates_gsm8k_qwen25_7b,12,1820,0.7169,0.6565,0.67,0.6798,0.6894,0.704
repgrid,internalstates_gsm8k_qwen25_7b,13,560,0.7134,0.6583,0.6722,0.6804,0.6879,0.7017
repgrid,internalstates_gsm8k_qwen25_7b,14,120,0.7051,0.6609,0.6755,0.6813,0.6859,0.6981
repgrid,internalstates_gsm8k_qwen25_7b,15,16,0.6867,0.6698,0.678,0.6804,0.6834,0.6856
repgrid,internalstates_gsm8k_qwen25_7b,16,1,0.6797,0.6797,0.6797,0.6797,0.6797,0.6797
repgrid,lapeigvals_gsm8k_llama3b,3,560,0.7026,0.5491,0.5965,0.6257,0.644,0.6713
repgrid,lapeigvals_gsm8k_llama3b,4,1820,0.7095,0.5664,0.6068,0.6321,0.6546,0.6782
repgrid,lapeigvals_gsm8k_llama3b,5,4368,0.7096,0.5836,0.6168,0.6375,0.6588,0.6796
repgrid,lapeigvals_gsm8k_llama3b,6,8008,0.7031,0.5928,0.6222,0.6414,0.6603,0.6791
repgrid,lapeigvals_gsm8k_llama3b,7,11440,0.6976,0.6017,0.6269,0.6441,0.6611,0.6783
repgrid,lapeigvals_gsm8k_llama3b,8,12870,0.6973,0.6079,0.63,0.6461,0.6615,0.6768
repgrid,lapeigvals_gsm8k_llama3b,9,11440,0.6948,0.6128,0.6329,0.6474,0.6614,0.6751
repgrid,lapeigvals_gsm8k_llama3b,10,8008,0.689,0.6181,0.6354,0.6485,0.6609,0.6733
repgrid,lapeigvals_gsm8k_llama3b,11,4368,0.6842,0.6236,0.6375,0.6488,0.66,0.6718
repgrid,lapeigvals_gsm8k_llama3b,12,1820,0.6804,0.6277,0.6396,0.6488,0.6582,0.6695
repgrid,lapeigvals_gsm8k_llama3b,13,560,0.6755,0.6326,0.6416,0.6488,0.6564,0.6669
repgrid,lapeigvals_gsm8k_llama3b,14,120,0.6707,0.6364,0.6439,0.6483,0.6531,0.6619
repgrid,lapeigvals_gsm8k_llama3b,15,16,0.6599,0.6399,0.6472,0.6485,0.6504,0.6567
repgrid,lapeigvals_gsm8k_llama3b,16,1,0.6483,0.6483,0.6483,0.6483,0.6483,0.6483
repgrid,lapeigvals_gsm8k_llama8b,3,560,0.819,0.612,0.693,0.734,0.7721,0.8034
repgrid,lapeigvals_gsm8k_llama8b,4,1820,0.8279,0.6676,0.7331,0.7603,0.7828,0.8045
repgrid,lapeigvals_gsm8k_llama8b,5,4368,0.8268,0.7057,0.7488,0.7706,0.789,0.8052
repgrid,lapeigvals_gsm8k_llama8b,6,8008,0.8261,0.7287,0.759,0.7778,0.7924,0.8064
repgrid,lapeigvals_gsm8k_llama8b,7,11440,0.8263,0.7412,0.7662,0.782,0.7945,0.807
repgrid,lapeigvals_gsm8k_llama8b,8,12870,0.8238,0.7493,0.7711,0.7849,0.7963,0.8075
repgrid,lapeigvals_gsm8k_llama8b,9,11440,0.8221,0.7552,0.7748,0.7867,0.7971,0.808
repgrid,lapeigvals_gsm8k_llama8b,10,8008,0.8175,0.7609,0.7776,0.7884,0.7978,0.8079
repgrid,lapeigvals_gsm8k_llama8b,11,4368,0.8163,0.7659,0.7801,0.7893,0.798,0.8075
repgrid,lapeigvals_gsm8k_llama8b,12,1820,0.8135,0.771,0.7822,0.7906,0.7988,0.8065
repgrid,lapeigvals_gsm8k_llama8b,13,560,0.8113,0.7755,0.7847,0.7916,0.7988,0.8048
repgrid,lapeigvals_gsm8k_llama8b,14,120,0.8098,0.7797,0.7865,0.7945,0.7984,0.8027
repgrid,lapeigvals_gsm8k_llama8b,15,16,0.7992,0.7808,0.7894,0.7948,0.798,0.799
repgrid,lapeigvals_gsm8k_llama8b,16,1,0.7945,0.7945,0.7945,0.7945,0.7945,0.7945
repgrid,lapeigvals_gsm8k_mistral24b,3,560,0.8557,0.623,0.7138,0.7678,0.7945,0.8284
repgrid,lapeigvals_gsm8k_mistral24b,4,1820,0.8517,0.6497,0.7466,0.7822,0.8053,0.8298
repgrid,lapeigvals_gsm8k_mistral24b,5,4368,0.856,0.7013,0.7649,0.7921,0.8122,0.8336
repgrid,lapeigvals_gsm8k_mistral24b,6,8008,0.8582,0.7317,0.7763,0.7975,0.8147,0.8344
repgrid,lapeigvals_gsm8k_mistral24b,7,11440,0.8633,0.754,0.7844,0.8019,0.8164,0.8345
repgrid,lapeigvals_gsm8k_mistral24b,8,12870,0.8655,0.7662,0.7901,0.8048,0.8182,0.8346
repgrid,lapeigvals_gsm8k_mistral24b,9,11440,0.8684,0.7756,0.7941,0.8068,0.8193,0.8346
repgrid,lapeigvals_gsm8k_mistral24b,10,8008,0.8693,0.7816,0.7972,0.8085,0.8199,0.8351
repgrid,lapeigvals_gsm8k_mistral24b,11,4368,0.8557,0.7861,0.7989,0.8095,0.8206,0.8351
repgrid,lapeigvals_gsm8k_mistral24b,12,1820,0.8482,0.7904,0.8008,0.81,0.8205,0.8341
repgrid,lapeigvals_gsm8k_mistral24b,13,560,0.8443,0.7932,0.802,0.8088,0.8189,0.8329
repgrid,lapeigvals_gsm8k_mistral24b,14,120,0.8381,0.7977,0.8028,0.8079,0.8152,0.8304
repgrid,lapeigvals_gsm8k_mistral24b,15,16,0.8281,0.7992,0.8041,0.8063,0.8101,0.8257
repgrid,lapeigvals_gsm8k_mistral24b,16,1,0.8079,0.8079,0.8079,0.8079,0.8079,0.8079
repgrid,lapeigvals_gsm8k_nemo,3,560,0.8051,0.4468,0.6087,0.6769,0.7131,0.7613
repgrid,lapeigvals_gsm8k_nemo,4,1820,0.8045,0.4519,0.6324,0.6871,0.7296,0.7695
repgrid,lapeigvals_gsm8k_nemo,5,4368,0.8072,0.4607,0.6469,0.6984,0.7375,0.772
repgrid,lapeigvals_gsm8k_nemo,6,8008,0.8123,0.47,0.656,0.7042,0.7416,0.7753
repgrid,lapeigvals_gsm8k_nemo,7,11440,0.8126,0.5394,0.6636,0.7075,0.744,0.7763
repgrid,lapeigvals_gsm8k_nemo,8,12870,0.8127,0.5973,0.6688,0.7104,0.746,0.7768
repgrid,lapeigvals_gsm8k_nemo,9,11440,0.814,0.6173,0.6744,0.7132,0.7477,0.7767
repgrid,lapeigvals_gsm8k_nemo,10,8008,0.8116,0.6282,0.6791,0.7156,0.749,0.7766
repgrid,lapeigvals_gsm8k_nemo,11,4368,0.8049,0.6363,0.6822,0.7192,0.7484,0.7756
repgrid,lapeigvals_gsm8k_nemo,12,1820,0.7924,0.6431,0.69,0.7215,0.7466,0.774
repgrid,lapeigvals_gsm8k_nemo,13,560,0.7818,0.6499,0.6993,0.7242,0.7427,0.7718
repgrid,lapeigvals_gsm8k_nemo,14,120,0.7798,0.66,0.7077,0.726,0.7419,0.7667
repgrid,lapeigvals_gsm8k_nemo,15,16,0.7623,0.684,0.7172,0.7252,0.7366,0.7487
repgrid,lapeigvals_gsm8k_nemo,16,1,0.7389,0.7389,0.7389,0.7389,0.7389,0.7389
repgrid,lapeigvals_gsm8k_phi35,3,560,0.8099,0.452,0.6245,0.6766,0.7182,0.7719
repgrid,lapeigvals_gsm8k_phi35,4,1820,0.8162,0.5101,0.6476,0.6948,0.7355,0.7773
repgrid,lapeigvals_gsm8k_phi35,5,4368,0.8173,0.577,0.664,0.7063,0.7423,0.7792
repgrid,lapeigvals_gsm8k_phi35,6,8008,0.8176,0.6103,0.6744,0.7131,0.7454,0.7795
repgrid,lapeigvals_gsm8k_phi35,7,11440,0.8119,0.6345,0.6841,0.7191,0.7479,0.7805
repgrid,lapeigvals_gsm8k_phi35,8,12870,0.8079,0.6483,0.6911,0.7222,0.7497,0.7804
repgrid,lapeigvals_gsm8k_phi35,9,11440,0.8054,0.6599,0.6973,0.7243,0.7509,0.7801
repgrid,lapeigvals_gsm8k_phi35,10,8008,0.7979,0.6675,0.7019,0.7264,0.7517,0.7782
repgrid,lapeigvals_gsm8k_phi35,11,4368,0.7909,0.6759,0.7069,0.7289,0.7513,0.7757
repgrid,lapeigvals_gsm8k_phi35,12,1820,0.7832,0.6853,0.7148,0.7319,0.7498,0.7731
repgrid,lapeigvals_gsm8k_phi35,13,560,0.7793,0.691,0.7193,0.7329,0.7469,0.7691
repgrid,lapeigvals_gsm8k_phi35,14,120,0.7756,0.7056,0.7206,0.7349,0.7427,0.767
