domain,cell,feature,rate_top1pct,rate_bottom50,rate_all,marginal_lift,single_auroc
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,epr,0.2788,0.5053,0.5024,0.0001,0.5485
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,spectral_entropy,0.3212,0.4386,0.5024,0.004,0.5611
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,low_band_power,0.0182,0.6739,0.5024,-0.0103,0.4904
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,high_band_power,0.2545,0.5439,0.5024,-0.0017,0.5504
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,hl_ratio,0.0545,0.5967,0.5024,-0.0051,0.5303
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,spectral_centroid,0.1394,0.5486,0.5024,-0.0028,0.5365
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,stft_max_high_power,0.6182,0.4892,0.5024,0.0013,0.5519
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,stft_spectral_entropy,0.1697,0.5367,0.5024,-0.0014,0.539
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,rpdi,0.8788,0.3526,0.5024,0.0107,0.4075
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,sw_var_peak,0.4121,0.5175,0.5024,-0.0029,0.4561
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,pe_mean,0.7333,0.3999,0.5024,0.0081,0.5854
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,hurst_exponent,0.7879,0.3499,0.5024,0.0053,0.555
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,cusum_max,0.697,0.3803,0.5024,0.0058,0.4242
gpqa,DeepSeek-R1-Distill-Llama-8B_T1.0,cusum_shift_idx,0.0485,0.6207,0.5024,-0.0109,0.4771
gpqa,Llama-8B_T1.0,epr,0.5226,0.4968,0.5008,-0.001,0.5114
gpqa,Llama-8B_T1.0,trace_length,0.6455,0.5054,0.5008,-0.0125,0.534
gpqa,Llama-8B_T1.0,spectral_entropy,0.0678,0.5351,0.5008,0.0038,0.5171
gpqa,Llama-8B_T1.0,low_band_power,0.6568,0.3965,0.5008,0.0042,0.4445
gpqa,Llama-8B_T1.0,high_band_power,0.6511,0.3658,0.5008,0.0083,0.5533
gpqa,Llama-8B_T1.0,hl_ratio,0.6525,0.3879,0.5008,0.0061,0.5556
gpqa,Llama-8B_T1.0,dominant_freq,0.4153,0.5369,0.5008,-0.0124,0.524
gpqa,Llama-8B_T1.0,spectral_centroid,0.7048,0.3919,0.5008,0.0044,0.5551
gpqa,Llama-8B_T1.0,stft_max_high_power,0.3983,0.5733,0.5008,-0.0053,0.451
gpqa,Llama-8B_T1.0,stft_spectral_entropy,0.6229,0.4187,0.5008,0.0005,0.5478
gpqa,Llama-8B_T1.0,rpdi,0.6893,0.4173,0.5008,0.0133,0.4932
gpqa,Llama-8B_T1.0,sw_var_peak,0.5424,0.5201,0.5008,-0.0025,0.489
gpqa,Llama-8B_T1.0,pe_mean,0.1271,0.4751,0.5008,0.0065,0.5001
gpqa,Llama-8B_T1.0,hurst_exponent,0.0198,0.6001,0.5008,-0.0108,0.5015
gpqa,Llama-8B_T1.0,cusum_max,0.0184,0.4552,0.5008,-0.005,0.4789
gpqa,Llama-8B_T1.0,cusum_shift_idx,0.5593,0.4816,0.5008,0.0024,0.5164
gpqa,Mistral-7B_T1.0,epr,0.4329,0.5241,0.5008,-0.0023,0.4438
gpqa,Mistral-7B_T1.0,trace_length,0.003,0.6433,0.5008,-0.0214,0.6028
gpqa,Mistral-7B_T1.0,spectral_entropy,0.2271,0.6162,0.5008,-0.0174,0.3947
gpqa,Mistral-7B_T1.0,low_band_power,0.4756,0.4499,0.5008,0.0078,0.4592
gpqa,Mistral-7B_T1.0,high_band_power,0.3186,0.3292,0.5008,0.0202,0.5005
gpqa,Mistral-7B_T1.0,hl_ratio,0.2591,0.4238,0.5008,0.0092,0.5205
gpqa,Mistral-7B_T1.0,dominant_freq,0.1067,0.4908,0.5008,-0.0019,0.5927
gpqa,Mistral-7B_T1.0,spectral_centroid,0.3598,0.4371,0.5008,0.0077,0.5368
gpqa,Mistral-7B_T1.0,stft_max_high_power,0.4878,0.5604,0.5008,-0.003,0.3984
gpqa,Mistral-7B_T1.0,stft_spectral_entropy,0.5457,0.4245,0.5008,0.0112,0.5386
gpqa,Mistral-7B_T1.0,rpdi,0.8552,0.5797,0.5008,-0.0077,0.4155
gpqa,Mistral-7B_T1.0,sw_var_peak,0.0808,0.4746,0.5008,0.0019,0.4719
gpqa,Mistral-7B_T1.0,pe_mean,0.4802,0.5049,0.5008,0.002,0.5145
