world,replicate,seed,direction,k,direction_accepted,decision_agreement,stability_cka,audit_row_permutation_statistic,audit_row_permutation_p,raw_pass,decision,nuisance_veto,structural_pass,transfer_statistic,transfer_p,residual_transfer_statistic,residual_transfer_p,nuisance_cka,nuisance_p,zero_degree_count,n_components,largest_component_fraction,degree_min,degree_mean,degree_max
P1-A,0,3100000,g_to_a,5,True,True,0.9279038458440064,-1.6192213060047678,0.98,True,True,False,True,18.781913367405053,0.005,17.452574901969392,0.005,-0.012314387148344692,0.93,0,1,1.0,0.4980466801546055,2.939759948794724,5.268048040805356
P1-A,0,3100000,g_to_a,7,True,True,0.9279038458440064,-1.6192213060047678,0.98,True,True,False,True,23.113092264901038,0.005,23.069975820382723,0.005,-0.011151300483707946,0.91,0,1,1.0,0.8578748617431977,4.240723454039127,7.42891466142573
P1-A,0,3100000,g_to_a,11,True,True,0.9279038458440064,-1.6192213060047678,0.98,True,True,False,True,28.31096088429757,0.005,27.528673269344164,0.005,-0.009626063611230494,0.85,0,1,1.0,2.0302263320187626,6.80873182131329,10.681673523397674
P1-A,0,3100000,a_to_g,5,True,True,0.9271262001002286,-1.7871057691665484,0.975,True,True,False,True,17.609460952222268,0.005,17.522768660992845,0.005,-0.010027508116568362,0.925,0,1,1.0,0.984791024464668,2.929181305232307,5.230127854499463
P1-A,0,3100000,a_to_g,7,True,True,0.9271262001002286,-1.7871057691665484,0.975,True,True,False,True,21.97104248110338,0.005,23.246321348858753,0.005,-0.01142539739613663,0.96,0,1,1.0,1.496604325048972,4.293853960990483,6.828207421825926
P1-A,0,3100000,a_to_g,11,True,True,0.9271262001002286,-1.7871057691665484,0.975,True,True,False,True,28.212118043813245,0.005,26.951225482175232,0.005,-0.004965877734209492,0.755,0,1,1.0,2.606214605407063,6.767961185057475,10.29637689691351
P1-A,1,3100001,g_to_a,5,True,True,0.9284395863390873,-0.1417344810512919,0.555,True,True,False,True,20.132685838744834,0.005,19.342054415423984,0.005,-0.0044677913229856205,0.655,0,1,1.0,1.331734074063797,2.972569849492692,5.058640693779337
P1-A,1,3100001,g_to_a,7,True,True,0.9284395863390873,-0.1417344810512919,0.555,True,True,False,True,23.947116685419115,0.005,23.546195820263588,0.005,-0.004947279381054881,0.675,0,1,1.0,1.7839408037978979,4.23305335666341,6.2288285841872355
P1-A,1,3100001,g_to_a,11,True,True,0.9284395863390873,-0.1417344810512919,0.555,True,True,False,True,30.485274135028444,0.005,29.625888334682035,0.005,-0.011133380758654424,0.92,0,1,1.0,3.1249551855880644,6.809759458997141,10.466043863466268
P1-A,1,3100001,a_to_g,5,True,True,0.9285083514743435,0.6187118328876616,0.245,True,True,False,True,18.337941477314928,0.005,18.036815471459,0.005,0.005663228308487685,0.215,0,1,1.0,0.6993120781452407,2.9600438217779717,4.4555207207388845
P1-A,1,3100001,a_to_g,7,True,True,0.9285083514743435,0.6187118328876616,0.245,True,True,False,True,23.68703096549691,0.005,22.041660127928004,0.005,0.00542330159362477,0.235,0,1,1.0,1.0790199115020749,4.232952093493111,7.077078256368296
P1-A,1,3100001,a_to_g,11,True,True,0.9285083514743435,0.6187118328876616,0.245,True,True,False,True,28.570735027323458,0.005,28.238536708778657,0.005,0.004253616830297238,0.31,0,1,1.0,1.8487123581345934,6.781399270619937,11.067732204834456
P1-B,0,3110000,g_to_a,5,True,True,0.9283498844885942,0.5387784904418149,0.3,True,True,False,True,2.545192417175043,0.025,2.54162577889513,0.015,0.13533707728854125,0.005,0,1,1.0,0.5925651634168473,2.941125463788675,4.485469873384252
P1-B,0,3110000,g_to_a,7,True,True,0.9283498844885942,0.5387784904418149,0.3,True,True,False,True,3.152734445403931,0.005,2.9489060971810934,0.005,0.1822858755566569,0.005,0,1,1.0,1.1030539232214909,4.307454583127824,6.636534888919268
P1-B,0,3110000,g_to_a,11,True,True,0.9283498844885942,0.5387784904418149,0.3,True,True,False,True,3.7970253040841837,0.005,3.4478416115728243,0.005,0.24884219658261986,0.005,0,1,1.0,2.17402045473209,6.8603352210107005,9.357229796103516
P1-B,0,3110000,a_to_g,5,False,True,0.9278665647811615,0.25948535283501645,0.385,False,False,False,True,0.48811333434426923,0.305,0.700053169621257,0.15,-0.00825095182066476,0.85,0,1,1.0,0.8450180695342526,2.9048338661513387,5.030210641884875
