world,target,arm,lambda,n,auroc_mean,auroc_se,auroc_delta_mean,auroc_delta_se,auroc_delta_one_sided_95_lower
P1-A,g,mmdufs_shared,0.0,2,0.840246913580247,0.019382716049382687,0.0,0.0,0.0
P1-A,g,mmdufs_shared,0.01,2,0.840925925925926,0.01895061728395064,0.0006790123456790198,0.00043209876543204295,-0.002049151889056755
P1-A,g,mmdufs_shared,0.03,2,0.8437654320987654,0.018086419753086447,0.0035185185185184764,0.0012962962962962399,-0.004665974185689549
P1-A,g,mmdufs_shared,0.1,2,0.8496913580246914,0.016851851851851896,0.009444444444444478,0.002530864197530791,-0.006534803216152376
P1-A,g,mmdufs_shared,0.3,2,0.8561728395061727,0.013456790123456797,0.015925925925925788,0.005925925925925889,-0.021488897864740862
P1-A,g,mmdufs_shared,1.0,2,0.861358024691358,0.012839506172839465,0.02111111111111108,0.006543209876543221,-0.020201090157750345
P1-A,g,nuisance_only,0.0,2,0.840246913580247,0.019382716049382687,0.0,0.0,0.0
P1-A,g,nuisance_only,0.01,2,0.8403086419753087,0.01932098765432094,6.172839506174421e-05,6.172839506174421e-05,-0.0003280093527578024
P1-A,g,nuisance_only,0.03,2,0.8403086419753086,0.019197530864197506,6.17283950616887e-05,0.0001851851851851771,-0.0011074848483966003
P1-A,g,nuisance_only,0.1,2,0.8403086419753087,0.019197530864197565,6.172839506174421e-05,0.0001851851851851216,-0.0011074848483961944
P1-A,g,nuisance_only,0.3,2,0.8404938271604938,0.019012345679012332,0.0002469135802468658,0.0003703703703703542,-0.002091512906669712
P1-A,g,nuisance_only,1.0,2,0.8407407407407408,0.01901234567901244,0.0004938271604938427,0.0003703703703702432,-0.0018445993264220345
P1-A,g,oracle,0.0,2,0.840246913580247,0.019382716049382687,0.0,0.0,0.0
P1-A,g,oracle,0.01,2,0.8414814814814815,0.018395061728395053,0.0012345679012346067,0.0009876543209876298,-0.005001236063876386
P1-A,g,oracle,0.03,2,0.8448765432098766,0.01697530864197533,0.004629629629629595,0.002407407407407358,-0.010570142535328515
P1-A,g,oracle,0.1,2,0.8512345679012346,0.015308641975308677,0.010987654320987694,0.004074074074074008,-0.01473503703509537
P1-A,g,oracle,0.3,2,0.857283950617284,0.01222222222222219,0.017037037037037017,0.007160493827160496,-0.028172541710018817
P1-A,g,oracle,1.0,2,0.8620370370370372,0.011172839506172816,0.021790123456790156,0.00820987654320987,-0.030044997003196218
