version,stage,world,replicate,seed,n,accepted_direction_count,consensus_accepted,method_hash,method_call_count,lambda0_max_score_error,roughness_min_eigenvalue,label_parameter_absent
graybox-cross-view-phase1-v1-2026-08-06,smoke,P1-A,0,3100000,180,2,True,7b91df2bfa487e702f38c39dfe65c5cd314fc98a272abcf10bc883f4ab6e1ea0,1,0.0,0.0,True
graybox-cross-view-phase1-v1-2026-08-06,smoke,P1-A,1,3100001,180,2,True,602e21881c26a4beb6bf9f8e7f48a3ef3ed97c537c6eeace3ef0ff802f6aae51,1,0.0,0.0,True
graybox-cross-view-phase1-v1-2026-08-06,smoke,P1-B,0,3110000,180,1,True,4a65ee95d2a4c7ee34ded8efde51a08ab920d479e6a064b9338e80f92d570564,1,0.0,0.0,True
graybox-cross-view-phase1-v1-2026-08-06,smoke,P1-B,1,3110001,180,0,False,272ea772cff27ab936ae099761f1329e933c74f214d9b154be0366bd679061cf,1,0.0,0.0,True
graybox-cross-view-phase1-v1-2026-08-06,smoke,P1-C,0,3120000,180,0,False,cfdb87b0ceec43925af4d40e68c8b5fb8a26a47b90ebc9c286baea166960f7b9,1,0.0,0.0,True
graybox-cross-view-phase1-v1-2026-08-06,smoke,P1-C,1,3120001,180,0,False,0df803b0d0c353a77f66a002904a64ca93ac688c2c6429fd137e0c048e5e7216,1,0.0,0.0,True
graybox-cross-view-phase1-v1-2026-08-06,smoke,P1-D,0,3130000,180,2,True,1a2e3086bd9892a02a84b820dbdce5040a825384b4a83e25b7abc6503c1dcc71,1,0.0,0.0,True
graybox-cross-view-phase1-v1-2026-08-06,smoke,P1-D,1,3130001,180,2,True,f7c4062fa66994a42835ed73bb9eb4770f8030ee06d28cf00cef580e3d922948,1,0.0,0.0,True
graybox-cross-view-phase1-v1-2026-08-06,smoke,P1-E,0,3140000,180,0,False,01e7fdada1fe234c12815d5f5c41d0abd6e4a59289b8f72ba1ff7a8b4a19fd34,1,0.0,0.0,True
graybox-cross-view-phase1-v1-2026-08-06,smoke,P1-E,1,3140001,180,0,False,7d17e91840bc86c6ec5b3f1eb43b024e735862f4547f4128154a40b7f9dcf4fd,1,0.0,0.0,True
graybox-cross-view-phase1-v1-2026-08-06,smoke,P1-F,0,3150000,180,2,True,e7e0bc6047fa37beb5ed00149301999dd3e8a1c12a5b11ad466a0b3067caba87,1,0.0,0.0,True
graybox-cross-view-phase1-v1-2026-08-06,smoke,P1-F,1,3150001,180,2,True,aae0ee9c982195d518c992eebf3d3f835cb2325b5ecafd681baad94ed53f7024,1,0.0,0.0,True
