world,replicate,seed,direction,k,direction_accepted,decision_agreement,stability_cka,audit_row_permutation_statistic,audit_row_permutation_p,raw_pass,decision,nuisance_veto,structural_pass,transfer_statistic,transfer_p,residual_transfer_statistic,residual_transfer_p,nuisance_cka,nuisance_p,zero_degree_count,n_components,largest_component_fraction,degree_min,degree_mean,degree_max
P1-A,0,3200000,g_to_a,5,True,True,0.9291155655856491,-1.0184177228135236,0.9,True,True,False,True,27.69919619388886,0.005,28.3024517602439,0.005,0.0009498958985157668,0.385,0,1,1.0,0.9665810789415354,2.918640139420097,4.756415726960198
P1-A,0,3200000,g_to_a,7,True,True,0.9291155655856491,-1.0184177228135236,0.9,True,True,False,True,33.28772607747665,0.005,33.91572942981721,0.005,0.002416211339689534,0.25,0,1,1.0,1.4763398989161627,4.138461546230024,6.305772994449478
P1-A,0,3200000,g_to_a,11,True,True,0.9291155655856491,-1.0184177228135236,0.9,True,True,False,True,40.35295203022661,0.005,39.871019421114234,0.005,0.0030075043129971445,0.21,0,1,1.0,2.3558733863595616,6.6788432195906084,9.910513773985452
P1-A,0,3200000,a_to_g,5,True,True,0.9283615068867248,-0.9854591366550605,0.87,True,True,False,True,24.844532319675263,0.005,26.629976844173843,0.005,0.00030697536978714147,0.43,0,1,1.0,0.861079772224516,2.9254221453503177,4.490141672450735
P1-A,0,3200000,a_to_g,7,True,True,0.9283615068867248,-0.9854591366550605,0.87,True,True,False,True,29.39017938003887,0.005,31.407929111016436,0.005,-0.00024648946731361306,0.505,0,1,1.0,1.4847592129974998,4.182594571822745,6.34827130771528
P1-A,0,3200000,a_to_g,11,True,True,0.9283615068867248,-0.9854591366550605,0.87,True,True,False,True,37.788243783432925,0.005,38.84429011985625,0.005,-0.0037330754861593196,0.825,0,1,1.0,2.9056632614383506,6.684144520783479,9.250348938767061
P1-A,1,3200001,g_to_a,5,True,True,0.926716875822224,0.7853593586688041,0.195,True,True,False,True,23.93446694108216,0.005,23.47065789549135,0.005,-0.003053514234980596,0.775,0,1,1.0,1.1188412596942472,2.9528318802217868,5.05717082513627
P1-A,1,3200001,g_to_a,7,True,True,0.926716875822224,0.7853593586688041,0.195,True,True,False,True,29.913318720335333,0.005,29.014331979863808,0.005,-0.003511398713214217,0.84,0,1,1.0,1.6897608434502138,4.194773183731706,6.395574931779268
P1-A,1,3200001,g_to_a,11,True,True,0.926716875822224,0.7853593586688041,0.195,True,True,False,True,36.31199221487279,0.005,37.33603424788547,0.005,-0.004749847181882508,0.9,0,1,1.0,2.975195620646204,6.7251002627796606,10.727943494818017
P1-A,1,3200001,a_to_g,5,True,True,0.9269169663108494,0.3570201963260238,0.345,True,True,False,True,26.338053328808186,0.005,24.920846072571194,0.005,-0.002265551409993043,0.7,0,1,1.0,1.1969663499400398,2.9436294610642904,4.76829357757312
P1-A,1,3200001,a_to_g,7,True,True,0.9269169663108494,0.3570201963260238,0.345,True,True,False,True,29.70468327555583,0.005,29.008571866341054,0.005,-0.0016428933298889277,0.665,0,1,1.0,1.9342895267198397,4.232267570270559,6.905372099620762
P1-A,1,3200001,a_to_g,11,True,True,0.9269169663108494,0.3570201963260238,0.345,True,True,False,True,39.09543756557415,0.005,41.443208618385974,0.005,-0.0020173650855639085,0.73,0,1,1.0,3.291144865389401,6.748775612559997,10.408881321446456
P1-A,2,3200002,g_to_a,5,True,True,0.9289804798530963,0.211161871122637,0.425,True,True,False,True,25.207591523100596,0.005,24.576484014866786,0.005,0.0029939443929019914,0.3,0,1,1.0,1.0091268150053239,2.9661744953254034,4.890991149914366
P1-A,2,3200002,g_to_a,7,True,True,0.9289804798530963,0.211161871122637,0.425,True,True,False,True,30.715817212449792,0.005,29.260438171889344,0.005,0.0038518764457119293,0.18,0,1,1.0,1.7330751218477907,4.215191220665301,6.898486171367881
P1-A,2,3200002,g_to_a,11,True,True,0.9289804798530963,0.211161871122637,0.425,True,True,False,True,39.28119825387095,0.005,37.807237927110776,0.005,0.0037859295567236914,0.2,0,1,1.0,2.904327795845218,6.804735269773222,10.377282874803168
P1-A,2,3200002,a_to_g,5,True,True,0.9272781939036638,-0.19561554133073347,0.6,True,True,False,True,27.016466870760805,0.005,27.88872176902527,0.005,0.0005313504646515351,0.44,0,1,1.0,0.9206117856255069,2.8999080586154897,4.409662933839072
P1-A,2,3200002,a_to_g,7,True,True,0.9272781939036638,-0.19561554133073347,0.6,True,True,False,True,34.154591220848395,0.005,34.63275543734681,0.005,0.0018397731340744645,0.305,0,1,1.0,1.401860200186021,4.149210865186158,6.518346223412649
P1-A,2,3200002,a_to_g,11,True,True,0.9272781939036638,-0.19561554133073347,0.6,True,True,False,True,38.79082749347501,0.005,40.69950098127269,0.005,0.004576890983357392,0.155,0,1,1.0,2.164496654985979,6.697181508366057,10.237690971059317
P1-A,3,3200003,g_to_a,5,True,True,0.9284622139403897,0.8979673676561927,0.165,True,True,False,True,27.065159232347668,0.005,28.086590265885402,0.005,-0.00731066867621173,0.975,0,1,1.0,1.0583879287265208,2.9321637486463223,4.767085615026463
P1-A,3,3200003,g_to_a,7,True,True,0.9284622139403897,0.8979673676561927,0.165,True,True,False,True,31.038932134839676,0.005,32.83563374538752,0.005,-0.0050805816812818025,0.905,0,1,1.0,1.7291133208956524,4.177610299461331,6.3944039282782565
P1-A,3,3200003,g_to_a,11,True,True,0.9284622139403897,0.8979673676561927,0.165,True,True,False,True,39.80230146912483,0.005,38.6529542220246,0.005,-0.0027947418496563478,0.77,0,1,1.0,2.7513546127373862,6.744313791610096,10.875717972738506
P1-A,3,3200003,a_to_g,5,True,True,0.9278935449785619,-0.33453314465878015,0.605,True,True,False,True,26.41959539427525,0.005,27.22696402763164,0.005,-0.001746318561232265,0.66,0,1,1.0,0.5255523414289782,2.9670837680719373,4.587241538984716
P1-A,3,3200003,a_to_g,7,True,True,0.9278935449785619,-0.33453314465878015,0.605,True,True,False,True,32.61188825240156,0.005,30.891255210582937,0.005,-0.0024741841951749963,0.735,0,1,1.0,1.0578113030682608,4.215535691810051,6.277569665686182
P1-A,3,3200003,a_to_g,11,True,True,0.9278935449785619,-0.33453314465878015,0.605,True,True,False,True,40.585993331068266,0.005,39.964167183122626,0.005,-0.004855101675003806,0.89,0,1,1.0,2.481262218020758,6.7129816734754035,11.257607966779897
P1-A,4,3200004,g_to_a,5,True,True,0.9264696404788624,0.5629856451779366,0.285,True,True,False,True,26.79571897468965,0.005,26.380732416213878,0.005,0.004712106726932429,0.12,0,1,1.0,0.7952771668892901,2.9314773358054205,5.065970268041887
P1-A,4,3200004,g_to_a,7,True,True,0.9264696404788624,0.5629856451779366,0.285,True,True,False,True,32.91423807119538,0.005,32.37832931486953,0.005,0.007398097614518756,0.02,0,1,1.0,1.2401475245237512,4.181066708896669,6.842000078016784
P1-A,4,3200004,g_to_a,11,True,True,0.9264696404788624,0.5629856451779366,0.285,True,True,False,True,45.67168009789166,0.005,45.24788634579444,0.005,0.008815839528327978,0.02,0,1,1.0,2.186397817891596,6.751501111602938,9.935214372673208
P1-A,4,3200004,a_to_g,5,True,True,0.9274619160015627,-0.878752950165857,0.835,True,True,False,True,29.12597433988765,0.005,30.618393226681384,0.005,0.0015231336609394257,0.325,0,1,1.0,0.6491177179363512,2.9252118126452515,4.743462097838787
P1-A,4,3200004,a_to_g,7,True,True,0.9274619160015627,-0.878752950165857,0.835,True,True,False,True,35.01267014525511,0.005,34.3512281755202,0.005,-0.0020396656446626696,0.67,0,1,1.0,1.2401179907094217,4.181497729146835,6.752349430616807
P1-A,4,3200004,a_to_g,11,True,True,0.9274619160015627,-0.878752950165857,0.835,True,True,False,True,42.11425313167055,0.005,42.00792728356261,0.005,0.0003953275964188266,0.46,0,1,1.0,1.9468211444077483,6.709930895266113,9.420643537067289
P1-A,5,3200005,g_to_a,5,True,True,0.9280568945234496,1.2128741940600833,0.105,True,True,False,True,25.26183172595499,0.005,25.38984860797378,0.005,0.003841935133832152,0.145,0,1,1.0,0.6808522892519758,2.9526231521975217,5.089887139153572
P1-A,5,3200005,g_to_a,7,True,True,0.9280568945234496,1.2128741940600833,0.105,True,True,False,True,30.084999614210773,0.005,28.580376765416517,0.005,0.004486561095097062,0.13,0,1,1.0,1.2310468436197075,4.235807241353759,7.176371694149059
P1-A,5,3200005,g_to_a,11,True,True,0.9280568945234496,1.2128741940600833,0.105,True,True,False,True,41.34058294067857,0.005,39.355732720787856,0.005,0.005466736772514752,0.1,0,1,1.0,2.3458529355738764,6.741632059821235,9.961751907842789
P1-A,5,3200005,a_to_g,5,True,True,0.9269890627677397,-1.2739567470328197,0.9,True,True,False,True,25.20371676505928,0.005,25.18695628722617,0.005,0.003404651783920215,0.195,0,1,1.0,0.5171294071206292,2.9334104587365966,4.627350907474209
P1-A,5,3200005,a_to_g,7,True,True,0.9269890627677397,-1.2739567470328197,0.9,True,True,False,True,29.143337465319554,0.005,29.486802189615986,0.005,0.0025874179336425654,0.245,0,1,1.0,1.2571407287818368,4.188542434084058,6.190101147860272
P1-A,5,3200005,a_to_g,11,True,True,0.9269890627677397,-1.2739567470328197,0.9,True,True,False,True,36.929706785784894,0.005,36.30512524071707,0.005,0.0008161596877295389,0.405,0,1,1.0,2.6342532565109753,6.759431988597061,9.96984540215762
P1-A,6,3200006,g_to_a,5,True,True,0.9270173573359647,0.5148727377454365,0.305,True,True,False,True,28.919943143557614,0.005,28.67268327393259,0.005,0.0017231435754570146,0.285,0,1,1.0,0.972386562757986,2.916601029932261,4.635104948283194
P1-A,6,3200006,g_to_a,7,True,True,0.9270173573359647,0.5148727377454365,0.305,True,True,False,True,34.47528241218911,0.005,33.86081974843661,0.005,-0.0006643383760614944,0.59,0,1,1.0,1.610633587409772,4.212917844526682,6.369131041552913
P1-A,6,3200006,g_to_a,11,True,True,0.9270173573359647,0.5148727377454365,0.305,True,True,False,True,39.830333850801665,0.005,39.77773725007267,0.005,-0.00284524292249169,0.77,0,1,1.0,2.8894776975847276,6.753962132133599,10.606986939069294
P1-A,6,3200006,a_to_g,5,True,True,0.9264448365194822,0.7028189264278464,0.245,True,True,False,True,25.432775885113507,0.005,25.224015063653486,0.005,8.739197114471613e-05,0.53,0,1,1.0,0.7203704160882233,2.9363542448999396,4.9331451273203655
P1-A,6,3200006,a_to_g,7,True,True,0.9264448365194822,0.7028189264278464,0.245,True,True,False,True,30.624516522686847,0.005,29.17449818537244,0.005,-0.00045227225381367107,0.54,0,1,1.0,1.2012586230004398,4.205251034391247,6.33986441616805
P1-A,6,3200006,a_to_g,11,True,True,0.9264448365194822,0.7028189264278464,0.245,True,True,False,True,39.38334035949827,0.005,39.35705364219719,0.005,0.0019975242411767596,0.335,0,1,1.0,2.3912527204618463,6.696491404254205,9.81184677749498
P1-A,7,3200007,g_to_a,5,True,True,0.9278442174283539,0.0216339894056317,0.495,True,True,False,True,24.944555888774513,0.005,26.16519578665322,0.005,-0.0029698816000880753,0.775,0,1,1.0,0.6365534734364237,2.926030053569247,4.879048209644445
P1-A,7,3200007,g_to_a,7,True,True,0.9278442174283539,0.0216339894056317,0.495,True,True,False,True,28.0902878067392,0.005,30.062613666160853,0.005,-0.005297578707350679,0.915,0,1,1.0,0.9098540691081163,4.161999264516026,6.331121799839237
