version,stage,world,world_label,replicate,seed,target,arm,lambda,auroc,auprc,auroc_delta,auprc_delta,accepted,fallback,accepted_direction_count,roughness_min_eigenvalue,condition_number,method_hash
graybox-cross-view-phase1-v1-2026-08-06,smoke,P1-A,Aligned target,0,3100000,g,iu,0.0,0.8596296296296296,0.867196300633543,0.0,0.0,False,False,2,0.0,nan,7b91df2bfa487e702f38c39dfe65c5cd314fc98a272abcf10bc883f4ab6e1ea0
graybox-cross-view-phase1-v1-2026-08-06,smoke,P1-A,Aligned target,0,3100000,g,iu,0.01,0.8596296296296296,0.867196300633543,0.0,0.0,False,False,2,0.0,nan,7b91df2bfa487e702f38c39dfe65c5cd314fc98a272abcf10bc883f4ab6e1ea0
graybox-cross-view-phase1-v1-2026-08-06,smoke,P1-A,Aligned target,0,3100000,g,iu,0.03,0.8596296296296296,0.867196300633543,0.0,0.0,False,False,2,0.0,nan,7b91df2bfa487e702f38c39dfe65c5cd314fc98a272abcf10bc883f4ab6e1ea0
graybox-cross-view-phase1-v1-2026-08-06,smoke,P1-A,Aligned target,0,3100000,g,iu,0.1,0.8596296296296296,0.867196300633543,0.0,0.0,False,False,2,0.0,nan,7b91df2bfa487e702f38c39dfe65c5cd314fc98a272abcf10bc883f4ab6e1ea0
graybox-cross-view-phase1-v1-2026-08-06,smoke,P1-A,Aligned target,0,3100000,g,iu,0.3,0.8596296296296296,0.867196300633543,0.0,0.0,False,False,2,0.0,nan,7b91df2bfa487e702f38c39dfe65c5cd314fc98a272abcf10bc883f4ab6e1ea0
graybox-cross-view-phase1-v1-2026-08-06,smoke,P1-A,Aligned target,0,3100000,g,iu,1.0,0.8596296296296296,0.867196300633543,0.0,0.0,False,False,2,0.0,nan,7b91df2bfa487e702f38c39dfe65c5cd314fc98a272abcf10bc883f4ab6e1ea0
graybox-cross-view-phase1-v1-2026-08-06,smoke,P1-A,Aligned target,0,3100000,g,direct_g,0.0,0.8596296296296296,0.867196300633543,0.0,0.0,True,False,2,0.11010492927267682,5.623213327495125,7b91df2bfa487e702f38c39dfe65c5cd314fc98a272abcf10bc883f4ab6e1ea0
graybox-cross-view-phase1-v1-2026-08-06,smoke,P1-A,Aligned target,0,3100000,g,direct_g,0.01,0.8597530864197532,0.8672461821390045,0.00012345679012359945,4.988150546147985e-05,True,False,2,0.11010492927267682,5.4541438958346475,7b91df2bfa487e702f38c39dfe65c5cd314fc98a272abcf10bc883f4ab6e1ea0
graybox-cross-view-phase1-v1-2026-08-06,smoke,P1-A,Aligned target,0,3100000,g,direct_g,0.03,0.8617283950617284,0.8693933259904189,0.002098765432098748,0.002197025356875826,True,False,2,0.11010492927267682,5.149832807927204,7b91df2bfa487e702f38c39dfe65c5cd314fc98a272abcf10bc883f4ab6e1ea0
graybox-cross-view-phase1-v1-2026-08-06,smoke,P1-A,Aligned target,0,3100000,g,direct_g,0.1,0.8653086419753087,0.8733365723246587,0.005679012345679024,0.00614027169111564,True,False,2,0.11010492927267682,4.344306697271888,7b91df2bfa487e702f38c39dfe65c5cd314fc98a272abcf10bc883f4ab6e1ea0
