population_id,metric_id,value,ci_low,ci_high,n_rows,n_groups
current_common_eight_qwen,official_macro_f1,0.3070517946987059,0.28914685900214115,0.3232533827590391,6800,3400
current_common_eight_qwen,first_error_exact,0.2185977326821239,0.20136991052996248,0.23607308508703667,6800,3400
current_common_eight_qwen,first_error_within_one,0.4519058267783848,0.4312377148112846,0.47252967048278466,6800,3400
current_common_eight_qwen,clean_abstention_accuracy,0.5496460007912918,0.5225086634385053,0.5769435805949816,6800,3400
current_common_eight_qwen,overall_decision_accuracy,0.3306875,0.31525,0.34625,6800,3400
current_full_twelve_cell,official_macro_f1,0.3077688756815854,0.2920240928292433,0.3221593702161783,10200,3400
current_full_twelve_cell,first_error_exact,0.2185448937104312,0.20359591808346092,0.2338783824570677,10200,3400
current_full_twelve_cell,first_error_within_one,0.4463557369096846,0.42773644333426597,0.4651018013836539,10200,3400
current_full_twelve_cell,clean_abstention_accuracy,0.56030129776459,0.5352186190679464,0.585709908135401,10200,3400
current_full_twelve_cell,overall_decision_accuracy,0.3345416666666667,0.320375,0.349,10200,3400
