slice_type,slice_id,status,positive_class,auroc,auprc,mean_risk,risk_q90,coverage,n_examples,n_positive,n_negative
overall,all,OK,annotated_error_step,0.5932363259016601,0.2047918697272804,0.5165830497604101,0.8677520555414022,1.0,83280,13144,70136
error_family,circular,OK,annotated_error_step,0.6065433535738827,0.3231710259528436,0.6081935433280224,0.9198603862646546,1.0,7813,2135,5678
error_family,confidence,OK,annotated_error_step,0.5971825222798252,0.17031252527671117,0.5036094033055475,0.835289203276315,1.0,10711,1303,9408
error_family,counterfactual,OK,annotated_error_step,0.5632118000746164,0.24221649770900058,0.4995780602957884,0.8439892080377943,1.0,10477,2074,8403
error_family,deception,OK,annotated_error_step,0.5071841480701413,0.18115510061357662,0.47035795258282176,0.8450284126860373,1.0,10053,1698,8355
error_family,domain_inconsistency,OK,annotated_error_step,0.6143233813368384,0.1752560017817008,0.5754458895936532,0.8982736252828666,1.0,10031,1338,8693
error_family,missing_condition,OK,annotated_error_step,0.5551758740918598,0.2292992221134742,0.5559739072914331,0.9285181807166911,1.0,9613,1869,7744
error_family,multi_solutions,METRIC_UNDEFINED_SINGLE_CLASS,annotated_error_step,,,0.19828827442976396,0.46318381367524686,1.0,2241,0,2241
error_family,redundency,OK,annotated_error_step,0.5983959125997009,0.1748856228552223,0.5085616669868611,0.8234920752298973,1.0,11613,1537,10076
error_family,step_contradiction,OK,annotated_error_step,0.5961864615840046,0.14205574552373018,0.5075789080129863,0.8411724353959068,1.0,10728,1190,9538
source_stratum,prm_train,BLOCKED_METADATA_NOT_IN_SEALED_EVALUATOR,annotated_error_step,,,,,,0,0,0
source_stratum,prm_test,BLOCKED_METADATA_NOT_IN_SEALED_EVALUATOR,annotated_error_step,,,,,,0,0,0
