held_out_cell,direction_absolute_cosine,neutral_dimension,null_lower,null_upper
ars_gsm8k_r1distill8b,0.9965732338472426,2,0.9342159832284495,1.0690681171315672
internalstates_gsm8k_qwen25_7b,0.9994341897348399,2,0.9338826171402731,1.0722845989500251
lapeigvals_gsm8k_llama3b,0.9950693214633711,2,0.9343692846780516,1.0743997342984062
lapeigvals_gsm8k_llama8b,0.9906517066213817,2,0.9349036012514599,1.0740676796362518
lapeigvals_gsm8k_mistral24b,0.9965642298404144,2,0.9334097506387458,1.0735363939369293
lapeigvals_gsm8k_nemo,0.9964084467441741,2,0.9344057318961361,1.0748410384557905
lapeigvals_gsm8k_phi35,0.9868671282199709,2,0.933595242481858,1.072810501336342
noise_gsm8k_mistral7b,0.9990249189486711,2,0.9321582258208578,1.0724366707980595
noise_gsm8k_phi3mini,0.9941236272983629,2,0.9333021593177062,1.0715044836176477
trace_gsm8k_llama8b_k10,0.9949407308633063,2,0.931210884008894,1.0719672216427214
losnet_hotpotqa_mistral7b,0.9755047344578929,2,0.933488897199267,1.0700295914238087
math500_dsmath7b,0.9974727389763333,2,0.9346727301333266,1.0680128558779314
math500_qwenmath7b,0.995759463394723,2,0.9360175047632475,1.0704055486807713
math500_r1distill8b,0.9968807725134092,2,0.9351702709955942,1.0691158254876298
math500_r1distill8b_mn4096,0.9915715236968836,2,0.9346332277660945,1.070862634587797
trace_math500_qwenmath15b_k10,0.9857740677507533,2,0.9314839538477779,1.0717486392400248
se_nq_open_llama8b,0.9934800903507288,2,0.9308811694742651,1.0720642414307373
sciq_llama8b,0.9915320011115504,2,0.9366245143499528,1.065441340045569
se_squad_v2_llama8b,0.9918753808637197,2,0.9294702836406363,1.072918068567851
epr_triviaqa_mistral24b,0.9935696301375062,2,0.9324421349044848,1.0715145219354794
seiclr_triviaqa_opt30b,0.9943633291009997,2,0.9323443081942143,1.072428404501959
semenergy_triviaqa_qwen3_8b,0.9880217236418584,2,0.9322747773480979,1.0722721909307404
truthfulqa_llama8b,0.9928390651421125,2,0.9322978095525974,1.0728361806195827
