cells_meeting_10pct_ever_wrong,macro_coverage,macro_ever_wrong_rate,macro_selective_error,method,n_cells
5,0.38226897018476064,0.13361214079775927,0.35501705757872737,global_gl_liu_no_length,11
6,0.38326100424233966,0.12674252284571993,0.3322801366812256,global_gl_liu_elapsed_length,11
4,0.36955287544382603,0.14853726695193353,0.39731452138150697,local_temporal_gl_liu_max,11
5,0.43114667520612604,0.16884456807628043,0.37659605902747034,local_dufs_gl_liu_top5,11
4,0.39289784138037864,0.1380866413317692,0.35440616887985305,fused_gl_liu,11
5,0.37823719480628387,0.1478222151933488,0.3799083612168696,cusum_max,11
6,0.34771892662174797,0.12076717778693333,0.3358587876769695,sw_var_peak,11
5,0.38170560160485584,0.12242187462162084,0.3257275997238552,cusum_swvar_equal,11
5,0.3657133177005866,0.13706372502359454,0.3635254255833619,iu28_no_length,11
6,0.4322539007899517,0.1541847084185404,0.34476520448387454,deepconf_entropy_w32,11
4,0.43485892643873947,0.1604763102178893,0.3450313847372671,deepconf_entropy_w64,11
