budget,macro_auroc,macro_final_decision_agreement,macro_spearman_vs_final,method,n_cells,n_cells_at_risk_ge_20
16,0.49984377426764515,0.4824959435322281,0.006335539919258126,global_gl_liu_no_length,11,10
16,0.5020232577361734,0.47842961833123676,0.0215463339348511,global_gl_liu_elapsed_length,11,10
16,0.51298160940445,0.5777292398493753,0.14076624878800328,local_temporal_gl_liu_max,11,10
16,0.5183217279799727,0.5808155378017337,0.17147369798516318,local_dufs_gl_liu_top5,11,10
16,0.5128712115783041,0.5694362437376836,0.08718638967776388,fused_gl_liu,11,10
16,0.5050038521731278,0.5613990654355674,0.08324134348468426,cusum_max,11,10
16,0.5161976728640627,0.5394323584294909,0.12129766675198904,sw_var_peak,11,10
16,0.516124365798245,0.49129324166492316,0.09767662773550699,cusum_swvar_equal,11,10
16,0.5049589822224796,0.5353386450441096,0.09719138200122769,iu28_no_length,11,10
16,0.5284303910913775,0.547563451717399,0.1525186777614354,deepconf_entropy_w32,11,10
16,0.5284303910913775,0.5487299287713381,0.137813536403079,deepconf_entropy_w64,11,10
32,0.5781019908149868,0.552633338821824,0.2595539051609886,global_gl_liu_no_length,11,10
32,0.5751498471346129,0.5446175802223601,0.25085882632340534,global_gl_liu_elapsed_length,11,10
32,0.5514351644056243,0.5924854980838944,0.2062371954261086,local_temporal_gl_liu_max,11,10
32,0.5512856200222565,0.592793595975444,0.28684826861914586,local_dufs_gl_liu_top5,11,10
32,0.578070605196237,0.5881921819318604,0.29491641788320394,fused_gl_liu,11,10
32,0.5473091613125182,0.5613990654355674,0.17085892149862897,cusum_max,11,10
32,0.5734349080873062,0.5791686891496257,0.24246659294151254,sw_var_peak,11,10
32,0.5750890924088933,0.5039375686208444,0.24455536546585116,cusum_swvar_equal,11,10
32,0.5796028159163954,0.5639357445469622,0.17154707078981898,iu28_no_length,11,10
32,0.5839549347645041,0.5592381704373934,0.3381270380374249,deepconf_entropy_w32,11,10
32,0.5839549347645041,0.575188330910874,0.33456761658245443,deepconf_entropy_w64,11,10
64,0.6381420352794386,0.6608183665509011,0.48763752064015803,global_gl_liu_no_length,11,10
64,0.6382435099512364,0.6694139264920789,0.49445403900595314,global_gl_liu_elapsed_length,11,10
64,0.5736471882847125,0.6025696168636654,0.31228445427271406,local_temporal_gl_liu_max,11,10
64,0.5794536249005129,0.6105522989197248,0.41039399828922707,local_dufs_gl_liu_top5,11,10
64,0.6349358896628551,0.6377718382647343,0.5103072761259585,fused_gl_liu,11,10
64,0.58205449318949,0.5613990654355674,0.27513678918907397,cusum_max,11,10
64,0.6432785852717077,0.6565973554344752,0.4336862712802873,sw_var_peak,11,10
64,0.634606876960842,0.5329526128122276,0.4230852411536825,cusum_swvar_equal,11,10
64,0.6482041716699766,0.6395579741066235,0.4172014150384152,iu28_no_length,11,10
64,0.610750436585698,0.6629216042568467,0.5044573328209274,deepconf_entropy_w32,11,10
64,0.6162584853406335,0.5998423196358378,0.4900927181406369,deepconf_entropy_w64,11,10
128,0.6794692849930164,0.7611372011972459,0.6988019289429542,global_gl_liu_no_length,11,10
128,0.6769004498191742,0.7499296118271814,0.6837476103716094,global_gl_liu_elapsed_length,11,10
128,0.6176443214310006,0.6375696342177626,0.4230094774409181,local_temporal_gl_liu_max,11,10
128,0.6384085677352335,0.656384246404832,0.544756296848148,local_dufs_gl_liu_top5,11,10
128,0.678251234231512,0.7270661470306202,0.6952360119592533,fused_gl_liu,11,10
128,0.6431492868844652,0.570023774060276,0.38209929720429353,cusum_max,11,10
128,0.6786463343667409,0.7872400805378785,0.6370152804817383,sw_var_peak,11,10
128,0.6814353073266248,0.604948721646947,0.6088611357237521,cusum_swvar_equal,11,10
128,0.6938576296666278,0.7386967096763601,0.6585418193188975,iu28_no_length,11,10
128,0.6706104452072237,0.7818525766234199,0.6902810142417742,deepconf_entropy_w32,11,10
128,0.6707985208608453,0.769204552643174,0.6801106976443405,deepconf_entropy_w64,11,10
256,0.6434624236281983,0.8406718637342468,0.7932010806956725,global_gl_liu_no_length,11,7
256,0.6430542555273326,0.8217462663022078,0.7885567200670011,global_gl_liu_elapsed_length,11,7
256,0.5871753024321039,0.704293599883011,0.4908603541657442,local_temporal_gl_liu_max,11,7
256,0.5828824738327876,0.7381552430250863,0.5645037562691562,local_dufs_gl_liu_top5,11,7
256,0.6370251038508962,0.7915620088643437,0.7649105062645514,fused_gl_liu,11,7
256,0.5895619607077827,0.6188017885999182,0.4628582782319483,cusum_max,11,7
256,0.6629551639555562,0.8785869828266363,0.7624230428410447,sw_var_peak,11,7
256,0.6477143291414467,0.7107531039990976,0.663538125634466,cusum_swvar_equal,11,7
256,0.6037227053964441,0.8400927353887614,0.7728606309459284,iu28_no_length,11,7
256,0.6526910634197317,0.8556320134117136,0.7692926321317048,deepconf_entropy_w32,11,7
256,0.6428375047083509,0.8613867293286309,0.7730420931767771,deepconf_entropy_w64,11,7
512,0.6947256407112007,0.8646405677655676,0.8337590112649499,global_gl_liu_no_length,7,7
512,0.6929592942573295,0.8323161957090529,0.8184187251780382,global_gl_liu_elapsed_length,7,7
512,0.6084028451711715,0.7600127551020408,0.5771051045077832,local_temporal_gl_liu_max,7,7
512,0.6640967573477635,0.8164033882783883,0.6590419507875289,local_dufs_gl_liu_top5,7,7
512,0.706867829850549,0.8667958529565672,0.803262625145479,fused_gl_liu,7,7
512,0.6546911633801084,0.7099555206698064,0.5244620156314587,cusum_max,7,7
512,0.6712039009734898,0.9102891156462585,0.8025740459164797,sw_var_peak,7,7
512,0.6925132660372935,0.8166928309785452,0.7006245369981414,cusum_swvar_equal,7,7
512,0.6438183370910429,0.8801249345892204,0.8174976683400101,iu28_no_length,7,7
512,0.7070363557493676,0.885897435897436,0.8151839984701714,deepconf_entropy_w32,7,7
512,0.6919133713693012,0.8783817373103088,0.8358371635300259,deepconf_entropy_w64,7,7
