outcome,n_rows,n_selected,n_abstained,mean_selected_step_length,median_selected_step_length,q90_selected_step_length
all,6800,4831,1969,123.88573794245498,110.0,208.0
error,4442,3744,698,127.21501068376068,114.0,214.70000000000027
clean,2358,1087,1271,112.41858325666973,97.0,191.0
