held_out_cell,projector_overlap
internalstates_gsm8k_qwen25_7b,0.9939856533011903
lapeigvals_gsm8k_llama8b,0.989190607498008
lapeigvals_gsm8k_mistral24b,0.991661585088127
lapeigvals_gsm8k_nemo,0.9991913869293283
lapeigvals_gsm8k_phi35,0.9933542243119219
noise_gsm8k_mistral7b,0.998396101529326
noise_gsm8k_phi3mini,0.9976153882224952
trace_gsm8k_llama8b_k10,0.9927451645371655
losnet_hotpotqa_mistral7b,0.9922040047173252
math500_dsmath7b,0.9878502174777415
math500_qwenmath7b,0.9427682242892862
se_nq_open_llama8b,0.9964677431675586
sciq_llama8b,0.972085957853476
se_squad_v2_llama8b,0.9945195604728121
semenergy_triviaqa_qwen3_8b,0.9931613095344738
truthfulqa_llama8b,0.990019851990341
