method,mse,rmse,prediction_rows,basis_kind,rank,interaction,ridge,alpha,random_seed
pca,0.03470393177012395,0.18628991322700206,5276,pca,6,True,0.1,0.5,0
channel,0.128276854908744,0.3581575839051073,5276,channel,3,True,0.1,0.5,0
operator,0.13305759638246864,0.36477060789278054,5276,operator,6,True,0.1,0.5,0
factorial,0.08095702593469023,0.2845294816617256,5276,factorial,6,True,0.1,0.5,0
hybrid,0.03200898829424424,0.17891055948222911,5276,hybrid,6,True,0.1,0.25,0
pooled_mean,0.04558003220199166,0.21349480603047855,5276,,,,,,
