method_family,basis_kind,rank,interaction,ridge,alpha,random_seed,cv_mse
pca,pca,6,True,0.1,0.5,0,0.03430274757171702
pca,pca,4,True,0.1,0.5,0,0.03466317488424066
pca,pca,4,True,0.01,0.5,0,0.03492706077038806
pca,pca,6,True,0.01,0.5,0,0.03521252499209959
pca,pca,3,True,0.1,0.5,0,0.03603213134348056
pca,pca,3,True,0.01,0.5,0,0.03624647872762936
pca,pca,6,False,0.1,0.5,0,0.03773804802870741
pca,pca,6,False,0.01,0.5,0,0.03794271234304
pca,pca,4,False,0.1,0.5,0,0.038269079106680856
pca,pca,2,True,0.1,0.5,0,0.038309874612324275
pca,pca,2,True,0.01,0.5,0,0.03832423908682536
pca,pca,4,False,0.01,0.5,0,0.03836523793746244
pca,pca,3,False,0.1,0.5,0,0.03859216487759161
pca,pca,3,False,0.01,0.5,0,0.03865002651829872
pca,pca,2,False,0.01,0.5,0,0.040552981953771716
pca,pca,2,False,0.1,0.5,0,0.04055980271906395
pca,pca,1,False,0.01,0.5,0,0.047235034905277334
pca,pca,1,True,0.01,0.5,0,0.047235034905277334
pca,pca,1,False,0.1,0.5,0,0.04727079552029838
pca,pca,1,True,0.1,0.5,0,0.04727079552029838
pca,pca,4,True,1.0,0.5,0,0.05897799730464766
pca,pca,6,False,1.0,0.5,0,0.059095065594126986
pca,pca,6,True,1.0,0.5,0,0.05910579600964333
pca,pca,3,True,1.0,0.5,0,0.05927967064612604
pca,pca,4,False,1.0,0.5,0,0.059346427352191686
pca,pca,3,False,1.0,0.5,0,0.059542209079854136
pca,pca,2,True,1.0,0.5,0,0.060150074803752535
pca,pca,2,False,1.0,0.5,0,0.06084205698980917
pca,pca,1,False,1.0,0.5,0,0.0655363806089386
pca,pca,1,True,1.0,0.5,0,0.0655363806089386
channel,channel,3,True,0.1,0.5,0,0.10978985316940287
channel,channel,3,True,1.0,0.5,0,0.11083082296418598
channel,channel,3,True,0.01,0.5,0,0.11105194855618924
channel,channel,4,True,1.0,0.5,0,0.11152725367106779
channel,channel,4,True,0.1,0.5,0,0.11278509600388749
channel,channel,4,True,0.01,0.5,0,0.11526816395062815
channel,channel,4,False,0.1,0.5,0,0.11535353377582395
channel,channel,3,False,0.1,0.5,0,0.11543570176190544
channel,channel,4,False,1.0,0.5,0,0.11615630831803377
channel,channel,3,False,1.0,0.5,0,0.11625846838292668
channel,channel,3,False,0.01,0.5,0,0.11648785709692736
channel,channel,2,False,0.1,0.5,0,0.11651840605217577
channel,channel,4,False,0.01,0.5,0,0.11658848478170222
channel,channel,2,False,0.01,0.5,0,0.11697371059350338
channel,channel,2,False,1.0,0.5,0,0.11775133211752585
channel,channel,2,True,0.1,0.5,0,0.11831651991751373
channel,channel,2,True,1.0,0.5,0,0.11858124861295159
channel,channel,2,True,0.01,0.5,0,0.11905516001661635
channel,channel,1,False,0.1,0.5,0,0.12378844309096293
channel,channel,1,True,0.1,0.5,0,0.12378844309096293
channel,channel,1,False,0.01,0.5,0,0.12382746864487414
channel,channel,1,True,0.01,0.5,0,0.12382746864487414
channel,channel,1,False,1.0,0.5,0,0.12391698691036557
channel,channel,1,True,1.0,0.5,0,0.12391698691036557
operator,operator,6,True,0.1,0.5,0,0.1160103637103791
operator,operator,6,True,1.0,0.5,0,0.11610524513902475
operator,operator,3,True,0.1,0.5,0,0.11764636215747973
operator,operator,4,True,0.1,0.5,0,0.11787512534449708
operator,operator,6,True,0.01,0.5,0,0.11788045309453278
operator,operator,3,True,0.01,0.5,0,0.11828080109349066
operator,operator,3,False,0.1,0.5,0,0.11862582045814157
operator,operator,3,True,1.0,0.5,0,0.11879553772386871
operator,operator,4,False,0.1,0.5,0,0.11883284617847259
operator,operator,2,False,0.1,0.5,0,0.11887442923989261
operator,operator,4,True,0.01,0.5,0,0.11890637199345305
operator,operator,3,False,0.01,0.5,0,0.11893968695227237
operator,operator,2,False,0.01,0.5,0,0.1189880506879242
operator,operator,4,True,1.0,0.5,0,0.11899486706682084
operator,operator,6,False,0.1,0.5,0,0.11914575516293394
operator,operator,4,False,0.01,0.5,0,0.11922443704239527
operator,operator,2,True,0.1,0.5,0,0.1195852003951818
operator,operator,2,True,0.01,0.5,0,0.11984647425237055
operator,operator,6,False,0.01,0.5,0,0.12014171367287707
operator,operator,3,False,1.0,0.5,0,0.12015437173174535
operator,operator,6,False,1.0,0.5,0,0.12017188182044608
operator,operator,4,False,1.0,0.5,0,0.12021371124114325
operator,operator,2,False,1.0,0.5,0,0.1204416933191712
operator,operator,2,True,1.0,0.5,0,0.12062135753032044
operator,operator,1,False,0.1,0.5,0,0.1238787594910807
operator,operator,1,True,0.1,0.5,0,0.1238787594910807
operator,operator,1,False,0.01,0.5,0,0.12393290555134287
operator,operator,1,True,0.01,0.5,0,0.12393290555134287
operator,operator,1,False,1.0,0.5,0,0.12394908407785757
operator,operator,1,True,1.0,0.5,0,0.12394908407785757
factorial,factorial,6,True,0.1,0.5,0,0.08170186838461174
factorial,factorial,6,True,0.01,0.5,0,0.08465960188762792
factorial,factorial,6,True,1.0,0.5,0,0.08571451326430246
factorial,factorial,6,False,0.1,0.5,0,0.10821070628289171
factorial,factorial,6,False,0.01,0.5,0,0.10944492097032368
factorial,factorial,3,True,0.1,0.5,0,0.11151201721540335
factorial,factorial,6,False,1.0,0.5,0,0.11197046955288101
factorial,factorial,3,True,1.0,0.5,0,0.11239037208201301
factorial,factorial,3,True,0.01,0.5,0,0.11271339839496607
factorial,factorial,4,True,1.0,0.5,0,0.11293504233704756
factorial,factorial,4,True,0.1,0.5,0,0.11406714390630543
factorial,factorial,4,False,0.1,0.5,0,0.1152147159371566
factorial,factorial,3,False,0.1,0.5,0,0.11528369643439343
factorial,factorial,2,False,0.1,0.5,0,0.11581331548729051
factorial,factorial,3,False,0.01,0.5,0,0.1162034507456154
factorial,factorial,4,False,1.0,0.5,0,0.11620728494359552
factorial,factorial,2,False,0.01,0.5,0,0.11623999197857048
factorial,factorial,4,False,0.01,0.5,0,0.11630251135520911
factorial,factorial,3,False,1.0,0.5,0,0.1163034075147758
factorial,factorial,4,True,0.01,0.5,0,0.1163545343004678
factorial,factorial,2,False,1.0,0.5,0,0.11729285979791713
factorial,factorial,2,True,0.1,0.5,0,0.11754055607031141
