method,mse,rmse,prediction_rows,basis_kind,rank,interaction,ridge,alpha,random_seed
random_10,0.13988281572298775,0.37400911181813173,5276,random,6,True,0.1,0.5,20260823
random_18,0.143853585512062,0.3792803521302705,5276,random,6,True,0.1,0.5,20260831
random_15,0.14633684514526707,0.3825399915633228,5276,random,6,True,0.1,0.5,20260828
random_28,0.15105400598064928,0.38865666851431907,5276,random,6,True,0.1,0.5,20260841
random_13,0.1511550813986899,0.38878667852524207,5276,random,6,True,0.1,0.5,20260826
random_08,0.1511888370562522,0.38883008764272886,5276,random,6,True,0.1,0.5,20260821
random_31,0.151711699906216,0.38950186123588165,5276,random,6,True,0.1,0.5,20260844
random_17,0.15189137293749538,0.3897324376254758,5276,random,6,True,0.1,0.5,20260830
random_23,0.15258585995948643,0.3906224007394947,5276,random,6,True,0.1,0.5,20260836
random_12,0.1527164199474871,0.3907894829028631,5276,random,6,True,0.1,0.5,20260825
random_07,0.15296646177223486,0.39110927088504926,5276,random,6,True,0.1,0.5,20260820
random_01,0.15351923053439284,0.3918153015572425,5276,random,6,True,0.1,0.5,20260814
random_00,0.15361669793947938,0.39193966109527545,5276,random,6,True,0.1,0.5,20260813
random_16,0.15390054414620843,0.39230159844972395,5276,random,6,True,0.1,0.5,20260829
random_21,0.1539447874680732,0.3923579838209912,5276,random,6,True,0.1,0.5,20260834
random_20,0.15412392681216366,0.3925862030333767,5276,random,6,True,0.1,0.5,20260833
random_19,0.15429726857487427,0.3928069100396202,5276,random,6,True,0.1,0.5,20260832
random_04,0.15430864683130938,0.3928213930418115,5276,random,6,True,0.1,0.5,20260817
random_05,0.15438488445699053,0.3929184195949466,5276,random,6,True,0.1,0.5,20260818
random_22,0.1546255207378677,0.39322451695929095,5276,random,6,True,0.1,0.5,20260835
random_11,0.15474917899106624,0.39338172172975483,5276,random,6,True,0.1,0.5,20260824
random_30,0.15492736117418357,0.3936081314889005,5276,random,6,True,0.1,0.5,20260843
random_09,0.15506109656860184,0.3937779787756063,5276,random,6,True,0.1,0.5,20260822
random_14,0.15509375396580377,0.39381944335672886,5276,random,6,True,0.1,0.5,20260827
random_06,0.15614099874434192,0.3951468065723699,5276,random,6,True,0.1,0.5,20260819
random_25,0.156752607291176,0.39591995061019086,5276,random,6,True,0.1,0.5,20260838
random_03,0.15701856212260523,0.3962556777165536,5276,random,6,True,0.1,0.5,20260816
random_24,0.15772481128997812,0.39714583126350217,5276,random,6,True,0.1,0.5,20260837
random_29,0.1578075920253122,0.39725003716212814,5276,random,6,True,0.1,0.5,20260842
random_27,0.15798903044111107,0.39747833958734285,5276,random,6,True,0.1,0.5,20260840
random_26,0.15923895164374663,0.39904755561680444,5276,random,6,True,0.1,0.5,20260839
random_02,0.1616309526389888,0.40203352178517254,5276,random,6,True,0.1,0.5,20260815
