method,environment,held_out_feature,partner_feature,actual,prediction,squared_error
pca,ars_gsm8k_r1distill8b,epr,trace_length,-0.6973530435348645,-0.766572030585494,0.0047912681683152086
pca,ars_gsm8k_r1distill8b,epr,spectral_entropy,-0.5607932651501867,-0.5497632794977643,0.0001216605834926443
pca,ars_gsm8k_r1distill8b,epr,low_band_power,-0.63975942415157,-0.511728915214368,0.01639181121871897
pca,ars_gsm8k_r1distill8b,epr,high_band_power,-0.32181140877327186,-0.4118165226785456,0.008100920529101305
pca,ars_gsm8k_r1distill8b,epr,hl_ratio,-0.5752622491224181,-0.4931826407264505,0.0067370621144353885
pca,ars_gsm8k_r1distill8b,epr,dominant_freq,-0.3123900965376981,-0.3571443675440312,0.002002944773308309
pca,ars_gsm8k_r1distill8b,epr,spectral_centroid,-0.6953821559277543,-0.586204562729476,0.011919746856568757
pca,ars_gsm8k_r1distill8b,epr,stft_max_high_power,0.015816250723055668,0.13096192342228266,0.013258525941357508
pca,ars_gsm8k_r1distill8b,epr,stft_spectral_entropy,0.34814720089821144,-0.17435262419589168,0.27300606722336834
pca,ars_gsm8k_r1distill8b,epr,rpdi,0.2175434268414899,-0.006516641910236959,0.05020291440902856
pca,ars_gsm8k_r1distill8b,epr,sw_var_peak,-0.3024089865593253,0.1544560432839521,0.20872565549369873
pca,ars_gsm8k_r1distill8b,epr,pe_mean,-0.20991929989915398,-0.1891216337529673,0.0004325429171282389
pca,ars_gsm8k_r1distill8b,epr,hurst_exponent,-0.4368950289278862,-0.3191846619554504,0.013855730492785493
pca,ars_gsm8k_r1distill8b,epr,cusum_max,-0.7032496095574634,-0.6443278751335988,0.003471770787516432
pca,ars_gsm8k_r1distill8b,epr,cusum_shift_idx,0.06267785122592813,0.1036800094590354,0.001681176979772766
pca,ars_gsm8k_r1distill8b,epr,epr_spilled,0.9728504426904614,0.7448012472820942,0.05200643552640365
pca,ars_gsm8k_r1distill8b,epr,sw_var_peak_spilled,-0.29927979844221436,-0.13389596087453087,0.02735181372861392
pca,ars_gsm8k_r1distill8b,epr,cusum_max_spilled,-0.7018291396350784,-0.6251884661361518,0.005873792834369081
pca,ars_gsm8k_r1distill8b,epr,min_spilled,-0.3018172610427114,-0.19456231377824904,0.011503623712702601
pca,ars_gsm8k_r1distill8b,epr,epr_energy,0.7157781702040257,0.7607559374569264,0.0020229995470561067
pca,ars_gsm8k_r1distill8b,epr,min_energy,-0.10194887896530133,0.03215753687859699,0.017984530770496582
pca,ars_gsm8k_r1distill8b,epr,sw_var_peak_energy,-0.09032368086624169,-0.2814711999726442,0.0365373740605325
pca,ars_gsm8k_r1distill8b,epr,cusum_max_energy,-0.7224460048107623,-0.7134918873021157,8.017622035865175e-05
pca,ars_gsm8k_r1distill8b,epr,mean_top1_logprob,0.9728504426904614,0.9218572656607047,0.0026003041035881063
pca,ars_gsm8k_r1distill8b,epr,logprob_margin,0.9063051618360823,0.9042118519154854,4.381946423669715e-06
pca,ars_gsm8k_r1distill8b,epr,mean_logprob_entropy,0.9996744876175955,1.0130579913753812,0.00017911817283466507
pca,ars_gsm8k_r1distill8b,epr,varentropy,0.9100207791475041,0.9347415435071305,0.0006111161905241716
pca,ars_gsm8k_r1distill8b,epr,renyi_entropy_2,0.9921047955408284,0.9604865196765324,0.0009997153686307227
pca,ars_gsm8k_r1distill8b,epr,topk_tail_mass,0.43245511062433856,0.4698105129705467,0.0013954260844470938
pca,ars_gsm8k_r1distill8b,trace_length,epr,-0.6973530435348645,-0.7729496409454206,0.005714845540053702
pca,ars_gsm8k_r1distill8b,trace_length,spectral_entropy,0.9250920500113244,0.6483969942405596,0.07656015388798665
pca,ars_gsm8k_r1distill8b,trace_length,low_band_power,0.22271093976077255,0.17822034267863063,0.0019794132287254958
pca,ars_gsm8k_r1distill8b,trace_length,high_band_power,0.06948737652406262,0.09951454639949,0.0009016309307277741
pca,ars_gsm8k_r1distill8b,trace_length,hl_ratio,0.1613441856326809,0.17527345575984976,0.00019402456627563857
pca,ars_gsm8k_r1distill8b,trace_length,dominant_freq,0.1198699778881432,0.1291542125173774,8.619701265067166e-05
pca,ars_gsm8k_r1distill8b,trace_length,spectral_centroid,0.28717376033832887,0.19219826076611693,0.00902034551899123
pca,ars_gsm8k_r1distill8b,trace_length,stft_max_high_power,0.17215501737186112,0.07407613480046141,0.009619467206454414
pca,ars_gsm8k_r1distill8b,trace_length,stft_spectral_entropy,-0.1421856253303992,0.11917338987745871,0.06830853483042128
pca,ars_gsm8k_r1distill8b,trace_length,rpdi,0.046515786150478876,-0.006796446289972981,0.0028421941277847673
pca,ars_gsm8k_r1distill8b,trace_length,sw_var_peak,0.14985635596583974,-0.07233960978209653,0.04937104719465807
pca,ars_gsm8k_r1distill8b,trace_length,pe_mean,0.1781925262720365,0.2257018126320668,0.0022571322904393607
pca,ars_gsm8k_r1distill8b,trace_length,hurst_exponent,0.015604794573540073,0.0951621340410562,0.006329370263149599
pca,ars_gsm8k_r1distill8b,trace_length,cusum_max,0.5664427735680565,0.6278317699219916,0.003768608873343461
pca,ars_gsm8k_r1distill8b,trace_length,cusum_shift_idx,-0.11784554201673021,-0.06422029942896812,0.002875666642596333
pca,ars_gsm8k_r1distill8b,trace_length,epr_spilled,-0.6772713555376507,-0.556657322703381,0.0145477449165463
pca,ars_gsm8k_r1distill8b,trace_length,sw_var_peak_spilled,0.18447598188054465,0.14399787151566232,0.0016384774187115944
pca,ars_gsm8k_r1distill8b,trace_length,cusum_max_spilled,0.5448659942955775,0.6179683216374022,0.005343950262791299
pca,ars_gsm8k_r1distill8b,trace_length,min_spilled,0.285502035282593,0.1359770929512627,0.02235770837918765
pca,ars_gsm8k_r1distill8b,trace_length,epr_energy,-0.5407316715338051,-0.6020189966648464,0.003756136221717966
pca,ars_gsm8k_r1distill8b,trace_length,min_energy,0.0324143483080888,0.012202942175284698,0.00040850093786515127
pca,ars_gsm8k_r1distill8b,trace_length,sw_var_peak_energy,0.15114424978097296,0.28294152537943973,0.017370521855178202
pca,ars_gsm8k_r1distill8b,trace_length,cusum_max_energy,0.609530361365562,0.6883330656615615,0.0062098662043627295
pca,ars_gsm8k_r1distill8b,trace_length,mean_top1_logprob,-0.6772713555376507,-0.6818359767942221,2.0835767215943665e-05
pca,ars_gsm8k_r1distill8b,trace_length,logprob_margin,-0.6202430022043858,-0.6944447576913945,0.005505900517353824
pca,ars_gsm8k_r1distill8b,trace_length,mean_logprob_entropy,-0.6957273462258439,-0.7600363560629441,0.00413564874622825
pca,ars_gsm8k_r1distill8b,trace_length,varentropy,-0.635664652153754,-0.7100779856741384,0.0055373442056159605
pca,ars_gsm8k_r1distill8b,trace_length,renyi_entropy_2,-0.6892014312428386,-0.7139725103784105,0.0006136063615407635
pca,ars_gsm8k_r1distill8b,trace_length,topk_tail_mass,-0.31550067470487725,-0.32175803144513065,3.915451337479473e-05
pca,ars_gsm8k_r1distill8b,spectral_entropy,epr,-0.5607932651501867,-0.5290301522108518,0.0010088953435969422
pca,ars_gsm8k_r1distill8b,spectral_entropy,trace_length,0.9250920500113244,0.5877789324469369,0.11378013928100633
pca,ars_gsm8k_r1distill8b,spectral_entropy,low_band_power,0.03920194030803883,0.09780288840913258,0.0034340711183470833
pca,ars_gsm8k_r1distill8b,spectral_entropy,high_band_power,0.03105791552138131,0.05176450501767768,0.00042876284856813114
pca,ars_gsm8k_r1distill8b,spectral_entropy,hl_ratio,0.05378640641658354,0.1151836864320843,0.0037696259933018097
pca,ars_gsm8k_r1distill8b,spectral_entropy,dominant_freq,0.08005713429137867,0.07597802443995638,1.6639137179970387e-05
pca,ars_gsm8k_r1distill8b,spectral_entropy,spectral_centroid,0.13032390732116803,0.10423033344152025,0.0006808745978126369
pca,ars_gsm8k_r1distill8b,spectral_entropy,stft_max_high_power,0.20101174738267055,0.08741643723976919,0.01290389448646195
pca,ars_gsm8k_r1distill8b,spectral_entropy,stft_spectral_entropy,0.01291840143343158,0.08234025874320879,0.004819394272339067
pca,ars_gsm8k_r1distill8b,spectral_entropy,rpdi,0.07732138107934292,0.01388590099585322,0.004024060133422817
pca,ars_gsm8k_r1distill8b,spectral_entropy,sw_var_peak,0.15760561634236936,-0.018933930317375242,0.031166211534828146
pca,ars_gsm8k_r1distill8b,spectral_entropy,pe_mean,0.1808263144753127,0.1718552856410132,8.047935834583273e-05
pca,ars_gsm8k_r1distill8b,spectral_entropy,hurst_exponent,-0.16617374818445604,0.03242048150397214,0.039439668065540175
pca,ars_gsm8k_r1distill8b,spectral_entropy,cusum_max,0.4479187830322174,0.3913488059306292,0.0032001623092742107
pca,ars_gsm8k_r1distill8b,spectral_entropy,cusum_shift_idx,-0.07362243801272875,-0.024187407779915154,0.0024438222141191937
pca,ars_gsm8k_r1distill8b,spectral_entropy,epr_spilled,-0.5316811521420243,-0.3925845297811793,0.019347870352195515
pca,ars_gsm8k_r1distill8b,spectral_entropy,sw_var_peak_spilled,0.18382758492805235,0.10697152255768125,0.005906854323078373
pca,ars_gsm8k_r1distill8b,spectral_entropy,cusum_max_spilled,0.42736129183038907,0.3818526998239395,0.0020710319464094865
pca,ars_gsm8k_r1distill8b,spectral_entropy,min_spilled,0.28705019818376737,0.08350318570977334,0.041431386287088284
pca,ars_gsm8k_r1distill8b,spectral_entropy,epr_energy,-0.4335575997021126,-0.3818615817759513,0.00267247826942199
pca,ars_gsm8k_r1distill8b,spectral_entropy,min_energy,0.06993533389498673,0.06228863517640344,5.847200129278323e-05
pca,ars_gsm8k_r1distill8b,spectral_entropy,sw_var_peak_energy,0.20461062755406892,0.22509734657620525,0.00041970565629196276
pca,ars_gsm8k_r1distill8b,spectral_entropy,cusum_max_energy,0.5161743655718475,0.4619110410752936,0.0029445083854183016
pca,ars_gsm8k_r1distill8b,spectral_entropy,mean_top1_logprob,-0.5316811521420243,-0.4746042194684221,0.0032577762434269184
pca,ars_gsm8k_r1distill8b,spectral_entropy,logprob_margin,-0.4820094248624688,-0.448625238317347,0.001114503911279489
pca,ars_gsm8k_r1distill8b,spectral_entropy,mean_logprob_entropy,-0.5597604095993216,-0.5242002133033584,0.001264527560607434
pca,ars_gsm8k_r1distill8b,spectral_entropy,varentropy,-0.5173028847344086,-0.47028687679221975,0.00221050500281996
pca,ars_gsm8k_r1distill8b,spectral_entropy,renyi_entropy_2,-0.5491499613049061,-0.49609472489876466,0.0028148581101115583
pca,ars_gsm8k_r1distill8b,spectral_entropy,topk_tail_mass,-0.27309368089652525,-0.24515601754339528,0.0007805130336328214
pca,ars_gsm8k_r1distill8b,low_band_power,epr,-0.63975942415157,-0.48616469682688507,0.023591340261944333
pca,ars_gsm8k_r1distill8b,low_band_power,trace_length,0.22271093976077255,0.15858858218072125,0.004111676741623963
pca,ars_gsm8k_r1distill8b,low_band_power,spectral_entropy,0.03920194030803883,0.06421779101349168,0.0006257927865175058
pca,ars_gsm8k_r1distill8b,low_band_power,high_band_power,0.24954527310097627,0.4402150485665757,0.0363549632761021
pca,ars_gsm8k_r1distill8b,low_band_power,hl_ratio,0.714148040980573,0.4512936294056453,0.0690924416844015
pca,ars_gsm8k_r1distill8b,low_band_power,dominant_freq,0.2221812968902468,0.32289573886266504,0.010143398821815601
pca,ars_gsm8k_r1distill8b,low_band_power,spectral_centroid,0.8342366485736687,0.5459180738403253,0.08312760053626654
pca,ars_gsm8k_r1distill8b,low_band_power,stft_max_high_power,-0.11494643320702332,-0.2392090223226515,0.015441191053719439
pca,ars_gsm8k_r1distill8b,low_band_power,stft_spectral_entropy,-0.3721999474735216,0.07663364211854591,0.20145159114610048
pca,ars_gsm8k_r1distill8b,low_band_power,rpdi,-0.15536073088738203,-0.05478993668787914,0.010114484645918765
pca,ars_gsm8k_r1distill8b,low_band_power,sw_var_peak,0.09114490432776748,-0.1758892007639423,0.0713072132821303
pca,ars_gsm8k_r1distill8b,low_band_power,pe_mean,0.04218493766972395,0.03280940966681724,8.790052533328789e-05
pca,ars_gsm8k_r1distill8b,low_band_power,hurst_exponent,0.432909921555631,0.27604604055040705,0.024606277164021067
pca,ars_gsm8k_r1distill8b,low_band_power,cusum_max,0.32418939083610654,0.21167195569810832,0.012660173210033637
pca,ars_gsm8k_r1distill8b,low_band_power,cusum_shift_idx,-0.009362657973316143,-0.07070762486232413,0.0037632049626134855
pca,ars_gsm8k_r1distill8b,low_band_power,epr_spilled,-0.632322311786038,-0.3288346605737594,0.0921047544383457
pca,ars_gsm8k_r1distill8b,low_band_power,sw_var_peak_spilled,0.01418421373934363,0.03131580447619531,0.00029349140117498223
pca,ars_gsm8k_r1distill8b,low_band_power,cusum_max_spilled,0.31474732425850593,0.2173821900192029,0.009479969365437501
pca,ars_gsm8k_r1distill8b,low_band_power,min_spilled,0.10621098751172613,0.13390849763491924,0.0007671520670243852
pca,ars_gsm8k_r1distill8b,low_band_power,epr_energy,-0.48655442512636476,-0.386174049807702,0.010076219749115605
pca,ars_gsm8k_r1distill8b,low_band_power,min_energy,-0.08712056901865284,-0.1569757693093564,0.0048797490076543095
pca,ars_gsm8k_r1distill8b,low_band_power,sw_var_peak_energy,-0.09679938407843088,0.015935297389148215,0.01270910840559652
pca,ars_gsm8k_r1distill8b,low_band_power,cusum_max_energy,0.33542697948369893,0.20960266838866515,0.015831757262539842
pca,ars_gsm8k_r1distill8b,low_band_power,mean_top1_logprob,-0.632322311786038,-0.43610990199430943,0.03849930975627724
pca,ars_gsm8k_r1distill8b,low_band_power,logprob_margin,-0.6280296897339201,-0.43749444854489816,0.03630367813495878
pca,ars_gsm8k_r1distill8b,low_band_power,mean_logprob_entropy,-0.6421389283561212,-0.4815498912205208,0.025788838848139248
pca,ars_gsm8k_r1distill8b,low_band_power,varentropy,-0.6005470927980313,-0.4773321434750298,0.015181923736669836
pca,ars_gsm8k_r1distill8b,low_band_power,renyi_entropy_2,-0.6383006775143847,-0.4547673067175481,0.0336844981960491
pca,ars_gsm8k_r1distill8b,low_band_power,topk_tail_mass,-0.36325332950093037,-0.24528522678332668,0.013916473258791095
pca,ars_gsm8k_r1distill8b,high_band_power,epr,-0.32181140877327186,-0.43291132814335154,0.012343192084038206
pca,ars_gsm8k_r1distill8b,high_band_power,trace_length,0.06948737652406262,0.11146898492635816,0.0017624554440436922
pca,ars_gsm8k_r1distill8b,high_band_power,spectral_entropy,0.03105791552138131,0.04259847378055182,0.00013318448493330868
pca,ars_gsm8k_r1distill8b,high_band_power,low_band_power,0.24954527310097627,0.46037179084527624,0.044447820584187635
pca,ars_gsm8k_r1distill8b,high_band_power,hl_ratio,0.8280365766637715,0.4732956250871194,0.12584114272550861
pca,ars_gsm8k_r1distill8b,high_band_power,dominant_freq,0.04559089613558509,0.31607063614072145,0.07315928975324616
pca,ars_gsm8k_r1distill8b,high_band_power,spectral_centroid,0.5817518918378792,0.5520998026394491,0.0008792463938316549
pca,ars_gsm8k_r1distill8b,high_band_power,stft_max_high_power,-0.31132955574245924,-0.2224129882901326,0.007906155967504155
pca,ars_gsm8k_r1distill8b,high_band_power,stft_spectral_entropy,-0.11854550919106907,0.07929610812318523,0.03914130554151985
pca,ars_gsm8k_r1distill8b,high_band_power,rpdi,-0.12899368778673653,-0.033895172853283986,0.009043727542548096
pca,ars_gsm8k_r1distill8b,high_band_power,sw_var_peak,-0.09753789292710202,-0.12481511830795897,0.0007440470244780663
pca,ars_gsm8k_r1distill8b,high_band_power,pe_mean,-0.00706504231229499,0.03764562245733716,0.0019990435441424254
pca,ars_gsm8k_r1distill8b,high_band_power,hurst_exponent,0.03775075949660805,0.24765808845857668,0.04406108675194811
pca,ars_gsm8k_r1distill8b,high_band_power,cusum_max,0.02770667230866465,0.12374779172087316,0.009223896617950094
pca,ars_gsm8k_r1distill8b,high_band_power,cusum_shift_idx,-0.05595342487516287,-0.03460419301972916,0.0004557897008170653
pca,ars_gsm8k_r1distill8b,high_band_power,epr_spilled,-0.31267998784681317,-0.325569023110185,0.00016612723002044222
pca,ars_gsm8k_r1distill8b,high_band_power,sw_var_peak_spilled,-0.07617737992760941,-0.02803284939021207,0.002317895820666385
pca,ars_gsm8k_r1distill8b,high_band_power,cusum_max_spilled,0.0307227021692925,0.10038457325614654,0.004852776283321471
pca,ars_gsm8k_r1distill8b,high_band_power,min_spilled,0.06298715752265453,0.14345466731535922,0.006475020132239024
pca,ars_gsm8k_r1distill8b,high_band_power,epr_energy,-0.2984519338707214,-0.3578009231601861,0.003522302529680995
pca,ars_gsm8k_r1distill8b,high_band_power,min_energy,-0.114694369139766,-0.10858161021271784,3.7365821700206926e-05
pca,ars_gsm8k_r1distill8b,high_band_power,sw_var_peak_energy,-0.06392841683094681,0.055811364599134355,0.01433761525692361
pca,ars_gsm8k_r1distill8b,high_band_power,cusum_max_energy,0.10431406912934485,0.1540863931380707,0.0024772842372295886
pca,ars_gsm8k_r1distill8b,high_band_power,mean_top1_logprob,-0.31267998784681317,-0.3892328970617506,0.005860347909270457
pca,ars_gsm8k_r1distill8b,high_band_power,logprob_margin,-0.2851720142675363,-0.3941831431245978,0.011883426214690865
pca,ars_gsm8k_r1distill8b,high_band_power,mean_logprob_entropy,-0.3261406577536148,-0.43161075937520776,0.011123942336069151
pca,ars_gsm8k_r1distill8b,high_band_power,varentropy,-0.3293642918369825,-0.4401600954628412,0.012275710101099837
