method,math_q,math_answer_f1,pb_answer_f1,pb_auroc,pb_auprc,pb_localization,delta_vs_baseline,ci_low,ci_high
q15_VE1__token_top10,0.45,0.6335617949358832,0.6874743975353772,0.7874068568914908,0.8538493303208047,0.34923445766119204,-0.01696606732257666,-0.03691927908498992,0.002668739484656198
entropy_native__token_top10,0.45,0.6332714471793994,0.6935668328228505,0.792620149001767,0.857896314345644,0.3553389219932978,-0.010861602990470898,-0.02978641116932058,0.008954947685665656
q15_Hinf__token_top10,0.45,0.6329295305555718,0.6819389351869094,0.7780467097553627,0.8459932322093839,0.35007746432162434,-0.01612306066214436,-0.03466113646276863,0.003627603185325248
q15_raw4_mean__token_top10,0.45,0.632754788260062,0.6975592838632675,0.7986990876381254,0.8618769170241627,0.3556914733713233,-0.01050905161244542,-0.02958158632288985,0.008946238005586134
tail15_mass__token_top10,0.4,0.6324145271394603,0.6979320290321976,0.7995708964235309,0.8634888294069896,0.3667356741482468,0.0005351491644781103,-0.01632017352242134,0.018036990854745263
