method,stratum,n,sla_micro_descriptive,longest_step_agreement,mae
consensus10__all__hard__ds,steps_2_to_5,1312,0.3986280487804878,0.48551829268292684,0.930640243902439
consensus10__all__hard__ds,steps_6_to_10,2308,0.2755632582322357,0.31369150779896016,1.9354419410745234
consensus10__all__hard__ds,steps_11_plus,822,0.1897810218978102,0.24087591240875914,4.326034063260341
consensus10__all__hard__ds,error_relative_quarter_1,1314,0.3143074581430746,0.3401826484018265,2.4444444444444446
consensus10__all__hard__ds,error_relative_quarter_2,1290,0.27906976744186046,0.3426356589147287,1.7387596899224806
consensus10__all__hard__ds,error_relative_quarter_3,1122,0.28342245989304815,0.34670231729055256,1.7067736185383244
consensus10__all__hard__ds,error_relative_quarter_4,716,0.3128491620111732,0.3924581005586592,2.61731843575419
consensus10__all__hard__hem,steps_2_to_5,1312,0.40853658536585363,0.5045731707317073,0.9100609756097561
consensus10__all__hard__hem,steps_6_to_10,2308,0.292894280762565,0.3362218370883882,1.847053726169844
consensus10__all__hard__hem,steps_11_plus,822,0.19829683698296838,0.2615571776155718,4.249391727493918
consensus10__all__hard__hem,error_relative_quarter_1,1314,0.3371385083713851,0.3546423135464231,2.2100456621004567
consensus10__all__hard__hem,error_relative_quarter_2,1290,0.3085271317829457,0.3751937984496124,1.6457364341085272
consensus10__all__hard__hem,error_relative_quarter_3,1122,0.29411764705882354,0.3689839572192513,1.7201426024955437
consensus10__all__hard__hem,error_relative_quarter_4,716,0.2849162011173184,0.4036312849162011,2.7835195530726256
consensus10__all__hard__equal,steps_2_to_5,1312,0.2865853658536585,0.3673780487804878,1.208841463414634
consensus10__all__hard__equal,steps_6_to_10,2308,0.1438474870017331,0.23570190641247835,2.497833622183709
consensus10__all__hard__equal,steps_11_plus,822,0.09245742092457421,0.22749391727493917,5.0
consensus10__all__hard__equal,error_relative_quarter_1,1314,0.4330289193302892,0.3006088280060883,0.9901065449010654
consensus10__all__hard__equal,error_relative_quarter_2,1290,0.07131782945736434,0.26434108527131783,2.1023255813953488
consensus10__all__hard__equal,error_relative_quarter_3,1122,0.07130124777183601,0.24420677361853832,3.262923351158645
consensus10__all__hard__equal,error_relative_quarter_4,716,0.06005586592178771,0.2835195530726257,5.289106145251397
consensus10__all__hard__spectral,steps_2_to_5,1312,0.3742378048780488,0.4603658536585366,1.017530487804878
consensus10__all__hard__spectral,steps_6_to_10,2308,0.23266897746967072,0.3063258232235702,2.148613518197574
consensus10__all__hard__spectral,steps_11_plus,822,0.14841849148418493,0.2944038929440389,4.672749391727494
consensus10__all__hard__spectral,error_relative_quarter_1,1314,0.4041095890410959,0.3531202435312024,1.6225266362252664
