task,fold,roster,population,arm,status,orientation,small_groups,converged,selected_start,selected_iterations,start_likelihood_spread,job_seconds
pb_q4,0,consensus10,all,hard__ds,ok,1.0,[],True,2,20,2.046224967244825e-09,16.151783399982378
pb_q4,0,consensus10,all,hard__hem,ok,1.0,"[0, 1, 2, 3, 4, 5, 6, 7]",True,3,41,3.045046614857938e-08,16.151783399982378
pb_q4,0,consensus10,all,hard__equal,ok,1.0,[],,,,,9.633573900035117
pb_q4,0,consensus10,all,hard__spectral,ok,1.0,[],,,,,9.633573900035117
pb_q4,0,consensus10,all,hard__binary_lsml,ok,1.0,"[0, 1, 2, 3, 4, 5, 6, 7]",,,,,9.633573900035117
pb_q4,0,consensus10,all,soft__equal,ok,1.0,[],,,,,9.633573900035117
pb_q4,0,consensus10,all,soft__spectral,ok,1.0,[],,,,,9.633573900035117
pb_q4,0,consensus10,all,soft__continuous_lsml,ok,1.0,[2],,,,,9.633573900035117
pb_q4,0,consensus10,all,hard__continuous_lsml,ok,1.0,"[1, 2, 4]",,,,,9.633573900035117
pb_q4,0,consensus10,all,pmf__equal,ok,1.0,[],,,,,9.633573900035117
pb_q4,0,consensus10,all,pmf__spectral,ok,1.0,[],,,,,9.633573900035117
pb_q4,0,consensus10,all,pmf__continuous_lsml,ok,1.0,[2],,,,,9.633573900035117
pb_q4,0,consensus,all,hard__ds,ok,1.0,[],True,4,16,9.914664644838922e-10,22.160123599984217
pb_q4,0,consensus,all,hard__hem,ok,1.0,"[1, 3, 4]",True,4,51,1.453628328818013e-08,22.160123599984217
pb_q4,0,consensus,all,hard__equal,ok,1.0,[],,,,,10.361977999971714
pb_q4,0,consensus,all,hard__spectral,ok,1.0,[],,,,,10.361977999971714
pb_q4,0,consensus,all,hard__binary_lsml,ok,1.0,"[1, 3, 4]",,,,,10.361977999971714
pb_q4,0,consensus,all,soft__equal,ok,1.0,[],,,,,10.361977999971714
pb_q4,0,consensus,all,soft__spectral,ok,1.0,[],,,,,10.361977999971714
pb_q4,0,consensus,all,soft__continuous_lsml,ok,1.0,[0],,,,,10.361977999971714
pb_q4,0,consensus,all,hard__continuous_lsml,ok,1.0,[3],,,,,10.361977999971714
pb_q4,0,consensus,all,pmf__equal,ok,1.0,[],,,,,10.361977999971714
pb_q4,0,consensus,all,pmf__spectral,ok,1.0,[],,,,,10.361977999971714
pb_q4,0,consensus,all,pmf__continuous_lsml,ok,1.0,"[0, 2, 3]",,,,,10.361977999971714
pb_q4,0,onset80,all,hard__ds,ok,1.0,[],True,1,17,4.822273247384601e-09,16.07014970004093
pb_q4,0,onset80,all,hard__hem,ok,1.0,"[0, 1, 2, 4]",True,3,414,6.553906519712882e-07,16.07014970004093
pb_q4,0,onset80,all,hard__equal,ok,1.0,[],,,,,8.17676170001505
pb_q4,0,onset80,all,hard__spectral,ok,1.0,[],,,,,8.17676170001505
pb_q4,0,onset80,all,hard__binary_lsml,ok,1.0,"[0, 1, 2, 4]",,,,,8.17676170001505
pb_q4,0,onset80,all,soft__equal,ok,1.0,[],,,,,8.17676170001505
pb_q4,0,onset80,all,soft__spectral,ok,1.0,[],,,,,8.17676170001505
pb_q4,0,onset80,all,soft__continuous_lsml,ok,1.0,[1],,,,,8.17676170001505
pb_q4,0,onset80,all,hard__continuous_lsml,ok,1.0,[2],,,,,8.17676170001505
pb_q4,0,onset80,all,pmf__equal,ok,1.0,[],,,,,8.17676170001505
pb_q4,0,onset80,all,pmf__spectral,ok,1.0,[],,,,,8.17676170001505
pb_q4,0,onset80,all,pmf__continuous_lsml,ok,1.0,[0],,,,,8.17676170001505
pb_q4,0,page_cross,all,hard__ds,ok,1.0,[],True,0,20,3.6610527942571025e-09,9.551302000007126
pb_q4,0,page_cross,all,hard__hem,ok,1.0,"[1, 2, 3]",True,2,66,9.84788206537246e-08,9.551302000007126
pb_q4,0,page_cross,all,hard__equal,ok,1.0,[],,,,,7.706993300002068
pb_q4,0,page_cross,all,hard__spectral,ok,1.0,[],,,,,7.706993300002068
pb_q4,0,page_cross,all,hard__binary_lsml,ok,1.0,"[1, 2, 3]",,,,,7.706993300002068
pb_q4,0,page_cross,all,soft__equal,ok,1.0,[],,,,,7.706993300002068
pb_q4,0,page_cross,all,soft__spectral,ok,1.0,[],,,,,7.706993300002068
pb_q4,0,page_cross,all,soft__continuous_lsml,ok,1.0,"[1, 2, 3]",,,,,7.706993300002068
pb_q4,0,page_cross,all,hard__continuous_lsml,ok,1.0,"[1, 2]",,,,,7.706993300002068
pb_q4,0,page_cross,all,pmf__equal,ok,1.0,[],,,,,7.706993300002068
pb_q4,0,page_cross,all,pmf__spectral,ok,1.0,[],,,,,7.706993300002068
pb_q4,0,page_cross,all,pmf__continuous_lsml,ok,1.0,[2],,,,,7.706993300002068
pb_q4,0,selected,all,hard__ds,ok,1.0,[],True,0,19,4.27078195031072e-09,7.7266195000265725
pb_q4,0,selected,all,hard__hem,ok,1.0,[],True,0,21,1.7372539851123747e-08,7.7266195000265725
pb_q4,0,selected,all,hard__equal,ok,1.0,[],,,,,8.72517589997733
pb_q4,0,selected,all,hard__spectral,ok,1.0,[],,,,,8.72517589997733
pb_q4,0,selected,all,hard__binary_lsml,ok,1.0,[],,,,,8.72517589997733
pb_q4,0,selected,all,soft__equal,ok,1.0,[],,,,,8.72517589997733
pb_q4,0,selected,all,soft__spectral,ok,1.0,[],,,,,8.72517589997733
pb_q4,0,selected,all,soft__continuous_lsml,ok,1.0,[2],,,,,8.72517589997733
pb_q4,0,selected,all,hard__continuous_lsml,ok,1.0,[],,,,,8.72517589997733
pb_q4,0,selected,all,pmf__equal,ok,1.0,[],,,,,8.72517589997733
pb_q4,0,selected,all,pmf__spectral,ok,1.0,[],,,,,8.72517589997733
pb_q4,0,selected,all,pmf__continuous_lsml,ok,1.0,[],,,,,8.72517589997733
pb_q4,0,selected_all,all,hard__ds,ok,1.0,[],True,3,19,1.3677423638114306e-09,11.47601919999579
pb_q4,0,selected_all,all,hard__hem,ok,1.0,[],True,4,107,4.583318613526899e-08,11.47601919999579
pb_q4,0,selected_all,all,hard__equal,ok,1.0,[],,,,,13.023710799985565
pb_q4,0,selected_all,all,hard__spectral,ok,1.0,[],,,,,13.023710799985565
pb_q4,0,selected_all,all,hard__binary_lsml,ok,1.0,[],,,,,13.023710799985565
pb_q4,0,selected_all,all,soft__equal,ok,1.0,[],,,,,13.023710799985565
pb_q4,0,selected_all,all,soft__spectral,ok,1.0,[],,,,,13.023710799985565
pb_q4,0,selected_all,all,soft__continuous_lsml,ok,1.0,[2],,,,,13.023710799985565
pb_q4,0,selected_all,all,hard__continuous_lsml,ok,1.0,[],,,,,13.023710799985565
pb_q4,0,selected_all,all,pmf__equal,ok,1.0,[],,,,,13.023710799985565
pb_q4,0,selected_all,all,pmf__spectral,ok,1.0,[],,,,,13.023710799985565
pb_q4,0,selected_all,all,pmf__continuous_lsml,ok,1.0,"[0, 3]",,,,,13.023710799985565
pb_q4,0,shuffle,all,hard__ds,ok,1.0,[],True,1,26,4.287769250765905e-09,17.57180800003698
pb_q4,0,shuffle,all,hard__hem,ok,1.0,"[1, 2, 3]",True,2,340,2.3261075732250447e-08,17.57180800003698
pb_q4,0,shuffle,all,hard__equal,ok,1.0,[],,,,,12.640343100007158
pb_q4,0,shuffle,all,hard__spectral,ok,1.0,[],,,,,12.640343100007158
pb_q4,0,shuffle,all,hard__binary_lsml,ok,1.0,"[1, 2, 3]",,,,,12.640343100007158
pb_q4,0,shuffle,all,soft__equal,ok,1.0,[],,,,,12.640343100007158
pb_q4,0,shuffle,all,soft__spectral,ok,1.0,[],,,,,12.640343100007158
pb_q4,0,shuffle,all,soft__continuous_lsml,ok,1.0,[],,,,,12.640343100007158
pb_q4,0,shuffle,all,hard__continuous_lsml,ok,1.0,[1],,,,,12.640343100007158
pb_q4,0,shuffle,all,pmf__equal,ok,1.0,[],,,,,12.640343100007158
pb_q4,0,shuffle,all,pmf__spectral,ok,1.0,[],,,,,12.640343100007158
pb_q4,0,shuffle,all,pmf__continuous_lsml,ok,1.0,[],,,,,12.640343100007158
pb_q4,0,shuffle_consensus,all,hard__ds,ok,1.0,[],True,4,17,2.8462263657047515e-09,13.69547259999672
pb_q4,0,shuffle_consensus,all,hard__hem,ok,1.0,[],True,1,39,2.8068019020111024e-08,13.69547259999672
pb_q4,0,shuffle_consensus,all,hard__equal,ok,1.0,[],,,,,15.183673799969256
pb_q4,0,shuffle_consensus,all,hard__spectral,ok,1.0,[],,,,,15.183673799969256
pb_q4,0,shuffle_consensus,all,hard__binary_lsml,ok,1.0,[],,,,,15.183673799969256
pb_q4,0,shuffle_consensus,all,soft__equal,ok,1.0,[],,,,,15.183673799969256
pb_q4,0,shuffle_consensus,all,soft__spectral,ok,1.0,[],,,,,15.183673799969256
pb_q4,0,shuffle_consensus,all,soft__continuous_lsml,ok,1.0,[],,,,,15.183673799969256
pb_q4,0,shuffle_consensus,all,hard__continuous_lsml,ok,1.0,[],,,,,15.183673799969256
pb_q4,0,shuffle_consensus,all,pmf__equal,ok,1.0,[],,,,,15.183673799969256
pb_q4,0,shuffle_consensus,all,pmf__spectral,ok,1.0,[],,,,,15.183673799969256
pb_q4,0,shuffle_consensus,all,pmf__continuous_lsml,ok,1.0,[0],,,,,15.183673799969256
pb_q4,0,top30,all,hard__ds,ok,1.0,[],True,4,18,2.413314881266615e-09,6.473870500049088
pb_q4,0,top30,all,hard__hem,ok,1.0,[1],True,3,84,3.18547401789715e-08,6.473870500049088
pb_q4,0,top30,all,hard__equal,ok,1.0,[],,,,,6.630682600021828
pb_q4,0,top30,all,hard__spectral,ok,1.0,[],,,,,6.630682600021828
pb_q4,0,top30,all,hard__binary_lsml,ok,1.0,[1],,,,,6.630682600021828
pb_q4,0,top30,all,soft__equal,ok,1.0,[],,,,,6.630682600021828
pb_q4,0,top30,all,soft__spectral,ok,1.0,[],,,,,6.630682600021828
pb_q4,0,top30,all,soft__continuous_lsml,ok,1.0,[2],,,,,6.630682600021828
pb_q4,0,top30,all,hard__continuous_lsml,ok,1.0,[2],,,,,6.630682600021828
pb_q4,0,top30,all,pmf__equal,ok,1.0,[],,,,,6.630682600021828
