slice_type,slice_id,status,positive_class,auroc,auprc,mean_risk,risk_q90,coverage,n_examples,n_positive,n_negative
overall,all,OK,annotated_error_step,0.559287140527115,0.18452005160619814,0.5050333088694201,0.8379394597229569,1.0,83280,13144,70136
error_family,circular,OK,annotated_error_step,0.5618712430490995,0.30148166311987334,0.5795616032114511,0.8766051232177021,1.0,7813,2135,5678
error_family,confidence,OK,annotated_error_step,0.5388265436642807,0.1369782617097113,0.49792617502096215,0.8239181203558218,1.0,10711,1303,9408
error_family,counterfactual,OK,annotated_error_step,0.5263760440059578,0.2160316148839949,0.48956997835310134,0.8183366773158506,1.0,10477,2074,8403
error_family,deception,OK,annotated_error_step,0.4903079907435015,0.17250637850170236,0.46367641777671015,0.8164973928387738,1.0,10053,1698,8355
error_family,domain_inconsistency,OK,annotated_error_step,0.582425390117678,0.1605728802291769,0.5548665374271695,0.8597611627341419,1.0,10031,1338,8693
error_family,missing_condition,OK,annotated_error_step,0.5337660403097073,0.2171874378995498,0.5412863879193186,0.8949643797512195,1.0,9613,1869,7744
error_family,multi_solutions,METRIC_UNDEFINED_SINGLE_CLASS,annotated_error_step,,,0.24663616800754992,0.5369996469054964,1.0,2241,0,2241
error_family,redundency,OK,annotated_error_step,0.5672980985370004,0.1542687322737465,0.4950940345184152,0.7998022797912409,1.0,11613,1537,10076
error_family,step_contradiction,OK,annotated_error_step,0.5724102264097084,0.13100568818215183,0.49736365078508454,0.8202870027190249,1.0,10728,1190,9538
source_stratum,prm_train,BLOCKED_METADATA_NOT_IN_SEALED_EVALUATOR,annotated_error_step,,,,,,0,0,0
source_stratum,prm_test,BLOCKED_METADATA_NOT_IN_SEALED_EVALUATOR,annotated_error_step,,,,,,0,0,0
