method,contract,contract_id,pe_mean,stft_spectral_entropy,cusum_shift_idx,rpdi,macro_auroc,qa_auroc,math_auroc,delta_vs_stable_pp,ci95_low_pp,ci95_high_pp,wins,losses,ties,p_wilcoxon
iu_pcr,stable_drop_all,c000,drop,drop,drop,drop,0.7740628976408787,0.7591557199354133,0.7830072042641577,0.0,0.0,0.0,0,0,24,1.0
iu_pcr,raw_all,c085,raw,raw,raw,raw,0.7754027713054216,0.7598201890086485,0.7847523206834854,0.1339873664542926,-0.0713105721184881,0.3974525836078642,13,11,0,0.2522493600845337
iu_pcr,squared_all,c170,squared,squared,squared,squared,0.7750322010125777,0.75938431850903,0.7844209305147065,0.09693033716991392,-0.08614088939724945,0.38189851516518336,11,13,0,0.7898378372192383
iu_pcr,mode_all,c255,mode,mode,mode,mode,0.7755589011293069,0.759726906657623,0.7850580978123173,0.14960034884282286,-0.05768552554557342,0.47176322839400886,13,11,0,0.6431422233581543
iu_pcr,retrospective_best,c057,drop,mode,squared,raw,0.7762607653863264,0.7595283929019475,0.7863001888769537,0.21978677454477466,0.011838417346696196,0.529317717011684,17,7,0,0.09509599208831787
dufs_liu,stable_drop_all,c000,drop,drop,drop,drop,0.774138765228166,0.7592296613863918,0.7830842275332307,0.0,0.0,0.0,0,0,24,1.0
dufs_liu,raw_all,c085,raw,raw,raw,raw,0.7756325744237671,0.76047537346879,0.7847268949967533,0.14938091956010385,-0.027409413362052108,0.3871817753383246,13,11,0,0.15150094032287598
dufs_liu,squared_all,c170,squared,squared,squared,squared,0.7754513422475137,0.7601161189493199,0.7846524762264298,0.13125770193475006,-0.03081319049094206,0.3846898317780165,13,11,0,0.4389305114746094
dufs_liu,mode_all,c255,mode,mode,mode,mode,0.7757378631094554,0.7598644875046363,0.7852618884723468,0.15990978812892298,-0.024868797037138762,0.45644914489400046,14,10,0,0.35962629318237305
dufs_liu,retrospective_best,c181,squared,mode,raw,raw,0.7765619978566128,0.7604267926942951,0.7862431209540034,0.24232326284467226,0.0427272338564089,0.5449691727100422,17,7,0,0.033985137939453125
