method,heldout_family,chosen_contract_id,pe_mean,stft_spectral_entropy,cusum_shift_idx,rpdi,training_macro_auroc,cell,domain,auroc,stable_auroc,delta_vs_stable
iu_pcr,gsm8k,c177,squared,mode,drop,raw,0.7798964306551035,ars_gsm8k_r1distill8b,math,0.7586457659987071,0.7575953458306399,0.0010504201680672232
iu_pcr,gsm8k,c177,squared,mode,drop,raw,0.7798964306551035,internalstates_gsm8k_qwen25_7b,math,0.7144976970958354,0.711510666589582,0.002987030506253485
iu_pcr,gsm8k,c177,squared,mode,drop,raw,0.7798964306551035,lapeigvals_gsm8k_llama3b,math,0.6942520549985571,0.6964885823069977,-0.0022365273084405946
iu_pcr,gsm8k,c177,squared,mode,drop,raw,0.7798964306551035,lapeigvals_gsm8k_llama8b,math,0.81878052686364,0.8141764752982624,0.004604051565377576
iu_pcr,gsm8k,c177,squared,mode,drop,raw,0.7798964306551035,lapeigvals_gsm8k_mistral24b,math,0.8474713776632041,0.8470316172568049,0.00043976040639925884
iu_pcr,gsm8k,c177,squared,mode,drop,raw,0.7798964306551035,lapeigvals_gsm8k_nemo,math,0.7964371318301849,0.7965021328458257,-6.500101564077543e-05
iu_pcr,gsm8k,c177,squared,mode,drop,raw,0.7798964306551035,lapeigvals_gsm8k_phi35,math,0.810001869009158,0.8121067293229737,-0.0021048603138156263
iu_pcr,gsm8k,c177,squared,mode,drop,raw,0.7798964306551035,noise_gsm8k_mistral7b,math,0.7853004336250224,0.783711701437906,0.001588732187116415
iu_pcr,gsm8k,c177,squared,mode,drop,raw,0.7798964306551035,noise_gsm8k_phi3mini,math,0.6706416951195019,0.6754479926803686,-0.004806297560866701
iu_pcr,gsm8k,c177,squared,mode,drop,raw,0.7798964306551035,trace_gsm8k_llama8b_k10,math,0.8152070981554678,0.8135828392621871,0.0016242588932806612
iu_pcr,hotpotqa,c053,drop,mode,raw,raw,0.785168840918221,losnet_hotpotqa_mistral7b,QA,0.5709612256207655,0.5711578683923559,-0.00019664277159048282
iu_pcr,math500,c209,mode,raw,drop,raw,0.7662057312026208,math500_dsmath7b,math,0.787524366471735,0.787307775611869,0.0002165908598659172
iu_pcr,math500,c209,mode,raw,drop,raw,0.7662057312026208,math500_qwenmath7b,math,0.9248225152129816,0.8994675456389453,0.02535496957403638
iu_pcr,math500,c209,mode,raw,drop,raw,0.7662057312026208,math500_r1distill8b,math,0.8368289502282112,0.8320473810041294,0.004781569224081794
iu_pcr,math500,c209,mode,raw,drop,raw,0.7662057312026208,math500_r1distill8b_mn4096,math,0.821727149596002,0.8317687170146186,-0.010041567418616615
iu_pcr,math500,c209,mode,raw,drop,raw,0.7662057312026208,trace_math500_qwenmath15b_k10,math,0.6867672563169438,0.6863625618612579,0.00040469445568591667
iu_pcr,nq_open,c057,drop,mode,squared,raw,0.7778165714476696,se_nq_open_llama8b,QA,0.7404772259754353,0.7434733201788304,-0.0029960942033950833
iu_pcr,sciq,c053,drop,mode,raw,raw,0.7778737201592881,sciq_llama8b,QA,0.7387490030762219,0.7415973567278114,-0.0028483536515894192
iu_pcr,squad_v2,c177,squared,mode,drop,raw,0.7747193296533683,se_squad_v2_llama8b,QA,0.8112410975032609,0.81073840222548,0.0005026952777809068
iu_pcr,triviaqa,c057,drop,mode,squared,raw,0.7661220715139714,epr_triviaqa_mistral24b,QA,0.7432948041746156,0.7444310402872854,-0.001136236112669775
iu_pcr,triviaqa,c057,drop,mode,squared,raw,0.7661220715139714,seiclr_triviaqa_opt30b,QA,0.8266982889919704,0.8217253221727396,0.004972966819230762
iu_pcr,triviaqa,c057,drop,mode,squared,raw,0.7661220715139714,semenergy_triviaqa_qwen3_8b,QA,0.8044905124924876,0.805718481167545,-0.001227968675057367
iu_pcr,triviaqa,c057,drop,mode,squared,raw,0.7661220715139714,spilled_triviaqa_llama8b,QA,0.9333333333333333,0.932,0.0013333333333332975
iu_pcr,truthfulqa,c177,squared,mode,drop,raw,0.781172725612884,truthfulqa_llama8b,QA,0.6628129904344009,0.6615596882666718,0.00125330216772912
