method,feature,choice,mean_over_other_contracts
iu_pcr,pe_mean,drop,0.7753377064233309
iu_pcr,pe_mean,raw,0.7751289159462204
iu_pcr,pe_mean,squared,0.7753916061213882
iu_pcr,pe_mean,mode,0.7754281218008892
iu_pcr,stft_spectral_entropy,drop,0.7753096406356121
iu_pcr,stft_spectral_entropy,raw,0.7750854376623463
iu_pcr,stft_spectral_entropy,squared,0.7753571128855278
iu_pcr,stft_spectral_entropy,mode,0.7755341591083423
iu_pcr,cusum_shift_idx,drop,0.7752974231071176
iu_pcr,cusum_shift_idx,raw,0.7753603676045294
iu_pcr,cusum_shift_idx,squared,0.7753969533628489
iu_pcr,cusum_shift_idx,mode,0.7752316062173331
iu_pcr,rpdi,drop,0.7748813246920978
iu_pcr,rpdi,raw,0.7758248947794386
iu_pcr,rpdi,squared,0.7750276249442716
iu_pcr,rpdi,mode,0.775552505876021
dufs_liu,pe_mean,drop,0.7754302918610178
dufs_liu,pe_mean,raw,0.7752828276076587
dufs_liu,pe_mean,squared,0.7756332075705202
dufs_liu,pe_mean,mode,0.7756467746928278
dufs_liu,stft_spectral_entropy,drop,0.7753454345455811
dufs_liu,stft_spectral_entropy,raw,0.7752608341122419
dufs_liu,stft_spectral_entropy,squared,0.7755883884310751
dufs_liu,stft_spectral_entropy,mode,0.7757984446431263
dufs_liu,cusum_shift_idx,drop,0.7754189247596953
dufs_liu,cusum_shift_idx,raw,0.7755803240610818
dufs_liu,cusum_shift_idx,squared,0.7756034894774624
dufs_liu,cusum_shift_idx,mode,0.7753903634337851
dufs_liu,rpdi,drop,0.7750194904803642
dufs_liu,rpdi,raw,0.776030977922451
dufs_liu,rpdi,squared,0.7752550125209664
dufs_liu,rpdi,mode,0.7756876208082429
