cell,domain,family,method,contract_id,pe_mean,stft_spectral_entropy,cusum_shift_idx,rpdi,auroc,auprc
epr_triviaqa_mistral24b,QA,triviaqa,iu_pcr,c000,drop,drop,drop,drop,0.7444310402872854,0.8943604354531876
epr_triviaqa_mistral24b,QA,triviaqa,dufs_liu,c000,drop,drop,drop,drop,0.7447957580518461,0.8935545176212141
epr_triviaqa_mistral24b,QA,triviaqa,iu_pcr,c001,drop,drop,drop,raw,0.7434070250252498,0.8946255307909474
epr_triviaqa_mistral24b,QA,triviaqa,dufs_liu,c001,drop,drop,drop,raw,0.7442907642239928,0.8934201375401605
epr_triviaqa_mistral24b,QA,triviaqa,iu_pcr,c002,drop,drop,drop,squared,0.7437296599708225,0.894905574276357
epr_triviaqa_mistral24b,QA,triviaqa,dufs_liu,c002,drop,drop,drop,squared,0.7446414543822243,0.8940350368104312
epr_triviaqa_mistral24b,QA,triviaqa,iu_pcr,c003,drop,drop,drop,mode,0.7431264728986646,0.8943756422739514
epr_triviaqa_mistral24b,QA,triviaqa,dufs_liu,c003,drop,drop,drop,mode,0.7440522949163955,0.8930607456549086
epr_triviaqa_mistral24b,QA,triviaqa,iu_pcr,c004,drop,drop,raw,drop,0.7441925709796879,0.8945554596596991
epr_triviaqa_mistral24b,QA,triviaqa,dufs_liu,c004,drop,drop,raw,drop,0.7454129727303331,0.893338265374839
epr_triviaqa_mistral24b,QA,triviaqa,iu_pcr,c005,drop,drop,raw,raw,0.7434631354505667,0.8946001044685438
epr_triviaqa_mistral24b,QA,triviaqa,dufs_liu,c005,drop,drop,raw,raw,0.7444590954999438,0.8937931857884998
epr_triviaqa_mistral24b,QA,triviaqa,iu_pcr,c006,drop,drop,raw,squared,0.7437857703961397,0.8953869452207405
epr_triviaqa_mistral24b,QA,triviaqa,dufs_liu,c006,drop,drop,raw,squared,0.7449220065088092,0.8945584654155058
epr_triviaqa_mistral24b,QA,triviaqa,iu_pcr,c007,drop,drop,raw,mode,0.7430703624733476,0.8945298688388894
epr_triviaqa_mistral24b,QA,triviaqa,dufs_liu,c007,drop,drop,raw,mode,0.744683537201212,0.8935335191564385
epr_triviaqa_mistral24b,QA,triviaqa,iu_pcr,c008,drop,drop,squared,drop,0.7437296599708225,0.8951605910048828
epr_triviaqa_mistral24b,QA,triviaqa,dufs_liu,c008,drop,drop,squared,drop,0.7449220065088094,0.8943537528571177
epr_triviaqa_mistral24b,QA,triviaqa,iu_pcr,c009,drop,drop,squared,raw,0.7432948041746156,0.8952893730081946
epr_triviaqa_mistral24b,QA,triviaqa,dufs_liu,c009,drop,drop,squared,raw,0.744192570979688,0.8945296966801985
epr_triviaqa_mistral24b,QA,triviaqa,iu_pcr,c010,drop,drop,squared,squared,0.7434911906632252,0.8957685561163993
