method,sla_macro8,f1_common_gate,within_auc,early,late,mae,tolerance_one,sla_long_cells,late_long_cells,sla_all,sla_steps_2_to_5,sla_steps_6_to_10,sla_steps_11_plus,prmscore_q80,prmscore_inner
ct7,0.3988620140983161,0.41188745848863717,0.7723966352864217,0.26938924036125245,0.3317487455404314,1.6243383039985684,0.6263471307829329,0.3771962870167172,0.34242444174694386,0.3824853669518235,0.4763719512195122,0.3587521663778163,0.29927007299270075,0.6425309772481037,0.647104057213021
ct7_top10_equal7,0.4103661452827736,0.41448244306196,0.7750138956202491,0.22596757883378943,0.3636662758834369,1.5909025160283137,0.6362044688814077,0.3869561230937275,0.3846484645175693,0.3941918054930212,0.4817073170731707,0.378682842287695,0.2980535279805353,0.6458603740126663,0.6482659959104813
ct7_top10_equal7_nodespike,0.3614387062760739,0.3896311479723693,0.7523374555789109,0.3817755599805195,0.2567857337434065,1.8386317875193425,0.5821322202710745,0.3152687168999739,0.2674691398627464,0.3410625844214318,0.4557926829268293,0.31845753899480067,0.22141119221411193,0.6276001943145048,0.6283866996652857
T_E1,0.38290159482522834,0.3936338559069736,0.773076943274648,0.2652233128496037,0.351875092325168,1.6815125536759425,0.6184783134686114,0.348331370004724,0.3732531856750761,0.3615488518685277,0.4717987804878049,0.341421143847487,0.24209245742092458,0.6414036133127546,0.644207025562455
T_C1,0.3761672005193021,0.39182140668746923,0.7554961340408591,0.2754403453730889,0.348392454107609,1.7180441692462347,0.6084746392868146,0.33775381254497217,0.3795363355318627,0.3538946420531292,0.46875,0.3327556325823224,0.22992700729927007,0.6289160624088944,0.6293366355411356
T_E2,0.3802209674858165,0.3955102266053131,0.7678584574624686,0.26219131003959656,0.3575877224745869,1.6659061536676152,0.6196312015106004,0.3570053956655285,0.3747421262549856,0.36177397568662767,0.4527439024390244,0.3492201039861352,0.2518248175182482,0.6384293125302573,0.6396672150824333
T_C2,0.3719615884114667,0.3903219609452321,0.7554073908409208,0.26577503531887536,0.36226337626965793,1.7326160705921279,0.6034975514313474,0.336021698269281,0.39886067143845216,0.34939216569113013,0.46722560975609756,0.3262564991334489,0.22627737226277372,0.62854526559212,0.6290488489482873
T_E1_six,0.37595373144277966,0.3916299301461358,0.7544666507549008,0.27468700245454836,0.349359266102672,1.7207401195183212,0.6079317894461287,0.33780264660682996,0.3805733118862107,0.35321927059882935,0.4679878048780488,0.33188908145580587,0.22992700729927007,0.6280300716941727,0.6281748872614317
T_C1_six,0.3759079841144236,0.3916475904433758,0.7547196580297958,0.2754372586395871,0.34865475724598927,1.7207614498157482,0.6078128463924031,0.33813202737099335,0.3795851695937206,0.35321927059882935,0.46646341463414637,0.3327556325823224,0.22992700729927007,0.6279572450557125,0.6282496272197866
T_E2_six,0.3740413823826637,0.3901497535544787,0.7554074976716362,0.2765230690557928,0.34943554856154346,1.717333874494468,0.6085295360808418,0.33487459612237613,0.3806709800099263,0.35051778478162987,0.4634146341463415,0.3292894280762565,0.22992700729927007,0.6286427376571231,0.6277803852828927
T_C2_six,0.3719706271423038,0.3899734813689529,0.7529727047451642,0.2657292879905193,0.36230008486717685,1.7406436816586128,0.6024055675481381,0.33441117084148064,0.4001418181020891,0.3489419180549302,0.46265243902439024,0.3279896013864818,0.22627737226277372,0.6274013222833408,0.6269461130859167
T_C2_nostep0fit,0.37214749835614136,0.3888715306028623,0.7584535375579948,0.2791153992068285,0.34873710243703004,1.7055945563641415,0.6099996240552381,0.336338621364603,0.3772795042445769,0.35029266096352996,0.4603658536585366,0.3279896013864818,0.23722627737226276,0.6298466491241368,0.6310929526190105
