method,name,cell,benchmark,pb_f1,answers,valid_answers,clean_accuracy,error_exact_accuracy,within_auc,pooled_auc,fold_mean_auc,prmscore
all_mean,Frozen RBM12: all-token mean,pb_gsm8k_q4,ProcessBench,0.39320347177065956,400.0,400.0,0.5906735751295337,0.2946859903381642,,,,
all_mean,Frozen RBM12: all-token mean,pb_gsm8k_q8,ProcessBench,0.3217477656405164,400.0,400.0,0.41968911917098445,0.2608695652173913,,,,
all_mean,Frozen RBM12: all-token mean,pb_math_q4,ProcessBench,0.2714075789286191,1000.0,1000.0,0.5665024630541872,0.17845117845117844,,,,
all_mean,Frozen RBM12: all-token mean,pb_math_q8,ProcessBench,0.27304530127176974,1000.0,1000.0,0.4630541871921182,0.1936026936026936,,,,
all_mean,Frozen RBM12: all-token mean,pb_olympiadbench_q4,ProcessBench,0.2854140162619614,1000.0,1000.0,0.5309734513274337,0.1951588502269289,,,,
all_mean,Frozen RBM12: all-token mean,pb_olympiadbench_q8,ProcessBench,0.2801257282428077,1000.0,1000.0,0.4690265486725664,0.19969742813918306,,,,
all_mean,Frozen RBM12: all-token mean,pb_omnimath_q4,ProcessBench,0.2661147155992517,1000.0,1000.0,0.5062240663900415,0.18050065876152832,,,,
all_mean,Frozen RBM12: all-token mean,pb_omnimath_q8,ProcessBench,0.2632477151643782,1000.0,1000.0,0.44398340248962653,0.18708827404479578,,,,
all_mean,Frozen RBM12: all-token mean,prmbench_qwen3_8b,PRMBench,,6969,6969,,,0.6604987559801769,0.6396213962532719,0.6399660409882362,0.5634777506508308
contiguous10,Frozen RBM12: best consecutive 10,pb_gsm8k_q4,ProcessBench,0.4221992266216437,400.0,400.0,0.5906735751295337,0.3285024154589372,,,,
contiguous10,Frozen RBM12: best consecutive 10,pb_gsm8k_q8,ProcessBench,0.39709625718864894,400.0,400.0,0.41968911917098445,0.37681159420289856,,,,
contiguous10,Frozen RBM12: best consecutive 10,pb_math_q4,ProcessBench,0.30147406420559547,1000.0,1000.0,0.5665024630541872,0.2053872053872054,,,,
contiguous10,Frozen RBM12: best consecutive 10,pb_math_q8,ProcessBench,0.2893696666707712,1000.0,1000.0,0.4630541871921182,0.21043771043771045,,,,
contiguous10,Frozen RBM12: best consecutive 10,pb_olympiadbench_q4,ProcessBench,0.27723952899090776,1000.0,1000.0,0.5309734513274337,0.1875945537065053,,,,
contiguous10,Frozen RBM12: best consecutive 10,pb_olympiadbench_q8,ProcessBench,0.2756299133239266,1000.0,1000.0,0.4690265486725664,0.1951588502269289,,,,
contiguous10,Frozen RBM12: best consecutive 10,pb_omnimath_q4,ProcessBench,0.2869921844772885,1000.0,1000.0,0.5062240663900415,0.2002635046113307,,,,
contiguous10,Frozen RBM12: best consecutive 10,pb_omnimath_q8,ProcessBench,0.282217555648887,1000.0,1000.0,0.44398340248962653,0.20685111989459815,,,,
contiguous10,Frozen RBM12: best consecutive 10,prmbench_qwen3_8b,PRMBench,,6969,6969,,,0.7047574160973094,0.6796033879802887,0.6799449916616674,0.6042454845249188
drop_first_hierarchical,Hierarchy: remove first token,pb_gsm8k_q4,ProcessBench,0.3756177924217463,400.0,400.0,0.5906735751295337,0.2753623188405797,,,,
drop_first_hierarchical,Hierarchy: remove first token,pb_gsm8k_q8,ProcessBench,0.3142931761369996,400.0,400.0,0.41968911917098445,0.25120772946859904,,,,
drop_first_hierarchical,Hierarchy: remove first token,pb_math_q4,ProcessBench,0.2694560669456067,1000.0,1000.0,0.5665024630541872,0.17676767676767677,,,,
drop_first_hierarchical,Hierarchy: remove first token,pb_math_q8,ProcessBench,0.28293884252291696,1000.0,1000.0,0.4630541871921182,0.2037037037037037,,,,
drop_first_hierarchical,Hierarchy: remove first token,pb_olympiadbench_q4,ProcessBench,0.29341994817707384,1000.0,1000.0,0.5309734513274337,0.2027231467473525,,,,
drop_first_hierarchical,Hierarchy: remove first token,pb_olympiadbench_q8,ProcessBench,0.294680788582392,1000.0,1000.0,0.4690265486725664,0.21482602118003025,,,,
drop_first_hierarchical,Hierarchy: remove first token,pb_omnimath_q4,ProcessBench,0.2661147155992517,1000.0,1000.0,0.5062240663900415,0.18050065876152832,,,,
drop_first_hierarchical,Hierarchy: remove first token,pb_omnimath_q8,ProcessBench,0.26713614215120784,1000.0,1000.0,0.44398340248962653,0.19104084321475626,,,,
drop_first_hierarchical,Hierarchy: remove first token,prmbench_qwen3_8b,PRMBench,,6969,6969,,,0.6668749172109633,0.6470910111137613,0.6474350747530944,0.575071439382358
drop_first_top10,Top10: remove first token,pb_gsm8k_q4,ProcessBench,0.4636890204659544,400.0,400.0,0.5906735751295337,0.38164251207729466,,,,
drop_first_top10,Top10: remove first token,pb_gsm8k_q8,ProcessBench,0.4223874848152647,400.0,400.0,0.41968911917098445,0.4251207729468599,,,,
drop_first_top10,Top10: remove first token,pb_math_q4,ProcessBench,0.3328853509769461,1000.0,1000.0,0.5665024630541872,0.2356902356902357,,,,
