bank,diagnostic,stratum,feature,n,mean,median,p10,p90,zero_correct,zero_error,lag,subset
6,feature_auc,all,entropy15,6030,0.6481050310025686,0.6666666666666666,0.2857142857142857,1.0,,,,
6,mean,all,entropy15,4030,0.19602687692551296,0.17894124972112418,-0.30680133970475915,0.7234581889110334,,,,
6,logvar,all,entropy15,4030,-0.8045958092433455,-0.5070440906431569,-3.4140865330146677,1.544358006621812,,,,
6,zero_variance,all,entropy15,4030,,,,,0,0,,
6,feature_auc,all,varentropy15,6030,0.6543709007452201,0.6666666666666666,0.2916666666666667,1.0,,,,
6,mean,all,varentropy15,4030,0.21305440259313924,0.199358875815416,-0.30087321710877407,0.7422241457487678,,,,
6,logvar,all,varentropy15,4030,-0.9179622604178552,-0.6098616410865147,-3.574731705936872,1.3856090749038672,,,,
6,zero_variance,all,varentropy15,4030,,,,,0,0,,
6,feature_auc,all,moment3_15,6030,0.6669021056930109,0.7,0.3,1.0,,,,
6,mean,all,moment3_15,4030,0.24572244641734797,0.22378454919045349,-0.32401754749220735,0.8457235491952309,,,,
6,logvar,all,moment3_15,4030,-0.7928744050722883,-0.5127618342070657,-3.5486892877466003,1.6785517701077508,,,,
6,zero_variance,all,moment3_15,4030,,,,,0,0,,
6,feature_auc,all,selected_surprisal,6030,0.6422587879970818,0.6666666666666666,0.3125,0.9412895927601814,,,,
6,mean,all,selected_surprisal,4030,0.08523931985865484,0.06561610253868086,-0.2926523685772509,0.48780221165458165,,,,
6,logvar,all,selected_surprisal,4030,-1.2126650467817972,-0.8796473581508877,-3.9751408816667055,1.1811905409452543,,,,
6,zero_variance,all,selected_surprisal,4030,,,,,0,0,,
6,feature_auc,all,selected_squared,6030,0.6355903883977712,0.6666666666666666,0.3333333333333333,0.9,,,,
6,mean,all,selected_squared,4030,-0.024640845071649993,-0.03880872113763166,-0.21770865420144378,0.18803606782857313,,,,
6,logvar,all,selected_squared,4029,-2.440528143075206,-2.216300018020317,-5.337952547621748,0.11207881396523231,,,,
6,zero_variance,all,selected_squared,4030,,,,,0,1,,
6,feature_auc,all,selected_cubed,6030,0.6386498419262742,0.6666666666666666,0.3333333333333333,0.9,,,,
6,mean,all,selected_cubed,4030,-0.0727649464557902,-0.07457154438369577,-0.19554266499044506,0.04270988724097274,,,,
6,logvar,all,selected_cubed,4029,-4.0434292748730725,-3.9398080386766026,-7.283935964776234,-1.2740478016139525,,,,
6,zero_variance,all,selected_cubed,4030,,,,,0,1,,
6,feature_auc,all,fusion_top10,6030,0.735981942763167,0.8,0.36666666666666664,1.0,,,,
6,lag_excess,all,mean_signed_feature_correlation,13364,0.15710102787529093,0.15014654265471616,-0.17853015574756476,0.5021323304816209,,,1,all
6,lag_excess,all,mean_signed_feature_correlation,852,0.2030862018441374,0.20943393390092224,-0.22265486472247387,0.6128763554184411,,,1,pb_hit
6,lag_excess,all,mean_signed_feature_correlation,3390,0.19418115875172187,0.19122046678673238,-0.1779757024885386,0.5660036521247802,,,1,pb_miss
6,lag_excess,all,mean_signed_feature_correlation,12388,0.06655775724412404,0.07257132204272049,-0.3002102759196528,0.4208097035288532,,,2,all
6,lag_excess,all,mean_signed_feature_correlation,689,0.04484436962064247,0.04480088602596318,-0.42171277232969245,0.520824329318494,,,2,pb_hit
6,lag_excess,all,mean_signed_feature_correlation,3069,0.053976746740479635,0.06554784834366867,-0.36634650507042016,0.460744490071868,,,2,pb_miss
6,lag_excess,all,mean_signed_feature_correlation,11032,0.02507611957196475,0.030024959606746247,-0.3666922118137789,0.3996140080262429,,,3,all
6,lag_excess,all,mean_signed_feature_correlation,519,-0.029334155183571204,-0.006428476947381819,-0.565029112886522,0.44932628271480635,,,3,pb_hit
6,lag_excess,all,mean_signed_feature_correlation,2611,-0.008489234684134575,-0.004172607613906311,-0.46362939604688397,0.4301867955170023,,,3,pb_miss
6,feature_auc,entropy_low,entropy15,3365,0.5956311905076782,0.625,0.0,1.0,,,,
6,mean,entropy_low,entropy15,972,0.04745095352702968,0.03186320612524221,-0.16183790522410105,0.27742252744457674,,,,
6,logvar,entropy_low,entropy15,972,-0.8551119191927875,-0.5369746704980596,-3.8854486121777088,1.6740655292421303,,,,
6,zero_variance,entropy_low,entropy15,972,,,,,0,0,,
6,feature_auc,entropy_low,varentropy15,3365,0.6097939107705155,0.6666666666666666,0.07815384615384627,1.0,,,,
6,mean,entropy_low,varentropy15,972,0.06384021053338934,0.04175488701872733,-0.22384395083673675,0.37489936022047,,,,
6,logvar,entropy_low,varentropy15,972,-0.8345061293367889,-0.5999101745031464,-3.7314519484451,1.6339728922555485,,,,
6,zero_variance,entropy_low,varentropy15,972,,,,,0,0,,
