bank,question,cell,category,feature,n,mean,median,p10,p90,total,stratum,exact,early,late,gate_miss,ci_low,ci_high,ci_level,draws
6,residual_by_error_type,pb_gsm8k_q4,exact,mean_abs_correlation_excess,72,0.39161767320912005,0.39133937204098757,0.3484785578109909,0.43676529189887847,,,,,,,,,,
6,residual_by_error_type,pb_gsm8k_q4,early,mean_abs_correlation_excess,64,0.38519540101019956,0.3865499919945131,0.34653782103163333,0.42359464679440517,,,,,,,,,,
6,residual_by_error_type,pb_gsm8k_q4,late,mean_abs_correlation_excess,18,0.37835573238986236,0.3881555830539689,0.34347224382472297,0.4035517818032717,,,,,,,,,,
6,residual_by_error_type,pb_gsm8k_q4,gate_miss,mean_abs_correlation_excess,53,0.40701711574948046,0.41003414923589215,0.3692053162358612,0.4532513375372435,,,,,,,,,,
6,residual_by_error_type,pb_gsm8k_q8,exact,mean_abs_correlation_excess,62,0.39124176428470936,0.39195171772230963,0.33667784436266546,0.4316568615274657,,,,,,,,,,
6,residual_by_error_type,pb_gsm8k_q8,early,mean_abs_correlation_excess,88,0.3909109059881759,0.3935856092880431,0.34445516629783723,0.427241859251271,,,,,,,,,,
6,residual_by_error_type,pb_gsm8k_q8,late,mean_abs_correlation_excess,25,0.3803108323731066,0.38517629887916294,0.34926984777196984,0.42122055191752394,,,,,,,,,,
6,residual_by_error_type,pb_gsm8k_q8,gate_miss,mean_abs_correlation_excess,32,0.42669916805421904,0.42155523432744246,0.3788931463763708,0.46003141052034785,,,,,,,,,,
6,residual_by_error_type,pb_math_q4,exact,mean_abs_correlation_excess,140,0.36640710745800587,0.3663000794825795,0.3154885305735415,0.42990297769969565,,,,,,,,,,
6,residual_by_error_type,pb_math_q4,early,mean_abs_correlation_excess,246,0.3519588763992748,0.35492638039041524,0.29794798282278356,0.40071768735761054,,,,,,,,,,
6,residual_by_error_type,pb_math_q4,late,mean_abs_correlation_excess,50,0.38287166826720537,0.39151578905989826,0.3126743335911977,0.43507343414515565,,,,,,,,,,
6,residual_by_error_type,pb_math_q4,gate_miss,mean_abs_correlation_excess,158,0.38278381388057164,0.37616394408973125,0.3414985157378158,0.42957836837784547,,,,,,,,,,
6,residual_by_error_type,pb_math_q8,exact,mean_abs_correlation_excess,145,0.3573531593200877,0.35659081176392116,0.30595391961882373,0.4072692369273329,,,,,,,,,,
6,residual_by_error_type,pb_math_q8,early,mean_abs_correlation_excess,269,0.3501741551432442,0.34945238097959597,0.2949446036712909,0.4026221242837615,,,,,,,,,,
6,residual_by_error_type,pb_math_q8,late,mean_abs_correlation_excess,58,0.3884986423621868,0.39393338183149246,0.32173398969207206,0.44416074698597147,,,,,,,,,,
6,residual_by_error_type,pb_math_q8,gate_miss,mean_abs_correlation_excess,122,0.3799634324475617,0.3724988107472279,0.3419511163517509,0.43416798557021513,,,,,,,,,,
