acc,cell,cont_16,cont_30,cont_5,cont_9,dataset,delta_16,delta_30,delta_5,delta_9,k,lr_16,lr_30,lr_5,lr_9,lr_ci_16,lr_ci_30,lr_ci_5,lr_ci_9,lr_in_16,lr_in_30,lr_in_5,lr_in_9,model,n,n_avail_16,n_avail_30,n_avail_5,n_avail_9,used_16,used_30,used_5,used_9
0.728,ars_gsm8k_r1distill8b,0.3643,,0.75,0.644,gsm8k,0.36524356019424503,,0.013659672392549171,0.09990718996883385,1,0.729543560194245,0.7418809342610713,0.7636596723925492,0.7439071899688339,"[np.float64(0.6740915643707353), np.float64(0.7892597278259711)]","[np.float64(0.6881764781512374), np.float64(0.7955612260419683)]","[np.float64(0.7071700024185509), np.float64(0.8158755238256088)]","[np.float64(0.6890370364201222), np.float64(0.798161213486325)]",0.7858152876535229,0.817024886877828,0.7705235940530059,0.7760787007110537,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,500,16,30,5,9,epr|trace_length|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_max_high_power|stft_spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_max|cusum_shift_idx,epr|trace_length|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_max_high_power|stft_spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_max|cusum_shift_idx|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|min_spilled|epr_energy|min_energy|sw_var_peak_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,epr|low_band_power|sw_var_peak|cusum_max|spectral_entropy,epr|low_band_power|high_band_power|hl_ratio|spectral_centroid|sw_var_peak|rpdi|pe_mean|cusum_max
0.7552334943639292,epr_triviaqa_mistral24b,0.6678,,0.7073,0.6789,trivia_qa_wiki,0.04350921543014452,,0.02096628585766902,0.04461392240647677,1,0.7113092154301445,0.702415996929912,0.7282662858576691,0.7235139224064767,"[np.float64(0.6654457585864253), np.float64(0.7558674983046744)]","[np.float64(0.6541035720713124), np.float64(0.7514733953930932)]","[np.float64(0.6826859728891153), np.float64(0.7745557118699445)]","[np.float64(0.6779747953521505), np.float64(0.7690672585206402)]",0.7535770396139603,0.777564246436988,0.742439120188531,0.7521181685557177,mistralai/Mistral-Small-3.1-24B-Instruct-2503,621,14,28,5,9,epr|trace_length|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_max|cusum_shift_idx,epr|trace_length|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_max|cusum_shift_idx|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|min_spilled|epr_energy|min_energy|sw_var_peak_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,epr|low_band_power|sw_var_peak|cusum_max|spectral_entropy,epr|low_band_power|high_band_power|hl_ratio|spectral_centroid|sw_var_peak|rpdi|pe_mean|cusum_max
0.45707070707070707,gpqa_llama70b,0.6058,,0.6262,0.6026,gpqa,0.006366127978740366,,-0.00729123211925875,0.015820850025996425,10,0.6121661279787404,0.6044694687103114,0.6189087678807412,0.6184208500259964,"[np.float64(0.5869264605257417), np.float64(0.638822902803051)]","[np.float64(0.579080417935515), np.float64(0.6304314925880846)]","[np.float64(0.5938569543649134), np.float64(0.6439472527441737)]","[np.float64(0.5939694238350278), np.float64(0.6445384851627696)]",0.6472003083643839,0.6569014518823076,0.6296482076320185,0.6328932288320699,meta-llama/Llama-3.3-70B-Instruct,1980,16,29,5,9,epr|trace_length|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_max_high_power|stft_spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_max|cusum_shift_idx,epr|trace_length|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_max_high_power|stft_spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_max|cusum_shift_idx|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|sw_var_peak_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,epr|low_band_power|sw_var_peak|cusum_max|spectral_entropy,epr|low_band_power|high_band_power|hl_ratio|spectral_centroid|sw_var_peak|rpdi|pe_mean|cusum_max
0.295959595959596,gpqa_llama8b,0.525,,0.5163,0.5357,gpqa,0.012973892684185362,,0.041946484104068205,2.109136363370734e-05,10,0.5379738926841854,0.5380212084246256,0.5582464841040682,0.5357210913636337,"[np.float64(0.5232012215072358), np.float64(0.5699733486284381)]","[np.float64(0.5233246525075961), np.float64(0.5699094257312471)]","[np.float64(0.533687873779153), np.float64(0.5867582312589454)]","[np.float64(0.5229715988008257), np.float64(0.5710615378825974)]",0.5664206913099045,0.5852165056482928,0.5543896073371495,0.5636908055488907,meta-llama/Llama-3.1-8B-Instruct,1980,16,30,5,9,epr|trace_length|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_max_high_power|stft_spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_max|cusum_shift_idx,epr|trace_length|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_max_high_power|stft_spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_max|cusum_shift_idx|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|min_spilled|epr_energy|min_energy|sw_var_peak_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,epr|low_band_power|sw_var_peak|cusum_max|spectral_entropy,epr|low_band_power|high_band_power|hl_ratio|spectral_centroid|sw_var_peak|rpdi|pe_mean|cusum_max
0.27121212121212124,gpqa_mistral7b,0.5088,,0.4956,0.5096,gpqa,0.01050513153906052,,0.032624706025689953,0.013786189017436112,10,0.5193051315390605,0.5134082936387384,0.5282247060256899,0.5233861890174362,"[np.float64(0.5144853353650776), np.float64(0.5546806877508617)]","[np.float64(0.5122104532455212), np.float64(0.5499178295549302)]","[np.float64(0.5182703566191414), np.float64(0.5609986145850104)]","[np.float64(0.5145296621614733), np.float64(0.5574472668836533)]",0.5657376327767389,0.5813837042887322,0.5487894426441913,0.5529422847858602,mistralai/Mistral-7B-Instruct-v0.2,1980,16,29,5,9,epr|trace_length|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_max_high_power|stft_spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_max|cusum_shift_idx,epr|trace_length|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_max_high_power|stft_spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_max|cusum_shift_idx|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|sw_var_peak_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,epr|low_band_power|sw_var_peak|cusum_max|spectral_entropy,epr|low_band_power|high_band_power|hl_ratio|spectral_centroid|sw_var_peak|rpdi|pe_mean|cusum_max
0.44393939393939397,gpqa_qwen72b,0.4258,,0.5575,0.5632,gpqa,0.1951182021572863,,0.05337638475370965,0.009188083005086223,10,0.6209182021572863,0.6135079499713446,0.6108763847537096,0.5723880830050863,"[np.float64(0.595379394132984), np.float64(0.6457542559785113)]","[np.float64(0.58864994538085), np.float64(0.6383600362776435)]","[np.float64(0.5871616638013413), np.float64(0.6353852759262008)]","[np.float64(0.5530351644850947), np.float64(0.5983914295635546)]",0.6506154814270613,0.6708928381376326,0.624106330060892,0.6050100281159231,Qwen/Qwen2.5-72B-Instruct,1980,16,29,5,9,epr|trace_length|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_max_high_power|stft_spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_max|cusum_shift_idx,epr|trace_length|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_max_high_power|stft_spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_max|cusum_shift_idx|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|sw_var_peak_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,epr|low_band_power|sw_var_peak|cusum_max|spectral_entropy,epr|low_band_power|high_band_power|hl_ratio|spectral_centroid|sw_var_peak|rpdi|pe_mean|cusum_max
0.3182857142857143,gpqa_r1distill8b,0.4849,,0.5144,0.4582,gpqa,0.04739911252053197,,0.047630850372235245,0.09773275977694179,10,0.532299112520532,0.540668550740447,0.5620308503722352,0.5559327597769418,"[np.float64(0.5222458095672781), np.float64(0.5648039063764229)]","[np.float64(0.5256511843761728), np.float64(0.5718708901873574)]","[np.float64(0.5389779535030691), np.float64(0.5911762822520387)]","[np.float64(0.5364774198333258), np.float64(0.5854243834646486)]",0.5961766799448007,0.6116198470732174,0.5679299203462448,0.5873640521233225,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,1750,15,29,5,9,epr|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_max_high_power|stft_spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_max|cusum_shift_idx,epr|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_max_high_power|stft_spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_max|cusum_shift_idx|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|min_spilled|epr_energy|min_energy|sw_var_peak_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,epr|low_band_power|sw_var_peak|cusum_max|spectral_entropy,epr|low_band_power|high_band_power|hl_ratio|spectral_centroid|sw_var_peak|rpdi|pe_mean|cusum_max
0.14698046181172292,inside_coqa_llama7b,0.4961,,0.6841,0.4754,coqa,0.31864541674013036,,0.05071896315136637,0.3267071462894339,10,0.8147454167401303,0.8257178114443215,0.7348189631513664,0.8021071462894339,"[np.float64(0.8002895387139376), np.float64(0.8293656431274098)]","[np.float64(0.810082993164603), np.float64(0.8402076846254029)]","[np.float64(0.7162511611237052), np.float64(0.7523009339343892)]","[np.float64(0.7872366109042039), np.float64(0.8169913534276025)]",0.8203466692668565,0.8347171743065591,0.7376814694008502,0.8054953125810921,huggyllama/llama-7b,4504,15,27,5,9,epr|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_max_high_power|stft_spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_max|cusum_shift_idx,epr|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_max_high_power|stft_spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_max|cusum_shift_idx|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|sw_var_peak_energy|cusum_max_energy|mean_top1_logprob|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,epr|low_band_power|sw_var_peak|cusum_max|spectral_entropy,epr|low_band_power|high_band_power|hl_ratio|spectral_centroid|sw_var_peak|rpdi|pe_mean|cusum_max
0.294,internalstates_gsm8k_qwen25_7b,0.6798,,0.7039,0.6614,gsm8k,0.04284205925206419,,0.0260507389162562,0.025643641157288566,1,0.7226420592520642,0.7596363930710701,0.7299507389162562,0.6870436411572886,"[np.float64(0.6720643947127503), np.float64(0.769543418455236)]","[np.float64(0.7102948272331234), np.float64(0.8036843335122785)]","[np.float64(0.6790444501894867), np.float64(0.7781282884710916)]","[np.float64(0.6401878836809837), np.float64(0.7381010240899618)]",0.7611917288161723,0.8020851400050105,0.7412268023356652,0.7129174616022045,Qwen/Qwen2.5-7B-Instruct,500,16,29,5,9,epr|trace_length|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_max_high_power|stft_spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_max|cusum_shift_idx,epr|trace_length|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_max_high_power|stft_spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_max|cusum_shift_idx|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|epr_energy|min_energy|sw_var_peak_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,epr|low_band_power|sw_var_peak|cusum_max|spectral_entropy,epr|low_band_power|high_band_power|hl_ratio|spectral_centroid|sw_var_peak|rpdi|pe_mean|cusum_max
0.4450341167551175,lapeigvals_gsm8k_llama3b,0.6483,,0.6845,0.6613,gsm8k,0.051574941433533805,,0.025477914871941287,0.041200395100481346,1,0.6998749414335338,0.752220371557663,0.7099779148719413,0.7025003951004813,"[np.float64(0.6733510328913574), np.float64(0.7285542163788467)]","[np.float64(0.7256080892654524), np.float64(0.7776324669725257)]","[np.float64(0.6835913772570603), np.float64(0.7375765234232736)]","[np.float64(0.6753359465992267), np.float64(0.7302676830396271)]",0.7177949376751286,0.7750812224797757,0.7140386888969568,0.7146647303599855,unsloth/Llama-3.2-3B-Instruct,1319,16,30,5,9,epr|trace_length|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_max_high_power|stft_spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_max|cusum_shift_idx,epr|trace_length|spectral_entropy|low_band_power|high_band_power|hl_ratio|dominant_freq|spectral_centroid|stft_max_high_power|stft_spectral_entropy|rpdi|sw_var_peak|pe_mean|hurst_exponent|cusum_max|cusum_shift_idx|epr_spilled|sw_var_peak_spilled|cusum_max_spilled|min_spilled|epr_energy|min_energy|sw_var_peak_energy|cusum_max_energy|mean_top1_logprob|logprob_margin|mean_logprob_entropy|varentropy|renyi_entropy_2|topk_tail_mass,epr|low_band_power|sw_var_peak|cusum_max|spectral_entropy,epr|low_band_power|high_band_power|hl_ratio|spectral_centroid|sw_var_peak|rpdi|pe_mean|cusum_max
